N	2gram	Berdyaev_M	Problema
1	и в	61	182
2	то есть	3	165
3	и не	26	152
4	то что	10	144
5	не есть	21	113
6	не только	42	104
7	потому что	25	89
8	в этом	34	88
9	может быть	42	82
10	том что	7	81
11	в том	9	81
12	только в	7	73
13	сказать что	5	72
14	но и	34	70
15	у нас	13	68
16	также и	6	68
17	по себе	2	64
18	даже и	2	63
19	о том	5	57
20	так и	5	56
21	а не	36	56
22	но в	12	55
23	так что	3	52
24	ни в	3	51
25	для нас	3	50
26	в себе	12	48
27	смысле слова	7	47
28	было бы	11	46
29	в своей	18	45
30	прежде всего	18	45
31	что в	12	44
32	в его	10	44
33	все эти	3	43
34	не в	16	43
35	то же	4	42
36	так как	10	40
37	и то	2	40
38	что он	16	40
39	и что	4	40
40	не может	39	39
41	в этой	12	39
42	как бы	10	39
43	хотя бы	8	37
44	того что	13	37
45	в нем	26	37
46	точки зрения	6	36
47	и все	13	36
48	когда мы	2	35
49	в виду	2	34
50	и с	6	34
51	как и	14	34
52	уже не	8	34
53	в то	2	32
54	но не	8	32
55	в своем	17	31
56	в конце	11	31
57	все это	6	31
58	что такое	2	31
59	так же	5	31
60	но это	8	31
61	и для	7	30
62	все же	2	29
63	об этом	2	29
64	что же	2	28
65	есть только	2	28
66	мы не	2	28
67	а в	4	28
68	и как	3	27
69	ничего не	4	27
70	и это	16	27
71	хотя и	2	27
72	как будто	4	26
73	вместе с	7	26
74	это не	10	26
75	и его	13	26
76	и на	9	25
77	на самом	2	24
78	не имеет	7	24
79	с тем	10	24
80	в нашем	2	24
81	только и	7	23
82	есть не	9	23
83	конце концов	3	23
84	по своему	3	23
85	никогда не	30	22
86	сам по	2	22
87	его в	6	22
88	и есть	21	22
89	нет ничего	9	22
90	значит что	4	22
91	что и	6	22
92	можно ли	2	22
93	и от	3	22
94	есть в	3	22
95	и к	9	22
96	и ее	2	21
97	и без	2	21
98	разного рода	2	21
99	что всякий	3	21
100	в самом	15	21
101	и потому	17	20
102	для того	4	20
103	о чем	3	20
104	тем что	7	20
105	в отношении	6	19
