N	2gram	Tiupa_Hudo	Morfolog
1	может быть	19	61
2	таким образом	3	26
3	могут быть	5	21
4	мы имеем	6	19
5	не может	9	19
6	в этом	12	18
7	в этих	4	17
8	представляет собой	11	17
9	и в	23	17
10	и не	16	16
11	прежде всего	5	14
12	и др	2	12
13	связи с	3	12
14	а не	13	11
15	то же	12	10
16	в том	20	10
17	не всегда	2	10
18	то что	5	10
19	так и	12	10
20	что в	7	10
21	что и	2	10
22	а затем	2	10
23	в связи	3	10
24	но и	14	9
25	с другой	9	9
26	не только	20	8
27	но не	13	8
28	а в	13	8
29	имеем в	3	8
30	в качестве	31	8
31	том что	9	7
32	по отношению	10	7
33	тем не	3	7
34	не менее	5	7
35	отношению к	10	7
36	как это	7	7
37	а также	6	7
38	точки зрения	11	7
39	во втором	4	7
40	один из	2	7
41	потому что	3	7
42	это не	4	6
43	не все	2	6
44	во всех	3	6
45	и как	4	6
46	или в	2	6
47	и другие	2	6
48	подобно тому	3	6
49	в нашем	2	6
50	о том	2	6
51	если мы	2	6
52	с точки	3	6
53	в форме	4	6
54	как бы	11	6
55	вовсе не	2	6
56	одна из	2	5
57	и ее	3	5
58	вслед за	2	5
59	об этом	2	5
60	в ходе	5	5
61	со стороны	5	5
62	что он	5	5
63	как в	2	5
64	далеко не	4	5
65	тому что	2	5
66	к тому	4	5
67	из которых	2	5
68	между тем	4	5
69	в целом	3	5
70	другой стороны	6	5
71	между собой	2	5
72	тому как	3	5
73	все эти	2	5
74	он не	4	5
75	хотя и	4	5
76	сказать что	4	4
77	его в	4	4
78	так же	2	4
79	в то	8	4
80	подобных случаях	2	4
81	не является	5	4
82	еще не	4	4
83	могла бы	2	4
84	самом деле	2	4
85	но в	10	4
86	на котором	2	4
87	и для	3	4
88	как и	3	4
89	входит в	4	4
90	уже не	6	4
91	и к	3	4
92	на этом	2	4
93	несмотря на	2	4
94	того чтобы	5	4
95	о его	2	4
96	говорить о	4	4
97	и наоборот	2	4
98	никто не	3	4
99	случае не	2	4
100	быть названо	2	4
101	то в	2	3
102	но как	2	3
103	здесь не	2	3
104	в которой	3	3
105	а на	5	3
106	то ни	2	3
107	если бы	3	3
108	это и	2	3
109	и тем	4	3
110	он должен	3	3
111	не в	9	3
112	к герою	2	3
113	для того	5	3
114	героя и	5	3
115	с этой	3	3
116	в пределах	3	3
117	в какой	2	3
118	того что	5	3
119	приводит к	6	3
120	как уже	3	3
121	ее в	2	3
122	к нему	3	3
123	ни в	5	3
124	что такое	2	3
125	состоит в	20	3
126	вопрос что	2	3
127	и что	4	3
128	и по	2	3
129	и его	12	3
130	только в	7	3
131	в этой	2	3
132	бы то	2	3
133	с его	6	3
134	в каком	2	2
135	герой не	3	2
136	не от	2	2
137	себя в	8	2
138	в данном	4	2
139	из этих	3	2
140	одной стороны	3	2
141	таких случаях	2	2
142	дело не	2	2
143	в глаза	2	2
144	в другом	4	2
145	или менее	6	2
146	что она	2	2
147	роль в	2	2
148	превращается в	2	2
149	не на	5	2
150	в частности	18	2
151	ни было	2	2
152	одним из	2	2
153	ни к	2	2
154	право на	2	2
155	в чем	2	2
156	не знает	4	2
157	с одной	3	2
158	в итоге	2	2
159	а с	2	2
160	и более	2	2
161	не с	2	2
162	одной из	2	2
163	вытекает из	2	2
164	более или	6	2
165	их в	3	2
166	оно не	2	2
167	быть и	2	2
168	не входит	2	2
169	однако все	2	2
170	однако в	4	2
171	с другими	5	2
172	и больше	2	2
173	к другому	2	2
174	тогда как	15	2
175	себя и	3	2
176	все это	2	2
177	в основе	7	2
178	у него	2	2
179	например в	4	2
180	можно сказать	6	2
181	который в	2	2
182	для него	5	2
183	в одном	3	2
184	чем это	2	2
185	по своему	3	2
