N	3gram	Losev_Vlad	Narrotol
1	в том что	13	18
2	не только в	3	13
3	о том что	9	9
4	к тому же	3	9
5	в то же	7	8
6	тем не менее	8	8
7	в этом отношении	2	8
8	то же время	7	8
9	не может быть	4	8
10	можно сказать что	3	6
11	и все же	2	5
12	для того чтобы	3	5
13	в свою очередь	2	5
14	во всяком случае	8	4
15	у нас нет	2	4
16	так и не	3	3
17	точно так же	2	3
18	в связи с	7	3
19	в ответ на	2	3
20	а также и	2	3
21	на то что	6	3
22	дело в том	7	3
23	а в том	3	3
24	и то что	7	3
25	еще и потому	2	2
26	и потому что	3	2
27	более или менее	5	2
28	не в том	3	2
29	хотя и не	2	2
30	об этом и	2	2
31	что иное как	2	2
32	на этот раз	7	2
33	и в то	3	2
34	что у него	2	2
