N	3gram	Bakhtin_fo	Myslijsy
1	в том что	4	47
2	по отношению к	3	26
3	не может быть	4	19
4	и т д	3	15
5	то же время	13	13
6	в то же	10	13
7	до сих пор	4	12
8	и в этом	2	12
9	и т п	18	11
10	сами по себе	2	11
11	для того чтобы	11	11
12	в то время	3	10
13	с одной стороны	3	10
14	одного и того	6	9
15	о том что	2	9
16	и того же	6	9
17	но и в	5	9
18	с тем что	2	8
19	то есть не	3	8
20	вместе с тем	3	8
21	и то же	4	7
22	как и в	3	7
23	одно и то	4	7
24	не только в	6	7
25	с точки зрения	9	7
26	и как бы	2	6
27	может быть только	3	6
28	с самого начала	3	6
29	друг от друга	2	6
30	все то что	2	4
31	все более и	2	4
32	в данном случае	2	4
33	в том же	3	4
34	в этом отношении	5	4
35	то время как	2	4
36	дело в том	2	4
37	более и более	2	4
38	то есть в	2	3
39	одной стороны и	2	3
40	в большинстве случаев	2	3
41	в связи с	12	3
42	со всех сторон	2	3
43	равно как и	4	3
44	друг к другу	2	2
45	это значит что	2	2
46	не было и	2	2
47	те же что	2	2
48	одна и та	2	2
49	и во всех	3	2
50	так же как	2	2
51	и в других	4	2
52	и та же	2	2
53	друг на друга	4	2
54	а следовательно и	3	2
55	о том как	2	2
56	что в таком	2	2
57	и не только	2	2
58	но все же	3	2
59	в буквальном смысле	2	2
