N	2gram	Losev_Vlad	RusskieA
1	и в	56	79
2	в том	26	64
3	том что	22	59
4	что в	24	57
5	не только	35	41
6	а а	7	40
7	во время	4	38
8	так как	11	34
9	в этом	30	33
10	и другие	2	33
11	как бы	5	31
12	но и	26	31
13	как и	7	28
14	может быть	12	28
15	и на	7	28
16	в этот	5	26
17	и м	3	25
18	а н	14	25
19	и т	3	23
20	о том	13	23
21	с в	6	23
22	при этом	5	22
23	т д	3	21
24	это не	3	20
25	е в	7	20
26	как мы	17	20
27	а в	20	20
28	там же	24	20
29	из них	3	19
30	все это	7	18
31	с тем	4	17
32	потому что	16	17
33	то что	30	17
34	об этом	13	17
35	таким образом	6	17
36	вместе с	9	17
37	мы не	2	16
38	во многих	2	16
39	один из	4	15
40	будто бы	2	15
41	у нас	11	14
42	для нас	9	14
43	не менее	9	14
44	в них	5	14
45	как это	11	14
46	тем не	8	14
47	и не	33	14
48	и с	27	14
49	и что	11	14
50	так что	13	13
51	и по	10	13
52	к этому	11	13
53	не может	12	13
54	еще не	2	13
55	как в	6	13
56	уже не	6	13
57	в виде	4	12
58	мы имеем	2	12
59	тем что	2	12
60	что на	2	11
61	но это	6	11
62	мы увидим	4	11
63	не имеет	2	11
64	его в	3	10
65	и других	2	10
66	так и	11	10
67	по существу	4	10
68	так например	3	10
69	все же	11	10
70	что и	6	10
71	а также	12	10
72	в течение	13	10
73	том чтобы	4	10
74	о чем	6	9
75	том же	4	9
76	но в	19	9
77	к жизни	2	9
78	и все	8	9
79	что они	4	9
80	того как	2	9
81	с ней	3	9
82	то же	10	9
83	в г	2	9
84	но не	5	9
85	видно что	5	9
86	в русском	2	9
87	так же	4	8
88	после этого	2	8
89	того что	6	8
90	в россии	7	8
91	как уже	2	8
92	на себя	3	8
93	того чтобы	4	8
94	их в	3	8
95	же в	3	8
96	связи с	7	8
97	представление о	2	8
98	что это	2	8
99	во всех	4	8
100	для того	4	8
101	в этих	5	8
102	в своем	10	7
103	мы должны	3	7
104	ничего не	4	7
105	начиная с	3	7
106	в настоящее	2	7
107	не в	12	7
108	главным образом	5	7
109	а с	5	7
110	к нему	6	7
111	настоящее время	2	7
112	по этому	3	7
113	было бы	7	7
114	до конца	8	7
115	из этих	5	7
116	в это	6	7
117	и как	7	7
118	это время	7	7
119	еще в	5	7
120	в эти	14	7
121	только в	11	7
122	как будто	2	7
123	а не	5	7
124	пишет в	2	7
125	в этой	4	6
126	не будем	3	6
127	и у	4	6
128	друг друга	3	6
129	на этом	3	6
130	в их	2	6
131	только на	3	6
132	в в	4	6
133	она не	3	6
134	к тому	5	6
135	что этот	4	6
136	в нем	7	6
137	в году	54	6
138	этому поводу	2	6
139	с ними	2	6
140	все эти	6	6
141	в качестве	7	6
142	чем в	2	6
143	но она	4	6
144	в одном	2	6
145	выше мы	3	6
146	что она	2	6
147	и о	6	6
148	что здесь	2	6
149	в первый	2	6
150	должен был	3	6
151	на земле	2	6
152	после того	2	6
153	в таком	2	6
154	петра i	3	5
155	и потому	8	5
156	в тех	3	5
157	вплоть до	4	5
158	к себе	2	5
159	что он	22	5
160	нет никаких	2	5
161	в москве	13	5
162	прежде всего	5	5
163	в последний	3	5
164	в свою	3	5
165	с этим	3	5
166	заметить что	2	5
167	в то	15	5
168	в целом	3	5
169	для них	2	5
170	в связи	9	5
171	не было	12	5
172	тот же	7	5
173	в его	18	5
174	по поводу	15	5
175	то и	3	5
176	в особенности	4	5
177	и для	4	5
178	с другой	3	5
179	г в	3	5
180	и к	10	5
181	отнюдь не	3	5
182	с ним	10	5
183	мы уже	8	5
184	в доме	7	4
185	которые в	2	4
186	иное как	2	4
187	не был	6	4
188	и а	2	4
189	он же	2	4
190	не что	2	4
191	под названием	5	4
192	у них	2	4
193	и при	2	4
194	всякого рода	3	4
195	здесь мы	4	4
196	его и	2	4
197	в основном	5	4
198	не столько	4	4
199	мы приведем	3	4
200	и до	4	4
201	во всяком	8	4
202	и от	6	4
203	по своему	5	4
204	а к	24	4
205	дело не	3	4
206	к ней	7	4
207	несмотря на	7	4
208	и здесь	3	4
209	кроме того	12	4
210	природы и	2	4
211	что иное	2	4
212	и из	5	4
213	ко времени	2	4
214	но все	3	4
215	а за	3	4
216	что у	4	4
217	что для	5	4
218	именно в	4	4
219	в котором	10	4
220	в своих	7	4
221	уже в	9	4
222	в ней	5	4
223	всяком случае	8	4
224	то время	6	4
225	по всем	3	4
226	во всем	4	4
227	но он	7	4
228	никогда не	15	3
229	всех этих	3	3
230	его к	3	3
231	и через	3	3
232	то есть	5	3
233	того в	2	3
234	это и	2	3
235	на все	3	3
236	приведем несколько	2	3
237	тут же	7	3
238	как он	4	3
239	мы здесь	2	3
240	или менее	5	3
241	и такие	2	3
242	мы знаем	5	3
243	что все	2	3
244	видно из	2	3
245	и это	4	3
246	более или	5	3
247	тех пор	2	3
248	точки зрения	4	3
249	церкви и	2	3
250	с которой	2	3
251	в области	3	3
252	совсем не	7	3
253	ниже в	2	3
254	что с	3	3
255	и во	3	3
256	в своей	7	3
257	некоторой степени	3	3
258	он был	20	3
259	свою очередь	2	3
260	нет и	2	3
261	место в	2	3
262	вся эта	3	3
263	этом не	3	3
264	хотя и	9	3
265	именно с	2	3
266	также что	2	3
267	и то	13	3
268	судить по	6	3
269	ее на	3	3
270	это в	2	3
271	и еще	3	3
272	в которой	8	3
273	не имели	2	3
274	чем у	2	3
275	до тех	2	3
276	на него	3	3
277	н ф	5	3
278	если бы	2	3
279	известно что	2	3
280	на первый	4	3
281	увидим ниже	5	3
282	можно говорить	2	3
283	жизни в	3	3
284	до некоторой	2	3
285	а именно	4	3
286	что касается	6	3
287	жизнь и	3	3
288	это конечно	4	3
289	на этот	9	3
290	не к	2	3
291	на то	7	3
292	все что	2	3
293	когда он	6	3
294	к числу	2	3
295	здесь не	6	3
296	и его	12	3
297	нас нет	2	3
298	по его	3	3
299	как на	2	3
300	в период	6	3
301	тому же	3	3
302	пор пока	2	3
303	время и	3	2
304	и притом	5	2
305	в семье	3	2
