N	2gram	Tiupa_Disk	TeoriaLi
1	в качестве	45	33
2	в мире	9	26
3	не только	36	24
4	и в	27	24
5	в частности	18	23
6	то есть	29	22
7	состоит в	20	22
8	может быть	29	22
9	в том	29	20
10	при этом	22	20
11	в тексте	5	19
12	я в	2	18
13	тогда как	28	18
14	и не	25	17
15	а в	5	15
16	но и	22	14
17	так и	14	14
18	а не	35	14
19	в себе	22	14
20	в рамках	11	13
21	такого рода	11	13
22	но не	17	13
23	внутренней речи	5	13
24	представляет собой	24	13
25	в этом	29	12
26	то же	12	12
27	эстетического отношения	2	12
28	но в	15	12
29	сводится к	7	12
30	в его	9	12
31	литературного произведения	3	11
32	том что	27	11
33	точки зрения	6	11
34	своего рода	15	11
35	и его	4	11
36	по отношению	13	10
37	лишь в	4	10
38	отношению к	13	10
39	как это	2	10
40	коммуникативного события	19	10
41	что в	8	10
42	в данном	9	9
43	не сводится	7	9
44	не в	8	9
45	с другой	14	9
46	в то	8	9
47	только в	9	9
48	не может	17	8
49	по своей	15	8
50	как бы	9	8
51	присутствия в	2	8
52	в своей	10	8
53	же время	9	8
54	особого рода	3	7
55	или иной	8	7
56	в своем	11	7
57	а также	15	7
58	мы имеем	4	7
59	себя в	8	7
60	отношение к	6	7
61	в принципе	4	7
62	в области	3	7
63	на смену	3	7
64	отличие от	13	7
65	художественного письма	13	7
66	в самом	4	7
67	в отличие	13	7
68	однако в	3	7
69	место в	2	7
70	не столько	3	7
71	и т.п	18	7
72	в нем	16	7
73	тем самым	6	6
74	или иного	2	6
75	того или	3	6
76	другой стороны	5	6
77	конечном счете	2	6
78	в конечном	2	6
79	эстетическая деятельность	3	6
80	со стороны	17	6
81	не менее	6	6
82	героя и	2	6
83	еще не	20	6
84	то что	10	6
85	или менее	2	6
86	как и	27	6
87	более или	2	6
88	в русской	4	6
89	картина мира	7	6
90	уже не	7	6
91	приводит к	4	6
92	в ее	4	6
93	в основе	11	6
94	с его	9	6
95	данном случае	6	5
96	я с	2	5
97	по преимуществу	2	5
98	как в	16	5
99	как правило	5	5
100	как к	2	5
101	речевая маска	3	5
102	и одновременно	3	5
103	иначе говоря	5	5
104	ни в	7	5
105	в виду	2	5
106	и тем	2	5
107	по сути	6	5
108	в ходе	5	5
109	не является	5	5
110	и о	4	5
111	в пределах	4	5
112	для него	9	5
113	не случайно	2	5
114	на почве	3	5
115	высказывания в	7	5
116	между тем	5	5
117	могут быть	5	5
118	жизни как	2	5
119	не предполагает	4	5
120	воспринимающего сознания	2	5
121	того что	4	5
122	он не	4	5
123	в себя	7	5
124	можно сказать	7	5
125	никогда не	3	4
126	сказать что	4	4
127	это не	5	4
128	значении этого	4	4
129	и ее	5	4
130	в форме	2	4
131	в другом	5	4
132	в силу	5	4
133	и т.д	5	4
134	в их	5	4
135	одного и	5	4
136	силу своей	2	4
137	в этих	4	4
138	что он	6	4
139	по своему	3	4
140	в литературе	2	4
141	далеко не	10	4
142	к тому	6	4
143	речи и	2	4
144	того же	5	4
145	слова в	2	4
146	мира и	3	4
147	входит в	2	4
148	в свою	3	4
149	с позиций	5	4
150	в целом	5	4
151	личности в	3	4
152	со своей	2	4
153	совпадает с	4	4
154	и того	6	4
155	и что	2	4
156	говорить о	3	4
157	или даже	2	4
158	не на	3	4
159	с ее	3	4
160	и сам	2	4
161	не следует	4	4
162	отношения к	2	4
163	в нашем	2	4
164	не знает	4	4
165	хотя и	3	4
166	художественного целого	3	4
167	и то	4	3
168	перед нами	4	3
169	в соответствии	4	3
170	между которыми	2	3
171	и потому	3	3
172	во всех	6	3
173	понятие о	3	3
174	из этих	3	3
175	одной стороны	12	3
176	о чем	4	3
177	в которой	2	3
178	в противоположность	6	3
179	рамках которого	2	3
180	картины мира	8	3
181	и как	9	3
182	о литературе	2	3
183	к которому	2	3
184	роль в	10	3
185	в лирике	7	3
186	или в	2	3
187	и адресата	3	3
188	мира в	6	3
189	подобно тому	4	3
190	тот или	2	3
191	свою очередь	3	3
192	в культуре	3	3
193	одним из	2	3
194	с этой	2	3
195	по мысли	9	3
196	к области	2	3
197	несет в	3	3
198	в момент	2	3
199	объекта и	3	3
200	ни к	11	3
