N	2gram	Vygotskiy_	OGranits
1	и в	55	13
2	и его	14	12
3	прежде всего	5	9
4	и не	24	8
5	не может	30	8
6	может быть	35	8
7	в его	8	7
8	и их	4	7
9	точки зрения	32	7
10	не только	25	6
11	мы должны	4	6
12	как бы	11	6
13	таким образом	38	6
14	только в	18	6
15	то что	47	6
16	в поэзии	5	5
17	эстетического объекта	2	5
18	все же	9	5
19	с точки	12	5
20	и наконец	2	5
21	хотя бы	4	5
22	в музыке	2	5
23	художественного произведения	22	5
24	в процессе	7	5
25	мы можем	6	4
26	но в	5	4
27	то же	17	4
28	в сознании	6	4
29	но мы	3	4
30	тех пор	2	4
31	не является	5	4
32	произведения как	3	4
33	в своей	6	4
34	материала в	2	4
35	все это	11	4
36	было бы	14	4
37	мы не	15	4
38	в каждом	5	4
39	до тех	3	4
40	никогда не	13	3
41	я хочу	2	3
42	и для	9	3
43	и то	4	3
44	и все	8	3
45	материала и	2	3
46	в ее	7	3
47	с этим	7	3
48	при анализе	3	3
49	и уже	2	3
50	как и	25	3
51	не в	19	3
52	в их	4	3
53	так как	28	3
54	понятно что	3	3
55	в себе	6	3
56	что в	39	3
57	эстетических категорий	2	3
58	точку зрения	3	3
59	поэтического произведения	3	3
60	самом деле	19	3
61	за пределы	2	3
62	пор пока	2	3
63	так и	6	3
64	что же	4	3
65	в которой	6	3
66	не как	3	3
67	к одному	5	3
68	поэтической речи	2	3
69	в одном	4	3
70	в искусстве	24	3
71	но и	12	3
72	в самом	18	2
73	могут быть	15	2
74	мы видим	8	2
75	она является	3	2
76	в этом	21	2
77	смысле слова	4	2
78	в них	4	2
79	произведения но	2	2
80	для себя	2	2
81	в руках	2	2
82	в книге	2	2
83	уже в	3	2
84	в том	55	2
85	тем что	7	2
86	в отношении	3	2
87	есть не	6	2
88	несмотря на	8	2
89	в целом	8	2
90	если бы	10	2
91	в произведении	7	2
92	думать что	3	2
93	с одной	6	2
94	не имеет	3	2
95	зависимости от	7	2
96	явлений и	3	2
97	роль в	4	2
98	но так	2	2
99	в действительности	4	2
100	с другой	7	2
101	там где	5	2
102	от всех	3	2
103	а в	10	2
104	которое может	2	2
105	и тем	5	2
106	том что	30	2
107	того или	2	2
108	а как	2	2
109	и к	5	2
110	в языке	3	2
111	в связи	3	2
112	в зависимости	6	2
113	этой проблемы	2	2
114	в общем	2	2
115	не менее	9	2
116	и следовательно	4	2
117	с ними	2	2
118	все эти	7	2
119	художественное произведение	16	2
120	в области	12	2
121	что эта	4	2
122	так же	29	2
123	мы считаем	2	2
124	что они	7	2
125	те же	9	2
126	нуждается в	3	2
127	и при	3	2
128	с этой	8	2
129	и может	3	2
130	в своих	12	2
131	в полном	3	2
132	в нем	5	2
133	не на	2	2
134	в тех	2	2
135	при этом	28	2
136	и ее	4	2
137	форм и	3	2
138	что иное	2	2
139	а не	18	2
140	не сумеем	5	2
141	в ней	3	2
142	вслед за	10	2
143	как в	17	2
144	другой стороны	7	2
145	во всем	5	2
146	при восприятии	3	2
147	чем же	2	2
148	одной стороны	7	2
149	бы в	3	2
150	между тем	6	2
151	мы получим	2	2
152	и этот	3	2
153	в чем	5	2
154	которое мы	2	2
155	только ее	3	2
156	имеет место	2	2
157	тот же	8	2
158	иное как	2	2
159	не что	2	2
160	вовсе не	7	2
161	подойти к	2	2
162	к тому	8	2
163	наконец в	2	2
164	может стать	3	2
