N	2gram	Trubetskoy	StatiiOP
1	и в	26	103
2	в том	11	89
3	том что	7	77
4	в этом	15	76
5	что в	9	74
6	не только	10	60
7	о том	6	47
8	но и	9	46
9	то что	7	44
10	что он	4	42
11	в его	5	42
12	и не	8	41
13	может быть	10	38
14	в этой	4	31
15	все это	6	29
16	таким образом	22	28
17	а в	4	27
18	а не	5	27
19	но в	7	26
20	что это	3	25
21	так и	6	25
22	этом отношении	2	24
23	все же	6	23
24	не в	2	23
25	так что	3	23
26	точки зрения	13	23
27	потому что	7	23
28	того что	3	22
29	в области	9	22
30	прежде всего	2	22
31	для того	5	22
32	в которой	3	22
33	того чтобы	5	21
34	до сих	5	20
35	в то	4	19
36	сих пор	5	19
37	только в	4	19
38	не может	4	18
39	с другой	8	18
40	в котором	4	18
41	он не	4	18
42	в россии	2	17
43	как на	8	17
44	в самом	4	17
45	как бы	12	17
46	сказать что	2	16
47	если бы	3	16
48	в этих	4	16
49	в отношении	6	15
50	с тем	18	15
51	для него	3	15
52	из этих	10	15
53	и на	2	15
54	так например	2	14
55	к тому	6	14
56	между тем	2	14
57	то же	4	14
58	в течение	4	14
59	но все	7	14
60	с точки	6	14
61	и что	4	14
62	в своем	3	13
63	в конце	6	13
64	а с	7	13
65	в качестве	3	13
66	в нем	4	13
67	во всяком	6	13
68	именно в	2	13
69	из них	7	13
70	всяком случае	6	13
71	жизни и	2	13
72	вместе с	15	13
73	не менее	3	12
74	так как	9	12
75	хотя бы	3	12
76	никогда не	5	11
77	и с	10	11
78	должна была	2	11
79	в них	2	11
80	все эти	6	11
81	и по	4	11
82	на то	2	11
83	не было	2	11
84	ясно что	3	11
85	так же	5	10
86	в виду	2	10
87	связь с	2	10
88	что и	6	10
89	в начале	2	10
90	во всех	2	10
91	но не	8	10
92	же время	2	10
93	несмотря на	6	9
94	во время	4	9
95	можно сказать	3	9
96	в одном	3	9
97	с этой	3	9
98	и для	5	9
99	и к	5	9
100	что мы	2	9
101	и это	2	9
102	отношение к	5	8
103	к которому	2	8
104	связано с	2	8
105	к сожалению	3	8
106	в общем	8	8
107	связи с	9	8
108	к этому	3	8
109	а также	2	8
110	мы имеем	2	8
111	в результате	3	8
112	тем не	3	8
113	и даже	3	8
114	должен был	4	8
115	одним из	2	8
116	и о	3	8
117	не имеет	5	8
118	в которых	4	8
119	очень мало	4	7
120	вплоть до	2	7
121	уже в	2	7
122	конце концов	3	7
123	в виде	4	7
124	одной из	5	7
125	что все	4	7
126	в эту	2	7
127	и сейчас	2	7
128	того же	6	7
129	с самого	3	7
130	отличается от	2	7
131	лишь в	5	7
132	еще не	2	7
133	отношению к	3	7
134	связан с	2	7
135	на этот	4	7
136	можно назвать	2	7
137	из этого	2	7
138	но с	3	7
139	представление о	6	7
140	в себе	6	6
141	должно было	2	6
142	в новом	2	6
143	из которых	4	6
144	его не	2	6
145	по существу	2	6
146	к нему	7	6
147	и все	2	6
148	по крайней	5	6
149	же как	3	6
150	с его	2	6
151	крайней мере	5	6
152	одно из	2	6
153	и здесь	2	6
154	только не	2	6
155	но если	2	5
156	что именно	2	5
157	и потому	6	5
158	одной стороны	7	5
159	один из	2	5
160	при этом	3	5
161	что эти	3	5
162	не потому	2	5
163	самого начала	2	5
164	утверждать что	2	5
165	не как	2	5
166	целый ряд	4	5
167	не могло	2	5
168	с одной	7	5
169	на нее	3	5
170	и если	3	5
171	уже не	3	5
172	если не	2	5
173	конечно не	2	5
174	и только	4	5
175	в пользу	2	5
176	начиная с	2	4
177	не могут	2	4
178	то есть	4	4
179	что оно	4	4
180	и у	8	4
181	по своей	2	4
182	не всегда	2	4
183	которые в	2	4
184	общего с	2	4
185	так или	3	4
186	тех пор	2	4
187	состоит в	2	4
188	и те	3	4
189	в образе	2	4
190	в процессе	2	4
191	ничего общего	2	4
192	и тогда	4	4
193	в связи	3	4
194	случае не	3	4
195	относится к	2	4
196	если в	3	4
197	для этого	2	4
198	в эпоху	7	4
199	в значительной	3	4
200	только что	2	4
201	как о	3	4
202	и другие	3	4
203	каждая из	3	4
204	тому же	5	4
205	все что	2	4
206	связанные с	7	4
207	ни у	2	4
208	в смысле	4	4
209	в таком	3	4
210	или иначе	3	4
211	связана с	2	4
212	или иной	2	3
213	виде в	2	3
214	и наконец	2	3
215	в других	3	3
216	попадает в	4	3
217	связанных с	2	3
218	с именем	2	3
219	тогда когда	2	3
220	в одно	2	3
221	или менее	5	3
222	его от	2	3
223	образом в	5	3
224	что о	2	3
