N	2gram	Vinokur_Ku	Analitik
1	не только	29	71
2	тогда как	2	67
3	и в	44	66
4	в качестве	12	61
5	но и	13	57
6	в том	47	52
7	может быть	25	52
8	в частности	6	51
9	в этом	31	51
10	как и	3	50
11	и не	23	48
12	а не	17	42
13	том что	30	40
14	при этом	6	40
15	так и	10	35
16	своего рода	4	30
17	состоит в	4	30
18	не может	13	29
19	как бы	11	29
20	отнюдь не	5	29
21	а в	7	28
22	в его	16	27
23	и его	8	27
24	не в	18	26
25	но не	11	26
26	всего лишь	3	24
27	в себе	4	24
28	не случайно	7	24
29	иначе говоря	2	23
30	к тому	8	22
31	и даже	5	22
32	в этой	8	22
33	что в	25	22
34	лишь в	6	21
35	о том	10	20
36	я в	2	20
37	по отношению	9	19
38	но в	11	19
39	в своей	4	19
40	то же	12	19
41	в самом	20	19
42	с его	4	19
43	в то	4	18
44	в данном	8	18
45	отношению к	9	18
46	тем самым	5	17
47	или иной	3	17
48	с другой	14	17
49	со стороны	8	17
50	в целом	5	17
51	только в	15	17
52	могут быть	5	16
53	то что	14	16
54	в пределах	8	16
55	что и	5	16
56	не есть	4	15
57	в их	3	15
58	прежде всего	14	15
59	в сущности	11	15
60	в рамках	5	15
61	уже не	13	15
62	и на	8	15
63	между тем	11	15
64	данном случае	2	14
65	отличие от	3	14
66	не менее	12	14
67	того же	6	14
68	мы имеем	11	14
69	в отличие	3	14
70	далеко не	2	14
71	столь же	2	14
72	же время	4	14
73	в себя	2	14
74	по себе	10	13
75	ничего не	6	13
76	точки зрения	25	13
77	как раз	10	13
78	этого слова	8	13
79	для него	2	13
80	а также	3	13
81	как правило	2	13
82	в случае	2	13
83	он не	4	13
84	тому же	2	13
85	никогда не	2	12
86	есть не	2	12
87	как это	6	12
88	еще не	10	12
89	как в	6	12
90	в конечном	3	12
91	сводится к	3	12
92	даже в	4	11
93	в свою	4	11
94	это не	13	11
95	нуждается в	5	11
96	конечном счете	2	11
97	и как	3	11
98	не с	4	11
99	можно сказать	6	11
100	той же	5	11
101	в той	6	11
102	не следует	6	11
103	в конце	5	10
104	все же	17	10
105	на себя	3	10
106	однако в	2	10
107	один из	8	10
108	было бы	28	10
109	того или	6	10
110	с одной	3	10
111	именно в	7	10
112	здесь не	5	10
113	отношения к	2	10
114	в своем	4	9
115	того что	11	9
116	не столько	2	9
117	одной стороны	2	9
118	крайней мере	11	9
119	свою очередь	4	9
120	по поводу	2	9
121	или иного	5	9
122	другой стороны	12	9
123	в результате	8	9
124	по крайней	11	9
125	что касается	4	9
126	на фоне	3	9
127	том чтобы	9	9
128	и того	2	9
129	говорить о	5	9
130	таким образом	17	9
131	вместе с	8	9
132	перед нами	4	8
133	о чем	2	8
134	роль в	6	8
135	не всегда	4	8
136	что он	7	8
137	дело с	2	8
138	и все	4	8
139	в контексте	2	8
140	этом отношении	8	8
141	хотя и	7	8
142	дело не	4	8
143	если бы	21	8
144	не является	2	8
145	в сторону	2	8
146	с точки	16	8
147	с ним	5	8
148	свое время	4	7
149	иное как	3	7
150	в другом	2	7
151	в соответствии	6	7
152	и тем	7	7
153	от себя	3	7
154	в году	3	7
155	в свое	4	7
156	на его	3	7
157	в ее	2	7
158	все это	10	7
159	во всяком	8	7
160	по преимуществу	3	7
161	несмотря на	6	7
162	как будто	2	7
163	что иное	2	7
164	и для	3	7
165	у него	3	7
166	и является	4	7
167	или иначе	4	7
168	приводит к	3	7
169	в одном	4	7
170	однако не	9	7
171	всяком случае	8	7
172	внимание на	5	7
173	как мы	2	7
174	в таком	3	7
175	в нашем	8	7
176	не мог	2	7
177	если в	2	6
178	вопроса о	7	6
179	что не	10	6
180	не что	2	6
181	в силу	16	6
182	ли не	4	6
183	должен быть	8	6
184	роли в	3	6
185	казалось бы	5	6
186	не знает	4	6
187	мере в	7	6
188	в нем	7	6
189	что на	2	6
190	ответ на	2	6
191	тем более	2	6
192	или в	5	6
193	и то	7	6
194	хотя бы	19	6
195	могла бы	2	6
196	из этих	5	6
197	превращается в	4	6
198	же в	5	6
199	одного и	2	6
200	тем не	10	6
