N	2gram	Tiupa_Vved	Marksizm
1	может быть	25	64
2	и в	23	63
3	и не	24	55
4	как бы	8	53
5	не может	14	47
6	и его	9	41
7	в этом	27	39
8	таким образом	6	38
9	как мы	5	32
10	в пределах	3	31
11	лишь в	4	30
12	не только	32	29
13	в нем	9	28
14	то же	8	28
15	но и	31	27
16	самом деле	6	25
17	связи с	2	25
18	прежде всего	11	24
19	как и	21	24
20	в самом	6	24
21	так и	14	23
22	и т.п	14	23
23	только в	9	23
24	в том	21	22
25	то что	9	22
26	а не	31	22
27	при этом	43	20
28	так сказать	2	20
29	для него	5	20
30	том что	16	19
31	не в	12	19
32	в его	9	19
33	если бы	10	19
34	чужого слова	3	18
35	но в	14	18
36	и для	8	18
37	в слове	4	18
38	все же	10	17
39	в сущности	3	17
40	в то	5	16
41	по отношению	11	16
42	и как	2	16
43	слова и	3	16
44	что он	2	15
45	во всех	2	15
46	отношению к	11	15
47	отнюдь не	14	15
48	же время	4	15
49	в контексте	4	14
50	в данном	22	14
51	хотя бы	2	14
52	язык как	2	14
53	ничего не	3	13
54	так же	2	13
55	мы не	6	13
56	того чтобы	2	13
57	было бы	4	13
58	в своей	10	13
59	не является	7	13
60	и здесь	2	13
61	слова в	3	13
62	в направлении	2	13
63	что в	6	13
64	в результате	5	12
65	а в	15	12
66	в основе	6	12
67	в высшей	2	12
68	высшей степени	2	12
69	он не	6	12
70	между тем	3	12
71	на самом	5	11
72	как в	8	11
73	и все	8	11
74	к нему	2	11
75	и на	5	11
76	в ней	5	11
77	не столько	5	11
78	и от	3	11
79	еще не	8	11
80	и того	3	11
81	и что	2	11
82	никогда не	6	10
83	и потому	2	10
84	бытия в	3	10
85	высказывания как	3	10
86	отличие от	11	10
87	здесь мы	2	10
88	без исключения	2	10
89	во всяком	3	10
90	одна из	5	10
91	к этому	3	10
92	в своем	9	10
93	совершенно не	2	10
94	в отличие	11	10
95	с другой	10	10
96	в таком	2	10
97	в себе	15	9
98	это не	7	9
99	только на	2	9
100	мы видели	3	9
101	и это	2	9
102	к тому	9	9
103	в нашем	9	9
104	что это	2	9
105	не имеет	3	9
106	и более	5	9
107	точка зрения	3	9
108	же самое	2	9
109	быть и	2	9
110	перед нами	13	8
111	или иной	5	8
112	и ее	2	8
113	не как	2	8
114	и т.д	6	8
115	в их	2	8
116	тому что	2	8
117	что не	2	8
118	что и	6	8
119	другой стороны	3	8
120	и даже	3	8
121	мы можем	2	8
122	в данной	2	8
123	у нас	4	8
124	на то	3	8
125	в свою	5	8
126	и с	2	8
127	столь же	3	8
128	не было	5	8
129	сводится к	6	8
130	у него	8	8
131	ясно что	2	8
132	до конца	5	7
133	свою очередь	5	7
134	того что	7	7
135	по себе	2	7
136	те же	2	7
137	место в	2	7
138	могут быть	5	7
139	с ними	2	7
140	в качестве	18	7
141	в этой	2	7
142	в начале	3	7
143	бы в	4	7
144	в этих	5	7
145	далеко не	5	7
146	о том	7	7
147	в котором	11	7
148	не существует	3	7
149	той же	3	7
150	как раз	5	7
151	на основе	2	7
152	не есть	2	6
153	она может	2	6
154	то есть	13	6
155	в другом	2	6
156	от своего	2	6
157	он и	2	6
158	одной стороны	9	6
159	что же	6	6
160	в какой	4	6
161	все это	3	6
162	с ее	3	6
163	должна быть	3	6
164	из этих	5	6
165	как оно	2	6
166	по мере	2	6
167	же в	3	6
168	с одной	9	6
169	входит в	2	6
170	уже не	7	6
171	всяком случае	3	6
172	в той	5	6
173	не к	4	6
174	к одному	2	5
175	этом отношении	7	5
176	о чем	4	5
177	в конце	3	5
178	и у	2	5
179	в виду	3	5
180	и тем	3	5
181	из него	2	5
182	точку зрения	2	5
183	связано с	3	5
184	и вот	3	5
185	в особенности	3	5
186	не менее	4	5
187	или в	3	5
188	той или	5	5
189	в первом	3	5
190	хотя и	10	5
191	да и	3	5
192	себя в	4	5
193	тем более	3	5
194	жизни в	5	5
195	но не	9	5
196	для себя	2	5
197	что такое	23	5
198	еще более	2	5
199	в одном	5	5
200	вместе с	2	5
201	слова но	2	4
202	или даже	2	4
203	в одной	2	4
204	как он	2	4
205	так называемой	2	4
206	едва ли	4	4
207	но именно	3	4
208	к ее	3	4
209	в области	5	4
210	к своему	2	4
211	и к	2	4
212	можно сказать	6	4
213	одного из	3	4
214	и он	4	4
215	в них	4	4
216	между двумя	5	4
217	можно назвать	2	4
218	что они	2	4
219	бы и	4	4
220	к его	5	4
221	но при	7	4
222	стороны и	4	4
223	нет ничего	2	4
224	что она	2	4
225	целый ряд	2	4
226	установкой на	2	4
227	одним из	5	4
228	не знает	2	4
229	он является	2	4
230	значения и	2	4
231	мог бы	2	4
232	уже в	2	4
233	несмотря на	2	4
234	жизни и	8	4
235	тем что	2	4
236	даже в	3	3
237	не о	2	3
238	еще и	2	3
239	ситуации и	4	3
240	к себе	2	3
241	не все	2	3
242	по своей	4	3
243	должен быть	3	3
244	роль в	2	3
245	в значительной	2	3
246	в году	2	3
247	у них	3	3
248	в целом	4	3
249	или менее	2	3
250	как это	2	3
251	мы узнаем	2	3
252	они не	3	3
253	более или	2	3
254	потому что	7	3
255	во втором	4	3
256	так в	5	3
257	ответ на	2	3
258	между собой	2	3
259	в бытии	3	3
260	в следующей	2	3
261	с языком	2	3
262	и др	2	3
263	и по	3	3
264	не на	3	3
265	в авторском	2	3
266	имеет место	6	3
267	могла бы	3	3
268	значительной степени	2	3
269	ли это	2	3
270	здесь не	2	3
271	но это	4	3
272	можно было	2	3
273	однако и	3	3
274	с их	2	3
275	в этот	3	3
276	тем не	3	3
277	не утрачивая	2	3
278	границы между	2	3
279	на первый	3	3
280	человека в	2	3
281	и чужого	2	3
282	должен был	2	3
283	от их	2	3
284	и о	4	3
285	ни к	3	3
286	но они	3	3
287	не могло	2	3
288	на протяжении	2	3
289	не с	4	3
290	на нее	2	3
291	на этот	2	3
292	то он	2	3
293	также и	6	3
294	со стороны	15	3
295	в своих	5	3
296	или иначе	2	3
297	в которых	2	3
298	приводит к	2	3
299	еще в	3	3
300	или точнее	2	3
301	однако не	2	3
302	свидетельствует о	5	3
303	к жизни	2	3
304	говорить о	5	3
305	и есть	2	3
306	и только	2	3
307	не следует	3	3
308	с ним	3	3
309	в речь	2	3
310	в художественной	2	2
311	тем самым	6	2
312	ее и	2	2
313	ни о	2	2
314	идет о	3	2
315	указывает на	2	2
316	так например	2	2
317	восприятия и	2	2
318	для которого	4	2
319	случае это	4	2
320	и притом	3	2
321	ли не	2	2
322	противном случае	2	2
323	оказывается в	3	2
324	от себя	2	2
325	здесь как	2	2
326	в современной	7	2
327	друг от	2	2
328	в частности	19	2
329	и вся	3	2
330	а с	4	2
331	от них	2	2
332	к ним	4	2
333	а только	3	2
334	могли бы	3	2
335	мира и	5	2
336	у гоголя	2	2
337	дело обстоит	2	2
338	же касается	2	2
339	на его	2	2
340	в романе	6	2
341	для них	3	2
342	в разных	2	2
343	у тургенева	2	2
344	и во	2	2
345	заключается в	2	2
346	содержания сознания	2	2
347	эти слова	2	2
348	принадлежит к	3	2
349	нашем случае	3	2
350	данном случае	15	2
351	например в	2	2
352	в сознании	5	2
353	исключительно в	3	2
354	в литературе	2	2
355	по аналогии	4	2
356	другой в	2	2
357	к данному	2	2
358	этом и	2	2
359	было в	2	2
360	автора в	5	2
361	не просто	2	2
362	от друга	2	2
363	бы не	3	2
364	этом направлении	2	2
365	сознания в	4	2
366	и наконец	2	2
367	в речи	3	2
368	как о	2	2
369	она в	2	2
370	где в	3	2
371	героя и	5	2
372	во время	3	2
373	на смену	2	2
374	в чем	2	2
375	не по	4	2
376	с установкой	2	2
377	на него	3	2
378	дело с	4	2
379	есть в	2	2
380	в жизни	7	2
381	быть не	4	2
382	слова при	2	2
383	за пределами	3	2
384	их в	3	2
385	зависит от	3	2
386	не вполне	4	2
387	к одной	2	2
388	оно не	2	2
389	и соответственно	4	2
390	а именно	3	2
391	что мы	2	2
392	в противном	2	2
393	нового времени	5	2
394	тому же	6	2
395	мы и	2	2
396	но он	2	2
