N	2gram	Trubetskoy	VelikijI
1	во имя	5	32
2	и не	19	20
3	и в	14	16
4	так как	4	9
5	то что	13	9
6	к богу	7	8
7	еще не	3	8
8	и потому	3	7
9	на земле	4	7
10	что они	3	7
11	а не	2	7
12	не есть	3	6
13	в мире	4	5
14	как бы	4	5
15	на себя	2	5
16	но и	10	5
17	все это	6	5
18	того что	3	5
19	что все	3	4
20	как и	4	4
21	в котором	2	4
22	потому что	5	4
23	все что	4	4
24	в нем	5	4
25	в ней	2	4
26	мира от	3	4
27	в его	4	4
28	говорить о	3	4
29	они будут	2	4
30	в этом	17	4
31	что он	6	4
32	и есть	2	4
33	никогда не	5	3
34	всех людей	2	3
35	что в	4	3
36	в том	17	3
37	и для	6	3
38	тому что	2	3
39	за то	2	3
40	но в	2	3
41	к тому	7	3
42	любовь к	2	3
43	ни в	2	3
44	их в	2	3
45	то это	3	3
46	но это	2	3
47	должно быть	3	3
48	хотя бы	5	3
49	в своей	5	3
50	во всех	5	3
51	к чему	2	3
52	в конце	3	3
53	по этому	2	3
54	жизни и	4	3
55	что и	3	3
56	не было	3	3
57	лишь в	3	3
58	если не	2	3
59	и что	2	3
60	не в	4	3
61	все эти	2	3
62	не нужна	2	3
63	в этих	2	3
64	должна быть	2	3
65	и то	4	2
66	с тем	6	2
67	да и	3	2
68	самого себя	7	2
69	одна из	3	2
70	не так	2	2
71	но не	4	2
72	ее в	2	2
73	не только	9	2
74	не могут	4	2
75	а в	5	2
76	том что	9	2
77	на том	3	2
78	и будут	3	2
79	во главе	2	2
80	но мы	3	2
81	и во	3	2
82	а между	5	2
83	от него	2	2
84	во всяком	9	2
85	и тогда	2	2
86	уже не	2	2
87	не к	2	2
88	не будет	7	2
89	для них	3	2
90	того чтобы	8	2
91	тем что	3	2
92	конечно не	5	2
93	можно было	4	2
94	только в	5	2
95	раз навсегда	2	2
96	его и	2	2
97	от своей	2	2
98	для нас	2	2
99	людей и	2	2
100	прежде всего	8	2
101	и т	3	2
102	с ним	2	2
103	между тем	5	2
104	а с	2	2
105	для него	6	2
