N	3gram	Vygotskiy_	Freidism
1	с точки зрения	12	15
2	не может быть	4	14
3	по отношению к	19	11
4	в самом деле	6	10
5	в том что	33	9
6	во всяком случае	2	8
7	как мы видели	4	8
8	в высшей степени	3	6
9	мы знаем что	2	6
10	можно сказать что	7	5
11	как мы уже	2	5
12	с самого начала	8	5
13	на первый план	2	4
14	в этом отношении	7	4
15	не могут быть	3	4
16	в данном случае	3	4
17	в зависимости от	2	4
18	на самом деле	3	4
19	в свою очередь	4	4
20	мы не можем	2	3
21	и той же	3	3
22	на этот вопрос	5	3
23	в этот период	3	3
24	и тот же	5	3
25	о том что	7	3
26	в собственном смысле	2	3
27	в следующей главе	2	3
28	один и тот	5	3
29	для того чтобы	20	3
30	только то что	2	3
31	к тому чтобы	4	3
32	и не может	3	3
33	до сих пор	3	3
34	одной и той	3	3
35	мы видели что	2	3
36	но вместе с	3	2
37	с помощью которого	3	2
38	то же самое	7	2
39	его отношение к	3	2
40	один из них	2	2
41	а с другой	3	2
42	том что он	3	2
43	к тому что	5	2
44	таким образом в	2	2
45	в другом месте	4	2
46	то обстоятельство что	5	2
47	в настоящей главе	2	2
48	заключается в том	12	2
49	в отличие от	3	2
50	в конце концов	2	2
51	мы могли бы	15	2
52	с одной стороны	10	2
53	в какой степени	2	2
54	в этом смысле	5	2
55	но если мы	2	2
