N	3gram	Tiupa_Lite	Narrotol
1	в том что	15	18
2	в данном случае	6	17
3	не только в	4	13
4	по отношению к	4	11
5	дамы с собачкой	2	11
6	в отличие от	6	11
7	о том что	3	9
8	не сводится к	3	8
9	в то же	12	8
10	тем не менее	4	8
11	в этом отношении	5	8
12	в соответствии с	2	8
13	то же время	12	8
14	не может быть	5	8
15	и тем самым	2	6
16	с одной стороны	8	6
17	состоит в том	8	6
18	мы имеем дело	2	6
19	но при этом	2	5
20	подобно тому как	4	5
21	в свою очередь	2	5
22	во всяком случае	2	4
23	в конечном счете	8	4
24	в равной степени	2	4
25	в коммуникативном событии	2	3
26	речь идет о	3	3
27	при всей своей	2	3
28	а то и	2	3
29	в связи с	4	3
30	с точки зрения	4	3
31	едва ли не	5	3
32	я в мире	3	3
33	несет в себе	2	3
34	дело в том	2	3
35	и то что	2	3
36	в русской литературе	5	2
37	дело не только	2	2
38	а с другой	2	2
39	в е годы	3	2
40	можно было бы	2	2
41	не могло быть	2	2
42	с легкой руки	2	2
43	и т п	2	2
44	в силу своей	3	2
45	по этой причине	2	2
46	друг для друга	2	2
