N	2gram	Vygotskiy_	UchenyiS
1	и в	47	14
2	не только	36	10
3	а не	7	10
4	и не	27	8
5	прежде всего	9	8
6	то что	40	7
7	не может	23	7
8	вот почему	3	7
9	в этом	47	7
10	может быть	20	6
11	и только	7	5
12	то же	16	5
13	все это	5	5
14	в конечном	2	4
15	но и	19	4
16	в этой	7	4
17	конечном счете	2	4
18	что такое	2	4
19	с другой	7	4
20	в их	4	4
21	конечно не	2	4
22	у нас	3	3
23	в частности	4	3
24	для этого	4	3
25	и т.д	4	3
26	это не	6	3
27	только к	4	3
28	очевидно что	6	3
29	как такового	2	3
30	и то	10	3
31	в своей	4	3
32	все же	7	3
33	нашему мнению	2	3
34	как и	19	3
35	в то	10	3
36	но в	9	3
37	этой области	2	3
38	было бы	12	3
39	в области	5	3
40	другой стороны	3	3
41	для него	6	3
42	в самом	15	2
43	в себе	14	2
44	что мы	14	2
45	мы и	5	2
46	о чем	8	2
47	нас в	4	2
48	является в	7	2
49	же самое	12	2
50	что он	13	2
51	таким образом	38	2
52	но не	13	2
53	и для	5	2
54	если бы	8	2
55	между тем	2	2
56	самом деле	6	2
57	только в	24	2
58	одним из	3	2
59	этом смысле	2	2
60	и является	5	2
61	не есть	4	2
62	что она	8	2
63	ничего не	2	2
64	и с	5	2
65	что и	4	2
66	вопроса о	2	2
67	при таком	2	2
68	могут быть	7	2
69	но даже	2	2
70	не могут	9	2
71	смысле этого	4	2
72	это было	2	2
73	сих пор	6	2
74	по себе	5	2
75	тем что	14	2
76	том что	28	2
77	в его	7	2
78	в том	38	2
79	что все	6	2
80	этом отношении	7	2
81	этого термина	2	2
82	как раз	6	2
83	представляется нам	3	2
84	его и	2	2
85	но это	4	2
86	для всех	2	2
87	по существу	2	2
88	не в	7	2
89	в конце	5	2
90	в системе	3	2
91	мы не	10	2
92	до сих	6	2
93	могли бы	10	2
