N	3gram	Vinokur_St	Literetu
1	в то же	5	21
2	то же время	5	21
3	в том что	29	21
4	по отношению к	3	12
5	с одной стороны	2	12
6	в данном случае	7	11
7	не может быть	5	11
8	о том что	19	10
9	так или иначе	3	10
10	в этом отношении	13	10
11	с точки зрения	10	8
12	не говоря уже	2	8
13	с другой стороны	8	7
14	говоря уже о	2	6
15	в том числе	3	6
16	к тому же	2	6
17	не только в	4	6
18	тем не менее	4	5
19	бы то ни	2	4
20	и то что	2	4
21	и т п	11	3
22	во всяком случае	8	3
23	на самом деле	7	3
24	по крайней мере	2	3
25	в самом деле	7	3
26	только в том	3	3
27	на то что	5	3
28	но с другой	2	3
29	речь идет о	3	3
30	ничего общего с	3	3
31	том числе и	2	3
32	в том же	3	3
33	в одном из	4	3
34	в равной мере	2	2
35	на эту тему	4	2
36	что же касается	3	2
37	это прежде всего	2	2
38	для того чтобы	13	2
39	за то что	5	2
40	я не могу	2	2
41	тем что в	2	2
42	в свое время	3	2
43	не только не	2	2
44	чуть ли не	2	2
45	и в самом	3	2
46	в этом случае	3	2
47	к тому что	4	2
48	но и в	2	2
49	можно было бы	8	2
50	вместе с тем	2	2
51	дело в том	7	2
52	в значительной степени	2	2
53	а во второй	2	2
