N	3gram	Propp_Isto	Narrotol
1	в том что	4	18
2	в данном случае	2	17
3	не только в	2	13
4	по отношению к	2	11
5	о том что	5	9
6	тем не менее	6	8
7	не может быть	6	8
8	и тем самым	2	6
9	с одной стороны	7	6
10	подобно тому как	2	5
11	для того чтобы	3	5
12	но и в	2	5
13	точно так же	3	3
14	в связи с	6	3
15	до сих пор	7	3
16	на то что	3	3
17	и то что	3	3
18	одно и то	2	2
19	и то же	2	2
20	но все же	6	2
21	не в том	2	2
22	здесь мы имеем	4	2
23	так же как	10	2
24	в том смысле	2	2
25	на том свете	2	2
26	что у него	2	2
