N	3gram	Tiupa_Hudo	Komedia
1	в том что	15	29
2	до сих пор	3	16
3	то же время	11	16
4	в то же	11	16
5	о том что	14	13
6	в самом деле	5	13
7	для того чтобы	2	11
8	и т п	10	11
9	по отношению к	15	9
10	с одной стороны	4	9
11	речь идет о	2	8
12	и в самом	4	8
13	в первую очередь	2	7
14	так или иначе	3	7
15	в связи с	3	6
16	с точки зрения	5	6
17	что он не	3	5
18	то же самое	3	5
19	и т д	5	5
20	в этом отношении	4	5
21	о том как	4	5
22	тем не менее	6	5
23	в это время	2	4
24	в первой половине	2	4
25	к тому что	8	4
26	во второй половине	2	4
27	можно было бы	5	4
28	но все же	2	4
29	что у него	2	4
30	друг от друга	2	3
31	на то что	2	3
32	в этой связи	5	3
33	не более чем	2	3
34	состоит в том	3	3
35	и сам он	2	2
36	но при этом	3	2
37	если говорить о	2	2
38	только в том	4	2
39	подобно тому как	4	2
40	в первом случае	2	2
41	том что в	4	2
42	не только в	4	2
43	на то чтобы	2	2
44	так же как	2	2
45	одних и тех	2	2
46	и тех же	2	2
47	так и не	3	2
48	в конечном счете	4	2
49	только потому что	2	2
50	как и в	5	2
51	как будто бы	3	2
52	и в то	2	2
