N	2gram	Trubetskoy	Vvedenie
1	в том	11	38
2	в этом	15	35
3	и в	26	35
4	том что	7	30
5	может быть	10	30
6	не только	10	26
7	для того	5	23
8	того чтобы	5	22
9	таким образом	22	21
10	не может	4	19
11	то что	7	19
12	потому что	7	18
13	о том	6	16
14	только в	4	16
15	так как	9	15
16	в общем	8	14
17	представляет собой	3	14
18	и не	8	13
19	что в	9	13
20	в самом	4	13
21	в нем	4	13
22	того что	3	12
23	точки зрения	13	12
24	в его	5	12
25	как на	8	12
26	то же	4	11
27	ясно что	3	11
28	не в	2	10
29	прежде всего	2	10
30	но в	7	10
31	между тем	2	10
32	из этих	10	9
33	тем не	3	9
34	и как	3	9
35	все же	6	9
36	но не	8	9
37	не менее	3	9
38	о котором	2	8
39	с другой	8	8
40	именно в	2	8
41	в качестве	3	8
42	с течением	3	7
43	сих пор	5	7
44	как бы	12	7
45	течением времени	3	7
46	но и	9	7
47	в разных	2	7
48	до сих	5	7
49	сказать что	2	6
50	не могут	2	6
51	хотя бы	3	6
52	и даже	3	6
53	но если	2	6
54	так например	2	6
55	на этот	4	6
56	с тем	18	6
57	и это	2	6
58	а в	4	6
59	уже не	3	6
60	в которых	4	6
61	в то	4	6
62	один из	2	6
63	и что	4	6
64	все это	6	6
65	же время	2	6
66	вместе с	15	6
67	и т.д	6	5
68	в виду	2	5
69	одним из	2	5
70	с этой	3	5
71	что он	4	5
72	так что	3	5
73	в течение	4	5
74	по своему	2	5
75	одно из	2	5
76	смотреть на	2	5
77	в них	2	5
78	уже в	2	5
79	всяком случае	6	5
80	что и	6	5
81	а не	5	5
82	но с	3	5
83	во всяком	6	5
84	должен был	4	4
85	по сравнению	2	4
86	в результате	3	4
87	мы имеем	2	4
88	одной стороны	7	4
89	в области	9	4
90	только что	2	4
91	связана с	2	4
92	этом отношении	2	4
93	как о	3	4
94	еще не	2	4
95	по крайней	5	4
96	отношению к	3	4
97	с одной	7	4
98	к тому	6	4
99	одной из	5	4
100	но все	7	4
101	и для	5	4
102	не имеет	5	4
103	так или	3	4
104	в котором	4	4
105	в виде	4	4
106	не вполне	3	4
107	тогда когда	2	4
108	в одном	3	4
109	из них	7	4
110	или иначе	3	4
111	в себе	6	4
112	с точки	6	4
113	крайней мере	5	4
114	сравнению с	2	4
115	можно сказать	3	4
116	никогда не	5	3
117	в отношении	6	3
118	что это	3	3
119	на нее	3	3
120	или иной	2	3
121	в своем	3	3
122	а также	2	3
123	одновременно и	2	3
124	так же	5	3
125	в начале	2	3
126	для этого	2	3
127	к этому	3	3
128	не как	2	3
129	в значительной	3	3
130	в конце	6	3
131	отношение к	5	3
132	и здесь	2	3
133	если бы	3	3
134	так называемой	2	3
135	в этих	4	3
136	в силу	5	3
137	том виде	2	3
138	не с	2	3
139	мы видели	2	3
140	к нему	7	3
141	и на	2	3
142	того же	6	3
143	за собой	3	3
144	и к	5	3
145	из которых	4	3
146	так чтобы	2	3
147	же как	3	3
148	при этом	3	3
149	все эти	6	3
150	той или	2	3
151	связи с	9	3
152	и тогда	4	3
153	же самое	2	3
154	в этой	4	3
155	не исчерпывается	2	2
156	в создании	2	2
157	но вместе	2	2
158	и потому	6	2
159	мы должны	6	2
160	во всех	2	2
161	с ней	3	2
162	этой точки	2	2
163	что оно	4	2
164	к культуре	2	2
165	его можно	2	2
166	конце концов	3	2
167	что именно	2	2
168	и те	3	2
169	в связи	3	2
170	виде в	2	2
171	при жизни	4	2
172	а с	7	2
173	у них	3	2
174	и при	3	2
175	и другие	3	2
176	должна была	2	2
177	так и	6	2
178	может ли	2	2
179	без остатка	2	2
180	надо было	2	2
181	на то	2	2
182	и сейчас	2	2
183	состоит в	2	2
184	можно только	2	2
185	в свою	2	2
186	и с	10	2
187	так называемую	2	2
188	и из	2	2
189	что мы	2	2
190	мы можем	2	2
191	точно так	3	2
192	несмотря на	6	2
193	влечет за	2	2
194	жизни и	2	2
195	не было	2	2
196	иной раз	2	2
197	из него	2	2
198	значительной мере	2	2
199	случае не	3	2
200	так называемые	3	2
201	них не	2	2
202	не к	2	2
203	по существу	2	2
204	учение о	4	2
205	а так	3	2
206	быть и	2	2
