N	2gram	Propp_Morf	Stilisti
1	и в	17	42
2	как бы	6	30
3	не только	8	28
4	прежде всего	14	22
5	хотя бы	5	18
6	то же	10	16
7	но и	9	16
8	и не	16	14
9	не может	19	13
10	может быть	61	13
11	как и	4	12
12	точки зрения	7	11
13	что мы	2	11
14	мы уже	4	11
15	и как	6	10
16	мы должны	3	10
17	в этом	18	10
18	как мы	8	10
19	в то	4	9
20	для того	3	9
21	все же	9	9
22	то что	10	9
23	мы не	8	9
24	ничего не	5	8
25	так как	20	8
26	с тем	2	8
27	что же	2	8
28	таким образом	26	8
29	с его	3	8
30	в которой	3	7
31	мы можем	5	7
32	так и	10	7
33	потому что	7	7
34	только в	3	7
35	а не	11	7
36	того чтобы	4	7
37	было бы	5	7
38	и его	3	7
39	и тем	3	7
40	бы в	2	6
41	во всех	6	6
42	не в	3	6
43	на его	5	6
44	в форме	6	6
45	в этой	3	6
46	мы будем	3	6
47	независимо от	4	5
48	в нашем	6	5
49	мы увидим	10	5
50	не является	4	5
51	и их	3	5
52	самом деле	4	5
53	как это	7	5
54	а с	2	5
55	но все	4	5
56	тому что	5	5
57	а в	8	5
58	но в	4	5
59	с точки	6	5
60	что это	3	4
61	в одном	2	4
62	так же	4	4
63	вопроса о	3	4
64	в данной	2	4
65	его в	4	4
66	на него	4	4
67	если бы	3	4
68	что именно	2	4
69	не что	2	4
70	у нас	3	4
71	того что	3	4
72	можно было	4	4
73	один из	7	4
74	к тому	5	4
75	о том	6	4
76	и пр	45	4
77	что такое	3	4
78	если мы	6	4
79	уже не	4	4
80	и к	4	4
81	в целом	5	4
82	не существует	3	4
83	мы видим	15	4
84	все это	2	4
85	в качестве	8	4
86	себя в	2	4
87	можно сказать	2	4
88	тем же	2	4
89	сказать что	4	3
90	на самом	4	3
91	это не	6	3
92	которое может	2	3
93	том что	7	3
94	в начале	3	3
95	в тех	8	3
96	но для	3	3
97	перед нами	14	3
98	об этом	5	3
99	и даже	2	3
100	от того	4	3
101	то мы	5	3
102	и здесь	7	3
103	целый ряд	3	3
104	роль в	2	3
105	для наших	3	3
106	во второй	2	3
107	та же	3	3
108	в том	10	3
109	он должен	3	3
110	в частности	2	3
111	еще не	4	3
112	его и	2	3
113	как в	5	3
114	чаще всего	11	3
115	не знает	2	3
116	для него	2	3
117	не с	2	3
118	по своему	2	3
119	не так	2	3
120	и для	4	3
121	их в	2	3
122	заметить что	11	3
123	ответ на	2	3
124	как таковой	2	3
125	из которых	5	3
126	главным образом	5	3
127	из них	4	3
128	если он	2	3
129	для нас	2	3
130	хотя и	5	3
131	несмотря на	4	3
132	что и	10	3
133	все эти	5	3
134	связи с	12	3
135	но вот	2	3
136	уже видели	2	3
137	что эти	3	3
138	этом случае	10	3
139	между тем	5	3
140	вряд ли	2	3
141	в основе	2	3
142	здесь мы	3	3
143	что иное	2	2
144	в каком	2	2
145	первый взгляд	3	2
146	вопрос о	10	2
147	как например	2	2
148	с этим	14	2
149	с другими	2	2
150	мы имеем	19	2
151	из этих	2	2
152	но как	3	2
153	к этому	4	2
154	по отношению	7	2
155	и больше	2	2
156	иное как	2	2
157	друг друга	3	2
158	а на	3	2
159	в середине	2	2
160	на первый	3	2
161	кроме того	3	2
162	тем что	4	2
163	этом отношении	2	2
164	из двух	3	2
165	не всегда	10	2
166	и при	3	2
167	в этих	17	2
168	что он	5	2
169	ничем не	2	2
170	наших целей	2	2
171	ни к	2	2
172	отношению к	7	2
173	к чему	3	2
174	в пределах	3	2
175	в какой	3	2
176	увидим что	2	2
177	одной из	2	2
178	на этот	2	2
179	но не	8	2
180	и этот	2	2
181	как уже	3	2
182	также и	6	2
183	к нему	3	2
184	но мы	3	2
185	о происхождении	2	2
186	видим что	12	2
187	прежде чем	5	2
188	не сумеем	2	2
189	в своих	2	2
190	с собой	3	2
191	ту же	2	2
192	тех случаях	2	2
193	этот вопрос	4	2
194	в которых	2	2
195	однако в	2	2
196	представляет собой	17	2
197	между собой	5	2
198	чему не	2	2
199	как таковое	3	2
200	и когда	2	2
201	здесь не	3	2
202	но это	6	2
203	ответить на	2	2
204	и тогда	3	2
205	или в	6	2
206	в связи	10	2
207	он не	5	2
208	значение и	3	2
209	случаях когда	2	2
210	перейти к	2	2
211	вовсе не	6	2
212	тем и	2	2
213	ясно что	5	2
