N	2gram	Bakhtin_Fr	RusskieA
1	и в	67	79
2	в том	16	64
3	том что	13	59
4	что в	14	57
5	не только	23	41
6	во время	15	38
7	так как	16	34
8	в этом	27	33
9	и другие	5	33
10	как бы	18	31
11	но и	23	31
12	в других	2	30
13	как и	19	28
14	может быть	4	28
15	и на	12	28
16	в этот	3	26
17	о том	8	23
18	при этом	5	22
19	это не	5	20
20	как мы	16	20
21	а в	4	20
22	там же	3	20
23	из них	5	19
24	все это	15	18
25	с тем	3	17
26	потому что	8	17
27	то что	9	17
28	об этом	5	17
29	таким образом	20	17
30	вместе с	5	17
31	мы не	6	16
32	один из	6	15
33	или на	2	15
34	у нас	3	14
35	мы видели	11	14
36	не менее	4	14
37	в них	12	14
38	как это	5	14
39	и не	23	14
40	и с	18	14
41	и что	3	14
42	и по	3	13
43	к этому	4	13
44	не может	9	13
45	еще не	5	13
46	как в	4	13
47	в которых	3	13
48	тем что	3	12
49	что на	3	11
50	а затем	7	11
51	но это	10	11
52	не имеет	4	11
53	далеко не	6	11
54	его в	10	10
55	и других	2	10
56	так и	14	10
57	по существу	4	10
58	так например	3	10
59	между тем	3	10
60	все же	7	10
61	что и	8	10
62	а также	4	10
63	в течение	3	10
64	или в	3	10
65	данном случае	4	9
66	о чем	5	9
67	том же	3	9
68	но в	20	9
69	по улицам	2	9
70	и все	18	9
71	что они	3	9
72	то же	18	9
73	в г	2	9
74	но не	6	9
75	на части	10	9
76	так же	13	8
77	того что	4	8
78	одно из	2	8
79	в данном	4	8
80	того чтобы	9	8
81	их в	2	8
82	связи с	7	8
83	что это	4	8
84	не все	2	8
85	во всех	20	8
86	подобно тому	2	8
87	для того	8	8
88	что по	3	8
89	тому как	2	8
90	в своем	13	7
91	ничего не	5	7
92	начиная с	2	7
93	в свете	3	7
94	не в	8	7
95	к нему	5	7
96	на них	2	7
97	животных и	3	7
98	было бы	5	7
99	до конца	2	7
100	для этого	2	7
101	из этих	4	7
102	и как	7	7
103	это время	2	7
104	еще в	3	7
105	в эти	2	7
106	только в	6	7
107	связанные с	7	7
108	как будто	2	7
