N	2gram	Tiupa_Anal	Dialekti
1	не есть	8	181
2	и не	33	120
3	и т	3	82
4	по себе	6	79
5	а не	25	78
6	и в	30	77
7	точки зрения	10	72
8	может быть	33	71
9	не только	30	66
10	то что	11	59
11	и есть	3	55
12	ничего не	10	54
13	не может	26	53
14	и даже	10	47
15	так как	3	46
16	с точки	6	46
17	потому что	3	45
18	стало быть	2	44
19	не просто	2	44
20	как бы	15	43
21	ни в	5	42
22	и что	2	42
23	вовсе не	4	41
24	в том	36	40
25	в этом	31	39
26	то же	12	39
27	в себе	17	38
28	том что	21	37
29	что он	3	37
30	прежде всего	8	37
31	это не	7	36
32	так что	3	36
33	она есть	2	35
34	что в	7	34
35	в нем	3	34
36	и все	5	33
37	того что	5	33
38	но и	29	32
39	все это	2	31
40	и как	6	30
41	отнюдь не	22	30
42	сказать что	2	30
43	так и	16	29
44	было бы	4	29
45	как и	23	28
46	никогда не	4	27
47	крайней мере	4	26
48	по крайней	4	26
49	в виду	2	26
50	не в	17	26
51	есть не	9	25
52	и то	4	25
53	говорить о	3	25
54	если бы	6	24
55	в то	10	23
56	таким образом	5	23
57	я не	2	22
58	что не	3	21
59	личности и	3	21
60	личность есть	2	21
61	в чем	2	21
62	что все	2	20
63	только в	8	20
64	как раз	5	20
65	что и	5	20
66	совершенно не	2	20
67	о том	11	20
68	уже не	6	20
69	и с	2	20
70	в таком	5	20
71	в своем	2	19
72	что мы	3	19
73	как это	5	19
74	не менее	5	19
75	тогда когда	3	19
76	в самом	12	19
77	и его	9	19
78	иное как	6	18
79	не что	5	18
80	что иное	6	18
81	что же	3	18
82	с другой	7	18
83	хотя бы	4	18
84	же время	7	18
85	в основе	6	17
86	той или	8	17
87	в сущности	10	17
88	можно сказать	6	17
89	должно быть	2	17
90	в своей	7	16
91	нет ничего	2	16
92	только не	6	16
93	или не	2	16
94	к нему	4	16
95	да и	2	16
96	одно и	2	16
97	тем не	3	16
98	и о	3	15
99	то в	2	15
100	также и	3	15
101	все же	4	15
102	самом деле	3	15
103	хотя и	4	15
104	на то	2	15
105	личности в	4	15
106	несмотря на	5	15
107	мы уже	2	15
108	и потому	2	14
109	ни с	5	14
110	таком случае	5	14
111	с ним	6	14
112	а именно	3	14
113	ни о	3	13
114	в силу	4	13
115	но в	11	13
116	и та	2	13
