N	3gram	Losev_Dial	Mirosoze
1	не может быть	12	28
2	в том что	12	9
3	это и есть	4	9
4	о том что	6	6
5	есть прежде всего	4	6
6	и в этом	4	6
7	есть не только	3	5
8	от того что	4	4
9	на то что	3	4
10	не что иное	6	4
11	в нем нет	2	4
12	то время как	6	4
13	не в силах	2	4
14	в то время	6	4
15	что иное как	6	4
16	а не только	2	3
17	во всяком случае	3	3
18	это значит что	25	3
19	одна и та	3	3
20	но это не	2	3
21	одной и той	4	3
22	и та же	3	3
23	как и в	3	3
24	не может не	3	3
25	как и все	5	3
26	и той же	4	3
27	– все это	2	3
28	к тому что	2	3
29	потому что она	2	3
30	так же как	2	3
31	есть не что	3	3
32	он не может	3	2
33	т е в	4	2
34	что это не	3	2
35	подобно тому как	5	2
36	в этом отношении	2	2
37	ни в чем	2	2
38	в нем не	2	2
39	не могут быть	3	2
