N	2gram	Propp_Russ	Myshleni
1	в том	33	195
2	в этом	18	167
3	то что	10	166
4	и в	59	162
5	том что	33	161
6	таким образом	10	147
7	точки зрения	3	143
8	что в	35	119
9	не только	28	116
10	того что	6	109
11	так же	7	100
12	потому что	15	95
13	того чтобы	6	91
14	может быть	14	89
15	с точки	3	89
16	что он	2	86
17	не может	6	81
18	как и	19	79
19	так как	25	78
20	для того	6	78
21	и не	6	78
22	только в	4	75
23	в целом	2	74
24	как мы	11	72
25	но и	20	70
26	в его	3	67
27	как бы	18	64
28	вместе с	16	62
29	в качестве	5	60
30	и что	8	60
31	было бы	3	60
32	представляет собой	5	60
33	то же	6	58
34	в силу	2	53
35	между собой	4	53
36	мы должны	3	50
37	к тому	4	49
38	что они	8	48
39	мы можем	2	48
40	тем что	7	48
41	мы не	11	47
42	тогда когда	4	47
43	но не	7	45
44	с тем	14	43
45	же как	5	43
46	как это	11	42
47	тому что	4	42
48	не является	2	41
49	о том	14	40
50	так и	8	39
51	в области	3	38
52	мы видели	3	38
53	вопрос о	4	37
54	не в	2	37
55	в этой	4	37
56	и к	3	37
57	мы видим	2	37
58	в своем	3	36
59	все эти	5	36
60	и его	2	36
61	как в	10	36
62	а не	3	36
63	можно было	3	35
64	в которой	3	35
65	и как	2	34
66	связи с	6	34
67	приводит к	4	34
68	при этом	11	33
69	прежде всего	2	33
70	нас к	5	32
71	что и	8	32
72	именно в	3	32
73	по своему	2	32
74	но в	5	32
75	и на	14	32
76	и то	2	31
77	все же	7	31
78	на то	2	30
79	между тем	9	29
80	могут быть	3	29
81	показывает что	9	29
82	этого слова	3	29
83	как известно	2	29
84	переход от	3	28
85	к слову	3	28
86	с этим	4	28
87	что с	2	28
88	что все	2	27
89	с этой	2	27
90	в то	3	27
91	перед нами	2	27
92	связь между	2	27
93	этом случае	9	27
94	и с	12	27
95	в их	5	26
96	в частности	2	26
97	что это	4	26
98	все это	12	25
99	еще не	7	25
100	уже в	2	25
101	что она	4	25
102	это не	14	25
103	мы уже	2	25
104	так что	4	24
105	тот же	2	24
106	в какой	3	24
107	в нем	3	24
108	того как	6	24
109	на этот	3	24
110	как уже	6	24
111	как он	2	23
112	состоит в	18	23
113	друг друга	3	23
114	слова в	3	23
115	этот вопрос	4	23
116	то время	3	22
117	и более	3	21
118	в нашем	2	21
119	его в	9	21
120	представление о	5	21
121	там где	3	21
122	к этому	7	21
123	и все	4	21
124	ее в	7	21
125	и следовательно	2	21
126	и ее	3	21
127	не имеет	9	21
128	с таким	2	21
129	в свете	5	21
130	к выводу	3	20
131	в котором	2	20
132	в виду	3	20
133	и других	9	20
134	по существу	7	20
135	а в	16	20
136	должно быть	2	20
137	из них	12	20
138	и их	4	20
139	на этом	6	20
140	не менее	3	20
141	из этих	6	20
142	в данном	7	19
143	с ним	2	19
144	из которых	2	19
145	как на	2	19
146	но если	2	19
147	а с	6	19
148	и по	10	19
149	во всех	6	19
150	один из	10	19
151	в связи	4	19
152	независимо от	3	19
153	отличие от	4	18
154	во всем	2	18
155	во всей	2	18
156	приводит нас	4	18
157	чем в	4	18
158	но это	5	18
159	в отличие	4	18
160	для этого	6	17
161	и для	3	17
162	все что	2	17
163	в своих	3	17
164	в свою	3	17
165	в одном	4	17
166	и от	2	17
167	то и	4	17
168	ту же	2	17
169	в этих	3	17
170	их в	7	17
171	до конца	5	17
172	у него	2	17
173	раньше чем	2	16
174	на этой	3	16
175	выводу что	3	16
176	значение в	2	16
177	тому как	3	16
178	и другие	24	16
179	для нас	12	16
180	из основных	2	16
181	которые в	2	16
182	такой же	3	16
183	между двумя	2	16
184	в которых	8	16
185	мы имеем	7	16
186	которые не	3	16
187	таким же	4	16
188	данном случае	8	15
189	когда он	3	15
190	том же	6	15
191	значит что	2	15
192	по этому	4	15
193	что если	2	15
194	от этого	2	15
195	подобно тому	3	15
196	что при	2	15
197	ничего не	4	15
198	на все	3	15
199	и это	2	15
200	в них	10	15
201	он должен	2	14
202	только тогда	3	14
203	и во	2	14
204	что для	4	14
205	что эти	2	14
206	что у	3	14
207	когда мы	2	14
208	очевидно что	2	14
209	показывают что	3	14
210	который в	2	14
211	но что	2	14
212	связанные с	5	14
213	о чем	7	14
214	свою очередь	2	14
215	об этом	11	14
216	одним из	2	14
217	и здесь	3	14
218	не можем	5	14
219	она не	4	13
220	но все	3	13
221	значения и	2	13
222	в виде	10	13
223	имеет место	3	13
224	с ней	7	13
225	как они	2	13
226	отнюдь не	3	13
227	его к	3	13
228	если в	3	13
229	в основном	4	13
230	с другими	3	13
231	и потому	3	12
232	а затем	5	12
233	тем не	3	12
234	входит в	4	12
235	тем и	4	12
236	к другу	2	12
237	несмотря на	4	12
238	в ней	3	12
239	должны были	3	12
240	том чтобы	3	12
241	полагает что	8	12
242	на первый	3	12
243	только на	4	12
244	к нему	3	12
245	к другому	2	12
246	но он	3	12
247	на самом	3	11
248	одно из	6	11
249	что этот	4	11
250	и другой	5	11
251	с собой	4	11
252	и при	2	11
253	ответ на	2	11
254	находится в	3	11
255	например в	3	11
256	в других	24	11
257	в пределах	2	11
258	не означает	2	11
259	мы увидим	8	11
260	в один	2	11
261	что на	5	11
262	и наконец	2	11
263	нас в	2	11
264	не столько	3	11
265	только по	2	11
266	ничего общего	3	11
267	есть в	2	11
268	здесь мы	3	10
269	но вместе	3	10
270	с той	2	10
271	у нас	11	10
272	представляют собой	13	10
