N	2gram	Tiupa_Teor	Stilisti
1	и в	24	42
2	как бы	8	30
3	не только	24	28
4	и т.п	7	25
5	прежде всего	3	22
6	и т.д	4	21
7	внутренней речи	13	18
8	то же	12	16
9	но и	14	16
10	и не	17	14
11	не может	8	13
12	может быть	22	13
13	как и	6	12
14	точки зрения	11	11
15	в себе	14	10
16	и как	3	10
17	отнюдь не	3	10
18	в этом	12	10
19	в то	9	9
20	для того	5	9
21	то что	6	9
22	при этом	20	9
23	тем самым	6	8
24	и это	2	8
25	таким образом	3	8
26	с его	6	8
27	никогда не	4	7
28	в которой	3	7
29	же время	8	7
30	так и	14	7
31	потому что	3	7
32	только в	9	7
33	а не	14	7
34	и на	2	7
35	того чтобы	5	7
36	и его	11	7
37	и тем	5	7
38	одно и	2	6
39	или иной	7	6
40	во всех	3	6
41	не в	9	6
42	в области	7	6
43	в конце	2	6
44	речи и	4	6
45	в нем	7	6
46	в свою	4	6
47	в его	12	6
48	в форме	4	6
49	слова в	4	6
50	в этой	3	6
51	и то	3	5
52	того или	6	5
53	в нашем	4	5
54	то есть	22	5
55	не является	5	5
56	своей жизни	2	5
57	самом деле	2	5
58	как это	10	5
59	а с	3	5
60	и является	2	5
61	тому что	2	5
62	а в	15	5
63	но в	12	5
64	или иного	6	5
65	в самом	7	5
66	в той	2	5
67	с точки	3	5
68	художественного творчества	5	5
69	вместе с	2	5
70	в одном	3	4
71	так же	2	4
72	внешней речи	2	4
73	ту или	2	4
74	его в	4	4
75	если бы	3	4
76	лишь в	10	4
77	свою очередь	3	4
78	слова как	3	4
79	у нас	2	4
80	к своему	2	4
81	того что	5	4
82	один из	2	4
83	к тому	4	4
84	о том	2	4
85	что такое	2	4
86	или иную	2	4
87	если мы	2	4
88	уже не	6	4
89	и к	3	4
90	в целом	4	4
91	во внутренней	2	4
92	той или	3	4
93	не просто	2	4
94	все это	2	4
95	в качестве	33	4
96	себя в	7	4
97	тех или	3	4
98	можно сказать	5	4
99	в слове	4	4
100	тем же	2	4
101	сказать что	4	3
102	это не	4	3
103	том что	11	3
104	перед нами	3	3
105	о своем	2	3
106	внутренней и	2	3
107	об этом	2	3
108	и даже	2	3
109	этого слова	4	3
110	и здесь	2	3
111	или иных	3	3
112	роль в	3	3
113	во второй	7	3
114	в виду	5	3
115	в том	20	3
116	он должен	3	3
117	в частности	23	3
118	высказывания как	2	3
119	еще не	6	3
120	только на	2	3
121	вследствие этого	2	3
122	как в	5	3
123	и вот	3	3
124	не знает	4	3
125	для него	5	3
126	не с	3	3
127	по своему	4	3
128	и для	3	3
129	их в	3	3
130	высказывания в	5	3
131	и внешней	3	3
132	мы легко	2	3
133	между ними	6	3
134	из которых	2	3
135	не будет	3	3
136	хотя и	4	3
137	несмотря на	2	3
138	что и	2	3
139	в ее	6	3
140	мы в	2	3
141	все эти	3	3
142	высказывания и	2	3
143	связи с	3	3
144	перед ним	2	3
145	отношения к	4	3
146	между тем	5	3
147	в основе	6	3
148	здесь мы	2	3
149	еще и	2	2
150	в каком	2	2
151	в отношении	4	2
152	и потому	3	2
153	значительной степени	2	2
154	для всех	2	2
155	слова не	2	2
156	с другими	6	2
157	мы имеем	7	2
158	из этих	3	2
159	но как	2	2
160	формы высказывания	2	2
161	человека и	2	2
162	в первой	6	2
163	времени и	2	2
164	по отношению	10	2
165	и больше	2	2
166	при условии	2	2
167	общения людей	3	2
168	отношение к	7	2
169	должен быть	2	2
170	к которому	3	2
171	а на	3	2
172	я и	2	2
173	в их	4	2
174	тот или	3	2
175	не всегда	2	2
176	в значительной	2	2
177	художественного высказывания	3	2
178	в этих	4	2
179	что он	4	2
180	по своей	8	2
181	и сам	4	2
182	ни к	3	2
183	отношению к	10	2
184	к чему	2	2
185	в пределах	5	2
186	в какой	2	2
187	при всем	2	2
188	одной из	2	2
189	в жизни	3	2
190	в мире	26	2
191	но не	13	2
192	в душе	9	2
193	между внутренней	2	2
194	как уже	2	2
195	к нему	2	2
196	высказывания не	2	2
197	либо в	2	2
198	однако в	7	2
199	представляет собой	13	2
200	между собой	3	2
201	место в	7	2
202	о чем	3	2
203	человека с	3	2
204	между двумя	3	2
205	здесь не	2	2
206	языка в	4	2
207	в своей	8	2
208	или даже	4	2
209	или в	3	2
210	в связи	3	2
211	он не	5	2
212	вовсе не	3	2
