N	3gram	Propp_Russ	StatiiOP
1	в том что	27	47
2	и т д	12	32
3	о том что	6	29
4	для того чтобы	6	19
5	с точки зрения	3	14
6	на то что	2	9
7	можно было бы	2	9
8	вместе с тем	10	9
9	тем не менее	3	8
10	к тому что	4	8
11	в данном случае	7	7
12	по этому поводу	3	7
13	в то время	3	7
14	и в этом	2	7
15	но все же	2	7
16	так же как	5	6
17	том что в	7	6
18	после того как	3	5
19	в том чтобы	2	5
20	в это время	3	4
21	иметь в виду	2	4
22	до того как	2	4
23	но это не	3	4
24	в связи с	4	4
25	и в том	2	4
26	т е в	6	3
27	а иногда и	4	3
28	на себя внимание	2	3
29	так как в	2	3
30	в этом случае	9	3
31	потому что он	2	3
32	это не значит	2	3
33	состоит в том	16	3
34	во многих случаях	4	3
35	не значит что	2	3
36	но вместе с	3	2
37	может быть и	3	2
38	только тогда когда	3	2
39	не только по	2	2
40	в какой степени	3	2
41	том что этот	2	2
42	в отличие от	4	2
43	в настоящее время	3	2
44	и в других	7	2
45	в советское время	4	2
46	в области изучения	2	2
47	что в этом	2	2
48	в таком виде	2	2
49	в свою очередь	2	2
