N	2gram	Bakhtin_sl	Dialekti
1	не есть	2	181
2	и не	32	120
3	и т	56	82
4	по себе	4	79
5	а не	29	78
6	и в	69	77
7	т д	7	75
8	точки зрения	24	72
9	может быть	40	71
10	не только	37	66
11	то что	2	59
12	и есть	2	55
13	ничего не	5	54
14	не может	27	53
15	и даже	11	47
16	так как	7	46
17	с точки	11	46
18	потому что	2	45
19	не просто	2	44
20	как бы	16	43
21	ни в	4	42
22	и что	2	42
23	вовсе не	16	41
24	в том	7	40
25	в этом	21	39
26	то же	17	39
27	в себе	3	38
28	том что	6	37
29	что он	2	37
30	прежде всего	14	37
31	это не	8	36
32	так что	2	36
33	что в	3	34
34	в нем	44	34
35	и все	9	33
36	того что	4	33
37	но и	37	32
38	все это	14	31
39	и как	3	30
40	сказать что	4	30
41	так и	22	29
42	было бы	3	29
43	как и	8	28
44	никогда не	9	27
45	в виду	2	26
46	не в	14	26
47	сама по	2	26
48	есть не	2	25
49	и то	2	25
50	говорить о	2	25
51	но это	3	24
52	в то	17	23
53	что оно	4	23
54	таким образом	16	23
55	она не	8	21
56	должна быть	3	21
57	в чем	2	21
58	что все	2	20
59	только в	9	20
60	как раз	3	20
61	и вообще	2	20
62	что и	2	20
63	совершенно не	2	20
64	о том	5	20
65	уже не	5	20
66	и с	10	20
67	в таком	5	20
68	в своем	9	19
69	как это	3	19
70	не менее	4	19
71	тогда когда	2	19
72	в самом	6	19
73	и его	45	19
74	с другой	8	18
75	хотя бы	6	18
76	же время	15	18
77	жизни и	5	18
78	в основе	8	17
79	той или	13	17
80	в сущности	18	17
81	можно сказать	2	17
82	должно быть	3	17
83	в особенности	10	17
84	в своей	8	16
85	мы не	4	16
86	кроме того	6	16
87	только не	2	16
88	к нему	7	16
89	да и	2	16
90	одно и	3	16
91	тем не	2	16
92	конечно не	7	16
93	и о	3	15
94	быть и	6	15
95	то в	2	15
96	также и	5	15
97	все же	10	15
98	так же	2	15
99	в виде	4	15
100	хотя и	4	15
101	же и	4	15
102	на то	2	15
103	несмотря на	2	15
104	мы уже	4	15
105	и потому	9	14
106	и ее	3	14
107	с ним	12	14
108	даже и	4	14
109	а именно	2	14
110	не было	4	14
111	и только	2	14
112	ни о	2	13
113	и следовательно	8	13
114	но в	13	13
115	в ней	7	13
116	время как	2	13
117	отличается от	3	13
118	он не	5	13
119	что они	2	13
120	другой стороны	5	13
121	с ее	6	13
122	в смысле	7	13
123	и к	9	13
124	могут быть	25	12
125	еще не	9	12
126	все эти	15	12
127	именно в	5	12
128	перед нами	7	12
129	не могут	7	12
130	но как	2	12
131	а в	10	12
132	и может	4	12
133	и нет	3	12
134	с этим	5	12
135	но не	7	12
136	нисколько не	3	11
137	и тем	3	11
138	только на	3	11
139	его не	4	11
140	в них	11	11
141	в данном	5	11
142	как только	4	11
143	не значит	2	11
144	из них	3	11
145	или в	10	11
146	нет никакой	2	10
147	от этого	2	10
148	к тому	3	10
149	в ее	2	10
150	как мы	15	10
151	в его	19	10
152	за пределы	6	10
153	это было	2	10
154	для того	2	10
155	с этой	3	10
156	и для	7	10
157	оно не	12	10
158	в их	6	10
159	в частности	3	10
160	на себе	2	10
161	мы видим	2	10
162	во всяком	9	10
163	в результате	4	10
164	во всем	3	10
165	если мы	2	10
166	только как	2	10
167	только о	2	10
168	как он	2	9
169	смысл и	3	9
170	точка зрения	10	9
171	и по	3	9
172	в истории	6	9
173	не как	4	9
174	в этих	8	9
175	и более	3	9
176	в котором	2	9
177	той же	3	9
178	в одном	4	9
179	или иной	13	9
180	и от	5	9
181	тому что	2	9
182	же как	2	9
183	с ними	8	9
184	при этом	12	9
185	случае не	2	9
186	то время	2	9
187	всех этих	8	9
188	как о	2	9
189	лишь как	3	9
190	на этом	4	9
191	и на	17	9
192	на самом	2	8
193	в отношении	9	8
194	от него	5	8
195	если она	2	8
196	не на	6	8
197	только и	3	8
198	все время	4	8
199	того или	2	8
200	у нас	2	8
201	с одной	7	8
202	но все	2	8
203	и чисто	5	8
204	даже в	4	8
205	в одной	2	8
206	один из	9	8
207	в поэзии	4	8
208	бы только	2	8
209	но она	2	8
210	бы и	6	8
211	или иначе	2	8
212	в сфере	2	8
213	себя в	14	8
214	в разных	3	8
215	из этих	3	7
216	и при	2	7
217	связи с	4	7
218	его как	3	7
219	в связи	2	7
220	мы и	2	7
221	без всякого	2	7
222	нуждается в	3	7
223	не знает	3	7
224	мира и	4	7
225	с его	8	7
226	зависимости от	4	7
227	и их	6	7
228	как в	18	7
229	и образ	2	7
230	отношения к	3	7
231	но он	4	7
232	в другом	4	6
233	отношение к	8	6
234	и почти	3	6
235	в один	2	6
236	может иметь	3	6
237	они не	3	6
238	более или	5	6
239	в зависимости	4	6
240	при всем	3	6
241	себя и	2	6
242	на всю	3	6
243	одна из	6	6
244	для этого	4	6
245	смысла и	6	6
246	в которой	4	6
247	по своей	2	6
248	быть только	3	6
249	вообще не	4	6
250	сущности и	2	6
251	друг другу	2	6
252	в себя	3	6
253	вместе с	3	6
254	его в	7	6
255	или менее	5	6
256	по существу	3	6
257	по своему	2	6
258	о нем	6	6
259	именно как	3	6
260	одной стороны	7	6
261	себя как	2	6
262	когда она	2	6
263	можно было	2	6
264	того как	2	6
265	во всех	25	6
266	дело не	2	6
267	стороны и	3	6
268	от всякого	2	6
269	для него	8	6
270	не с	5	6
271	и часто	7	6
272	уже в	2	6
273	всяком случае	7	6
274	может не	9	6
275	бы ни	3	6
276	но мы	2	5
277	точку зрения	6	5
278	или как	4	5
279	и во	3	5
280	которая не	3	5
281	не является	3	5
282	и наконец	9	5
283	сих пор	4	5
284	или на	2	5
285	например в	6	5
286	он может	3	5
287	из этого	3	5
288	и становится	2	5
289	оно и	4	5
290	и у	2	5
291	в одно	2	5
292	в него	9	5
293	это может	2	5
294	и она	2	5
295	все его	4	5
296	сознание и	4	5
297	в качестве	4	5
298	и той	2	5
299	к этому	3	5
300	к ней	2	5
301	в свете	3	5
302	отношении к	9	5
303	на нем	2	5
304	в той	13	5
305	явления и	2	5
306	до сих	4	5
307	данном случае	3	4
308	его на	2	4
309	и слова	6	4
310	человека и	3	4
311	в каждом	5	4
312	себе как	2	4
313	и эти	2	4
314	а как	3	4
315	у них	2	4
316	на них	2	4
317	и само	2	4
318	как ни	2	4
319	здесь в	6	4
320	поэзии и	4	4
321	как с	2	4
322	был бы	2	4
323	из самых	2	4
324	на ту	2	4
325	них и	3	4
326	в собственном	2	4
327	и эта	2	4
328	если оно	2	4
329	нас в	3	4
330	можно говорить	2	4
331	связанные с	7	4
332	еще более	7	4
333	о себе	2	4
334	из себя	3	4
335	но именно	5	4
336	но эта	2	4
337	на все	3	4
338	т п	49	4
339	жизнь в	2	4
340	людей и	2	4
341	далее в	2	4
342	почти всегда	3	4
343	человек и	13	4
344	но уже	2	4
345	к ним	2	4
346	этом отношении	2	4
347	у него	5	4
348	со всеми	3	4
349	точек зрения	8	4
350	и здесь	5	4
351	и этим	3	4
352	время и	3	4
353	друг друга	3	4
354	поэтому и	7	4
355	же в	2	4
356	есть для	2	4
357	лежащая в	2	4
358	для нас	7	3
359	сознания в	2	3
360	от его	4	3
361	могут не	2	3
362	без всяких	2	3
363	должен быть	3	3
364	а лишь	2	3
365	следовательно и	4	3
366	к своему	11	3
367	своего предмета	5	3
368	отличие от	13	3
369	а с	2	3
370	одной из	4	3
371	зрения и	4	3
372	и философии	2	3
373	просто не	2	3
374	место в	2	3
375	в первом	3	3
376	здесь не	6	3
377	целый ряд	2	3
378	при его	2	3
379	что как	2	3
380	лишь в	6	3
381	все они	9	3
382	как у	2	3
383	свой смысл	2	3
384	далеко не	7	3
385	на почве	6	3
386	в свою	4	3
387	форм и	3	3
388	непосредственно и	2	3
389	момент в	2	3
390	о которых	2	3
391	для всех	2	3
392	такая же	2	3
393	здесь как	3	3
394	не был	2	3
395	в свое	3	3
396	и вне	3	3
397	следовательно в	3	3
398	стремится к	2	3
399	от всякой	3	3
400	и оно	2	3
401	только с	3	3
402	так в	2	3
403	действительно не	2	3
404	лежит в	5	3
405	не умеет	2	3
406	категории и	2	3
407	различия между	3	3
408	не приходится	2	3
409	или иного	2	3
410	меньше чем	2	3
411	в сознании	3	3
412	с другими	8	3
413	или прямо	4	3
414	по преимуществу	5	3
415	быть очень	2	3
416	входить в	3	3
417	и которые	2	3
418	ни было	2	3
419	ее с	2	3
420	в какой	2	3
421	культуры и	2	3
422	зрения самого	2	3
423	не меньше	2	3
424	на мир	6	3
425	в некоторых	3	3
426	данный момент	4	3
427	в слове	11	3
428	не знаем	3	3
429	между тем	5	3
430	а просто	2	3
431	и мыслит	2	2
432	корнями в	2	2
433	или к	3	2
434	входя в	4	2
435	еще раз	3	2
436	всю его	2	2
437	самый этот	2	2
438	них как	2	2
439	и формы	4	2
440	как к	5	2
441	как вещь	4	2
442	роль в	4	2
443	бы его	2	2
444	в новом	3	2
445	и других	5	2
446	свою очередь	3	2
447	как такового	3	2
448	таков например	2	2
449	и др	17	2
450	они были	3	2
451	ничего нового	2	2
452	лучшем случае	3	2
453	на его	9	2
454	те же	3	2
455	можно прямо	3	2
456	не могла	2	2
457	в узком	13	2
458	однако в	3	2
459	в процессе	14	2
460	не требует	3	2
