N	3gram	Voloshinov	Komedia
1	в том что	9	29
2	до сих пор	3	16
3	то же время	6	16
4	в то же	6	16
5	о том что	3	13
6	в самом деле	10	13
7	для того чтобы	3	11
8	в свою очередь	4	10
9	по отношению к	11	9
10	с одной стороны	2	9
11	то ни было	2	7
12	бы то ни	3	7
13	в конце концов	2	7
14	во всяком случае	8	7
15	с самого начала	5	7
16	с точки зрения	15	6
17	в отличие от	2	6
18	то же самое	2	5
19	в этом отношении	4	5
20	том что он	2	5
21	к этому времени	2	5
22	тем не менее	4	5
23	что и в	2	4
24	к тому что	2	4
25	и тот же	3	4
26	ни в чем	4	3
27	в чем же	2	3
28	таким образом в	2	3
29	то обстоятельство что	2	3
30	в высшей степени	6	3
31	один и тот	3	3
32	в чем не	4	3
33	если бы он	3	3
34	по меньшей мере	2	3
35	равно как и	2	3
36	в большинстве случаев	5	2
37	как мы видели	8	2
38	на первый план	4	2
39	в зависимости от	4	2
40	все тот же	2	2
41	так и в	3	2
42	в конечном счете	3	2
43	том что она	2	2
44	в этом смысле	2	2
45	у нас в	2	2
46	по отношению ко	2	2
