N	3gram	Vygotskiy_	Vvedenie
1	и т д	6	39
2	для того чтобы	17	22
3	в том что	20	15
4	о том что	8	13
5	не может быть	3	10
6	до сих пор	6	7
7	в самом деле	29	6
8	во всяком случае	6	5
9	и т п	7	5
10	с другой стороны	5	5
11	в том чтобы	2	5
12	в данном случае	5	4
13	и в этом	6	4
14	в прямом смысле	2	4
15	с одной стороны	6	4
16	с точки зрения	11	4
17	можно было бы	6	4
18	вместе с тем	3	3
19	заключается в том	10	3
20	то же самое	12	3
21	как мы видели	2	3
22	в том виде	2	3
23	и в самом	15	3
24	с тем что	3	3
25	и то что	3	3
26	одно и то	3	2
27	и то же	3	2
28	состоит в том	2	2
29	одной и той	3	2
30	мы уже знаем	2	2
31	и той же	3	2
32	сам по себе	2	2
33	этой точки зрения	2	2
34	с этой точки	2	2
35	не в том	2	2
36	что в этом	2	2
37	вовсе не в	2	2
38	точно так же	3	2
39	потому что он	3	2
40	только в том	5	2
41	что в нем	3	2
42	смысле этого слова	5	2
43	в свою очередь	3	2
44	же самое что	2	2
45	по своему значению	2	2
