N	3gram	Tiupa_Anal	Formalny
1	с точки зрения	6	40
2	не может быть	17	29
3	то же время	7	20
4	в то же	9	20
5	и т п	3	18
6	в связи с	2	16
7	по отношению к	9	12
8	в самом деле	3	11
9	в этом отношении	5	11
10	бы то ни	3	10
11	и не может	4	9
12	с другой стороны	2	9
13	для того чтобы	3	8
14	с одной стороны	6	8
15	более или менее	2	7
16	сами по себе	3	7
17	то ни было	3	7
18	и в этом	4	7
19	того или иного	3	7
20	в данном случае	3	6
21	не только не	2	6
22	в том что	13	6
23	прежде всего в	2	5
24	в этом смысле	3	5
25	в отличие от	8	5
26	к тому что	2	5
27	и те же	2	5
28	одни и те	2	5
29	как раз и	2	4
30	и не в	4	4
31	а не в	3	4
32	тем не менее	3	4
33	нет и не	2	4
34	не могут быть	2	4
35	подобно тому как	5	4
36	не в том	3	4
37	но и в	3	4
38	то же самое	3	3
39	но в то	2	3
40	и тот же	2	3
41	друг с другом	2	3
42	в том числе	3	3
43	в литературном произведении	2	3
44	не сводится к	2	3
45	науки о литературе	2	3
46	в том чтобы	7	3
47	в той мере	2	2
48	в широком смысле	2	2
49	но отнюдь не	2	2
50	из того что	3	2
51	дело не в	2	2
52	в том или	3	2
53	этой точки зрения	2	2
54	как и в	2	2
55	именно в этом	2	2
56	той мере в	2	2
57	с этой точки	2	2
58	так и не	5	2
59	между тем как	2	2
60	в таком случае	5	2
61	какой бы то	2	2
62	не только в	3	2
63	и все же	2	2
64	в отрыве от	2	2
65	и тем самым	2	2
66	мере в какой	2	2
67	в этом случае	4	2
68	том или ином	4	2
69	тех или иных	3	2
