N	2gram	Tiupa_Vved	Narrotol
1	не только	32	62
2	и не	24	50
3	при этом	43	47
4	но и	31	45
5	а не	31	38
6	в качестве	18	35
7	в частности	19	31
8	может быть	25	30
9	и в	23	30
10	в том	21	29
11	своего рода	20	28
12	том что	16	28
13	тогда как	16	28
14	в этом	27	28
15	а в	15	27
16	такого рода	23	26
17	состоит в	23	25
18	представляет собой	18	25
19	с собачкой	13	25
20	только в	9	25
21	в данном	22	24
22	как и	21	24
23	не в	12	23
24	то что	9	23
25	то есть	13	22
26	в тексте	11	22
27	не может	14	20
28	в рассказе	15	18
29	данном случае	15	17
30	в себе	15	17
31	так и	14	17
32	а также	12	17
33	у чехова	11	16
34	со стороны	15	16
35	в его	9	16
36	событийного опыта	5	16
37	но в	14	15
38	можно сказать	6	15
39	иначе говоря	8	15
40	к тому	9	15
41	и т.п	14	15
42	картина мира	17	14
43	диегетического мира	18	14
44	в жизни	7	14
45	и его	9	14
46	в своем	9	13
47	в своей	10	13
48	то же	8	13
49	времени и	7	13
50	у него	8	13
51	о том	7	13
52	уже не	7	13
53	перед нами	13	12
54	картины мира	12	12
55	все же	10	12
56	прежде всего	11	12
57	как в	8	12
58	на протяжении	2	12
59	как бы	8	12
60	сводится к	6	12
61	тем самым	6	11
62	картиной мира	17	11
63	по отношению	11	11
64	к себе	2	11
65	даме с	4	11
66	и тем	3	11
67	героя в	3	11
68	отличие от	11	11
69	диегетический мир	10	11
70	об этом	5	11
71	в нем	9	11
72	в этой	2	11
73	если бы	10	11
74	жизни в	5	11
75	отношению к	11	11
76	в отличие	11	11
77	в мире	9	11
78	дамы с	8	11
79	хотя и	10	11
80	никогда не	6	10
81	события рассказывания	4	10
82	всего лишь	7	10
83	в то	5	10
84	нарративного дискурса	8	10
85	и т.д	6	10
86	ничего не	3	10
87	как это	2	10
88	один из	3	10
89	того что	7	10
90	как правило	6	10
91	не является	7	10
92	и все	8	10
93	но не	9	10
94	коммуникативного события	8	10
95	жизни и	8	10
96	тому же	6	10
97	между тем	3	10
98	во времени	2	9
99	в соответствии	8	9
100	еще не	8	9
101	что он	2	9
102	коммуникативное событие	10	9
103	в даме	4	9
104	что в	6	9
105	отнюдь не	14	9
106	не сводится	7	9
107	рассказа в	3	9
108	в рамках	5	9
109	тем не	3	9
110	той или	5	9
111	для него	5	9
112	повествуемого мира	6	9
113	далеко не	5	9
114	столь же	3	9
115	истории в	6	9
116	потому что	7	9
117	с ним	3	9
118	как раз	5	9
119	или иной	5	8
120	о чем	4	8
121	самом деле	6	8
122	но при	7	8
123	не менее	4	8
124	нарративная интрига	6	8
125	анной сергеевной	3	8
126	того чтобы	2	8
127	большей части	4	8
128	по большей	4	8
129	[...] и	3	8
130	одна из	5	8
131	мы имеем	8	8
132	и он	4	8
133	нарративная стратегия	4	8
134	у нее	4	8
135	мира в	8	8
136	этом отношении	7	8
137	по мысли	5	8
138	у нас	4	8
139	действующих лиц	2	8
140	в литературе	2	8
141	и для	8	8
142	с анной	3	8
143	вольф шмид	4	8
144	в самом	6	8
145	и к	2	8
146	соответствии с	8	8
147	внимание на	4	8
148	в той	5	8
149	же время	4	8
150	в таком	2	8
151	он не	6	8
152	современной нарратологии	6	8
153	не мог	2	8
154	в свою	5	7
155	в футляре	2	7
156	это не	7	7
157	встречи с	4	7
158	вслед за	3	7
159	при всей	3	7
160	иван иваныч	4	7
161	в конце	3	7
162	едва ли	4	7
163	в принципе	3	7
164	а во	2	7
165	в чем	2	7
166	событийной цепи	4	7
167	в ней	5	7
168	одного из	3	7
169	на себя	5	7
170	в целом	4	7
171	нарративной интриги	6	7
172	имеет место	6	7
