N	3gram	Bakhtin_Fr	Analitik
1	в том что	2	25
2	не может быть	2	19
3	по отношению к	2	18
4	в то же	13	16
5	о том что	3	15
6	той или иной	2	14
7	в данном случае	3	14
8	то же время	13	14
9	в отличие от	3	14
10	подобно тому как	2	9
11	с одной стороны	4	9
12	с другой стороны	5	9
13	в свою очередь	2	9
14	в этом отношении	4	8
15	не только в	3	8
16	как и в	2	8
17	с точки зрения	4	8
18	во всяком случае	2	7
19	но и в	4	5
20	в той или	2	5
21	большей или меньшей	3	4
22	для того чтобы	5	4
23	в значительной степени	2	4
24	тех или иных	2	4
25	и тот же	3	3
26	в том числе	4	3
27	в связи с	5	3
28	одной и той	2	3
29	можно сказать что	2	3
30	и той же	2	3
31	дело в том	2	3
32	в этой системе	2	2
33	но в то	7	2
34	можно было бы	2	2
35	один и тот	3	2
36	до сих пор	6	2
37	и прежде всего	3	2
38	смысле этого слова	2	2
