N	2gram	Vinokur_St	PoTuStor
1	может быть	16	17
2	и в	61	16
3	и пр	4	12
4	в этом	37	9
5	и только	3	9
6	таким образом	16	9
7	прежде всего	11	9
8	и с	6	8
9	точки зрения	16	8
10	совершенно не	7	8
11	не может	10	8
12	и его	11	8
13	сказать что	9	7
14	не только	36	7
15	с его	3	7
16	и это	4	6
17	с точки	10	6
18	конечно не	2	6
19	самом деле	14	6
20	и к	5	6
21	для него	10	6
22	при этом	4	6
23	ни в	5	5
24	все эти	7	5
25	что такое	2	5
26	как бы	8	5
27	нуждается в	2	5
28	еще не	4	5
29	в чем	4	5
30	отношение к	3	5
31	и на	7	4
32	все это	13	4
33	на самом	8	4
34	его в	4	4
35	в его	19	4
36	но и	28	4
37	и не	23	4
38	и все	3	4
39	но в	16	4
40	с самого	4	4
41	в этой	13	4
42	так как	7	4
43	и их	3	4
44	только в	11	4
45	в нем	9	4
46	а потому	2	4
47	хотя бы	8	4
48	можно сказать	2	4
49	так и	15	4
50	самого начала	3	4
51	и даже	8	4
52	что в	41	3
53	даже не	5	3
54	жизни и	6	3
55	и теперь	2	3
56	и как	2	3
57	и потому	3	3
58	а в	18	3
59	в том	56	3
60	их в	2	3
61	никаких оснований	2	3
62	в общем	2	3
63	в области	16	3
64	до сих	13	3
65	крайней мере	2	3
66	во время	5	3
67	в этих	5	3
68	чем не	2	3
69	отношения к	2	3
70	с их	2	3
71	как это	6	3
72	то что	27	3
73	во всех	8	3
74	если б	5	3
75	по крайней	2	3
76	могут быть	5	3
77	сих пор	12	3
78	всяком случае	8	3
79	вместе с	5	3
80	в одном	7	3
81	этом смысле	2	3
82	во всяком	8	3
83	том что	49	3
84	в основе	4	3
85	никогда не	7	2
86	для нас	7	2
87	что мы	5	2
88	по своему	2	2
89	с нею	3	2
90	на них	2	2
91	в них	2	2
92	с историей	2	2
93	кажется что	5	2
94	в каком	4	2
95	для этого	2	2
96	и вообще	5	2
97	же как	5	2
98	и для	4	2
99	совсем не	3	2
100	что не	3	2
101	что это	5	2
102	и по	6	2
103	таким путем	2	2
104	вообще не	5	2
105	а на	4	2
106	что и	8	2
107	не менее	8	2
108	ее в	2	2
109	не существует	4	2
110	нет никаких	2	2
111	было бы	21	2
112	не могут	2	2
113	о том	30	2
114	можно назвать	3	2
115	то же	7	2
116	они не	2	2
117	с этим	6	2
118	как и	11	2
119	что он	23	2
120	так же	7	2
121	и лишь	2	2
122	говорить о	3	2
123	того же	4	2
124	но ведь	8	2
125	в своей	12	2
126	мы не	3	2
127	из этих	7	2
128	в самом	14	2
129	в начале	5	2
130	с этой	5	2
131	в свое	3	2
132	не на	3	2
133	в частности	6	2
134	и вся	2	2
135	связанные с	3	2
136	он не	11	2
137	в голову	2	2
138	у него	3	2
139	со всеми	2	2
140	и о	4	2
141	оно не	3	2
142	за пределы	2	2
143	к этому	4	2
144	что на	3	2
145	в развитии	2	2
146	меньше всего	3	2
147	не знает	2	2
148	что оно	4	2
149	и так	3	2
150	есть в	2	2
151	но это	9	2
