N	2gram	Kanaev_Sov	Myslijsy
1	и в	7	121
2	может быть	12	107
3	в том	4	103
4	для нас	3	75
5	что в	2	73
6	и не	6	73
7	не только	4	67
8	а не	3	67
9	таким образом	11	64
10	так как	4	59
11	в этом	7	59
12	то же	3	56
13	не в	3	54
14	в себе	3	53
15	не может	17	52
16	в нем	3	45
17	было бы	3	45
18	как и	6	42
19	вместе с	4	39
20	мы не	9	38
21	при этом	3	37
22	и что	2	32
23	а в	4	30
24	мы можем	6	28
25	могут быть	2	27
26	с этим	2	27
27	то и	2	26
28	как бы	4	23
29	но в	3	22
30	и потому	3	21
31	не менее	2	21
32	в одном	3	20
33	это не	4	20
34	что это	2	19
35	из этих	2	19
36	тем не	2	19
37	еще не	3	18
38	не могут	2	18
39	в самом	2	18
40	в таком	2	18
41	в его	2	17
42	точки зрения	12	17
43	во всяком	2	17
44	не можем	7	17
45	уже в	3	17
46	в которой	2	16
47	или же	2	16
48	каждый раз	6	16
49	и по	2	15
50	с одной	2	15
51	прежде всего	5	15
52	в свою	2	15
53	уже не	2	15
54	мы должны	4	14
55	свою очередь	2	14
56	так сказать	2	14
57	все же	3	14
58	когда мы	3	14
59	что все	2	13
60	и все	3	13
61	из них	4	13
62	что же	5	12
63	все это	3	12
64	как мы	2	12
65	что такое	2	12
66	в каждом	8	12
67	всяком случае	2	12
68	той же	2	11
69	в первом	3	11
70	мы видели	4	11
71	если же	2	10
72	тем же	2	10
73	мы видим	2	10
74	и мы	3	10
75	если мы	4	10
76	и есть	2	10
77	что при	2	10
78	вопрос о	4	9
79	и даже	2	9
80	с точки	5	9
81	самом деле	2	9
82	в целом	4	9
83	что она	3	9
84	мы называем	3	8
85	тот же	2	8
86	но все	2	8
87	их в	4	8
88	говорить о	2	8
89	но мы	3	7
90	самого начала	3	7
91	с самого	3	7
92	и во	2	7
93	из одного	2	7
94	только один	2	7
95	дает нам	2	7
96	все эти	5	7
97	не знаем	2	7
98	на котором	2	7
99	как он	3	6
100	в один	2	6
101	на его	2	6
102	в этой	3	6
103	при таком	3	6
104	у нас	3	6
105	и к	3	6
106	форма в	2	6
107	в виде	2	6
108	же самое	2	6
109	жизни и	4	6
110	у него	2	6
111	с общим	2	5
112	одна из	3	5
113	в нашем	2	5
114	не подлежит	3	5
115	в области	3	5
116	ли мы	3	5
117	такие же	2	5
118	времени и	2	5
119	по мнению	2	5
120	на этот	2	5
121	само собою	3	5
122	можно назвать	2	5
123	то ни	2	4
124	и они	2	4
125	в наших	3	4
126	видели что	3	4
127	он может	3	4
128	еще более	2	4
129	не дает	2	4
130	он должен	2	4
131	ничего не	6	4
132	в науке	2	4
133	он в	3	4
134	так называемых	3	4
135	некоторое время	2	4
136	такой же	2	4
137	из двух	3	4
138	на этом	2	4
139	известных нам	2	4
140	в некоторых	2	4
141	она может	2	3
142	же мы	2	3
143	отличие от	2	3
144	мы знаем	2	3
145	может иметь	2	3
146	для развития	2	3
147	в развитии	4	3
148	и наконец	5	3
149	развития в	2	3
150	ясно что	3	3
151	в результате	6	3
152	о значении	2	3
153	подлежит сомнению	2	3
154	развития но	2	2
155	не будем	2	2
156	роль в	2	2
157	состоит из	3	2
158	следующим образом	3	2
159	ни одна	2	2
160	говорим о	2	2
161	мы получим	3	2
162	быть и	2	2
163	на их	2	2
164	каждом отдельном	5	2
165	каждого из	2	2
166	только одну	2	2
167	мы получаем	3	2
168	на другом	2	2
169	при нормальном	4	2
170	а на	2	2
171	на две	3	2
172	а все	3	2
173	можем назвать	3	2
174	ее на	2	2
175	же это	4	2
176	отличается от	3	2
177	период развития	2	2
178	нет и	4	2
179	знаем что	2	2
180	к чему	2	2
181	из которых	2	2
182	зависимости от	4	2
183	этих двух	2	2
184	в системе	3	2
