N	2gram	Trubetskoy	FransuaR
1	и в	24	367
2	то есть	2	209
3	в этом	13	112
4	и не	9	101
5	таким образом	34	100
6	и его	2	99
7	в его	5	98
8	прежде всего	3	92
9	не только	10	87
10	мы уже	4	85
11	но и	11	84
12	как бы	10	82
13	все эти	19	79
14	вовсе не	2	77
15	как и	10	76
16	в нем	3	75
17	но в	5	75
18	и на	6	72
19	в том	31	71
20	как мы	3	71
21	то же	4	66
22	и все	9	66
23	так и	10	65
24	в этой	7	65
25	в них	2	65
26	в сущности	2	64
27	и с	5	64
28	в то	6	63
29	все это	13	62
30	во всех	10	62
31	же время	2	55
32	что в	9	52
33	в своем	12	51
34	только в	6	48
35	так как	7	46
36	и до	3	46
37	том что	20	45
38	то что	18	41
39	жизни и	2	40
40	у него	5	40
41	в самом	8	38
42	точки зрения	14	37
43	в ней	3	37
44	может быть	17	35
45	о том	7	35
46	в себе	5	34
47	в конце	4	32
48	он не	4	32
49	мы видели	2	32
50	для него	2	32
51	так же	8	30
52	никогда не	4	30
53	и потому	3	30
54	той же	2	30
55	потому что	9	30
56	в этих	3	29
57	не может	18	29
58	еще не	6	29
59	его в	5	29
60	не в	9	29
61	при этом	9	29
62	связи с	4	29
63	что он	7	29
64	из них	5	28
65	в основе	2	28
66	всех этих	4	28
67	также и	2	28
68	и к	5	28
69	сих пор	15	27
70	по своему	5	27
71	до сих	15	27
72	и их	5	27
73	все же	15	27
74	все они	6	26
75	на самом	7	25
76	в области	4	25
77	отношение к	4	24
78	того чтобы	8	24
79	и от	5	24
80	в частности	2	24
81	но не	3	24
82	и у	4	24
83	и для	6	23
84	это не	3	23
85	в их	4	23
86	с ним	6	23
87	к нему	2	23
88	даже в	3	22
89	а в	3	22
90	что и	7	22
91	и других	3	22
92	вместе с	7	22
93	не было	2	22
94	именно в	5	21
95	в своих	2	21
96	в себя	2	21
97	что это	5	21
98	и наконец	3	21
99	одним из	4	21
100	культуры и	11	21
101	есть в	2	21
102	в виду	2	20
103	с точки	8	20
104	самом деле	12	20
105	и это	3	20
106	в связи	3	20
107	того же	9	19
108	в дальнейшем	4	19
109	их в	2	19
110	во всем	3	19
111	хотя и	4	19
112	к этому	5	19
113	в ту	2	19
114	в эту	2	19
115	было бы	3	19
116	далеко не	5	19
117	с другой	6	19
118	с ее	2	19
119	на этом	2	18
120	одна из	2	18
121	для того	8	17
122	но все	5	17
123	того что	7	17
124	в результате	9	17
125	такой же	2	17
126	конечно не	3	17
127	между тем	12	16
128	тот же	3	16
129	не подлежит	3	16
130	в начале	3	16
131	между ними	2	16
132	в другом	2	16
133	они не	2	16
134	с одной	3	16
135	одно из	3	15
136	в истории	3	15
137	никто не	2	15
138	и вообще	3	15
139	в нашем	3	15
140	как на	6	15
141	а затем	2	15
142	в которой	5	15
