N	3gram	Vinokur_Ku	VeschiIm
1	и т д	21	38
2	не может быть	5	24
3	не что иное	2	12
4	что иное как	2	12
5	тем не менее	9	11
6	т д и	3	11
7	по крайней мере	11	10
8	д и т	3	10
9	в том что	23	9
10	т е в	3	7
11	в самом деле	14	7
12	на то что	3	7
13	ни в каком	2	6
14	с точки зрения	16	6
15	может быть только	2	6
16	так или иначе	3	6
17	в то же	4	5
18	не только в	4	5
19	не потому что	4	5
20	и тем не	4	5
21	в свою очередь	4	5
22	с этой точки	3	4
23	более или менее	3	4
24	этой точки зрения	4	4
25	о том как	3	4
26	о том что	6	4
27	само по себе	6	4
28	то же время	4	4
29	можно сказать что	2	3
30	можно было бы	11	3
31	вместе с тем	3	3
32	заключается в том	2	3
33	с одной стороны	2	3
34	с другой стороны	12	3
35	уже не может	3	3
36	сами по себе	2	3
37	и не в	2	3
38	можно говорить о	2	2
39	и еще один	2	2
40	во всяком случае	8	2
41	хотя бы в	4	2
42	но все же	3	2
43	нужно было бы	3	2
44	что же касается	4	2
45	для того чтобы	21	2
46	в этом отношении	8	2
47	хотя бы и	4	2
48	том что он	4	2
49	к тому что	2	2
50	в связи с	4	2
51	было бы сказать	2	2
52	в конце концов	3	2
53	так же как	3	2
54	только тогда когда	2	2
55	что мы имеем	2	2
56	в этом смысле	8	2
57	а следовательно и	2	2
58	но даже и	2	2
59	в свое время	4	2
60	в том чтобы	9	2
