N	2gram	Voloshinov	Morfolog
1	может быть	14	61
2	и пр	3	45
3	таким образом	12	26
4	могут быть	2	21
5	так как	9	20
6	мы имеем	2	19
7	не может	16	19
8	в этом	4	18
9	в этих	2	17
10	и в	12	17
11	и не	10	16
12	прежде всего	8	14
13	и др	5	12
14	а не	5	11
15	то же	5	10
16	в том	6	10
17	то что	5	10
18	так и	4	10
19	что в	2	10
20	что и	2	10
21	все же	4	9
22	но и	3	9
23	с другой	4	9
24	не только	4	8
25	но не	2	8
26	имеем в	2	8
27	мы не	3	8
28	том что	5	7
29	по отношению	11	7
30	тем не	3	7
31	не менее	3	7
32	отношению к	11	7
33	как это	2	7
34	и здесь	2	7
35	точки зрения	14	7
36	это не	2	6
37	но это	2	6
38	и другие	2	6
39	в нашем	11	6
40	о том	3	6
41	с точки	2	6
42	в форме	2	6
43	как бы	13	6
44	ничего не	2	5
45	и ее	3	5
46	хотя бы	5	5
47	мы можем	2	5
48	как в	5	5
49	между тем	3	5
50	другой стороны	2	5
51	между собой	2	5
52	там где	2	5
53	все эти	3	5
54	он не	2	5
55	если же	2	5
56	ясно что	3	5
57	сказать что	7	4
58	на самом	4	4
59	его в	4	4
60	независимо от	2	4
61	так же	3	4
62	в то	2	4
63	к этому	2	4
64	на него	2	4
65	еще не	3	4
66	самом деле	3	4
67	но в	5	4
68	но все	2	4
69	и для	3	4
70	как и	5	4
71	уже не	4	4
72	и к	4	4
73	в некоторых	3	4
74	от того	4	4
75	или не	3	3
76	как же	2	3
77	здесь не	3	3
78	в настоящее	2	3
79	то ни	3	3
80	если бы	9	3
81	кроме того	2	3
82	он должен	3	3
83	не в	4	3
84	к герою	3	3
85	героя и	5	3
86	с этой	2	3
87	форма в	2	3
88	в пределах	3	3
89	в какой	2	3
90	того что	3	3
91	как уже	2	3
92	к нему	4	3
93	ни в	3	3
94	но мы	2	3
95	но для	3	3
96	настоящее время	2	3
97	и что	2	3
98	и по	3	3
99	и его	13	3
100	только в	6	3
101	бы то	3	3
102	с его	2	3
103	данном случае	2	2
104	в каком	3	2
105	в данном	2	2
106	действия и	2	2
107	одной стороны	2	2
108	и подобные	2	2
109	ни было	4	2
110	в чем	2	2
111	с одной	2	2
112	должна быть	5	2
113	и более	3	2
114	и дает	2	2
115	не так	2	2
116	она не	2	2
117	оно не	2	2
118	быть и	3	2
119	с героем	3	2
120	с другими	2	2
121	для нас	7	2
122	что мы	5	2
123	себя и	2	2
124	все это	3	2
125	можно сказать	5	2
126	для него	3	2
