N	3gram	Tiupa_Teor	Dialekti
1	с точки зрения	3	46
2	сама по себе	2	26
3	в том что	10	25
4	не может быть	5	18
5	тем не менее	3	16
6	то же время	8	15
7	в то же	8	14
8	в таком случае	2	14
9	одно и то	2	12
10	и то же	2	12
11	с другой стороны	6	12
12	в самом деле	2	10
13	подобно тому как	3	9
14	не только не	2	8
15	в этом смысле	3	8
16	той или иной	3	7
17	можно сказать что	3	7
18	в связи с	3	7
19	так или иначе	5	7
20	коем случае не	2	6
21	в коем случае	2	6
22	более или менее	6	6
23	для того чтобы	5	6
24	может быть и	2	6
25	ни в коем	2	6
26	с одной стороны	3	6
27	и в то	2	6
28	к тому что	2	5
29	в данном случае	5	4
30	этой точки зрения	2	4
31	с этой точки	2	4
32	не могут быть	2	4
33	бы то ни	2	3
34	но в то	2	3
35	как и в	2	3
36	ту или иную	2	3
37	в данный момент	2	3
38	того или иного	6	3
39	тех или иных	3	3
40	что в основе	2	2
41	в силу своей	4	2
42	в отношении к	2	2
43	тот или иной	3	2
44	в свою очередь	3	2
45	мы имеем дело	2	2
