N	2gram	Bakhtin_KF	Sovremen
1	не может	29	17
2	точки зрения	13	12
3	может быть	45	12
4	мы не	3	9
5	в каждом	3	8
6	и в	28	7
7	в этом	15	7
8	и не	28	6
9	ничего не	3	6
10	как и	5	6
11	с точки	10	5
12	все эти	11	5
13	прежде всего	4	5
14	нет и	3	4
15	вопрос о	2	4
16	это не	10	4
17	не только	5	4
18	в том	6	4
19	как бы	9	4
20	в целом	10	4
21	жизни и	8	4
22	а в	5	4
23	для нас	4	3
24	и т.д	4	3
25	может не	2	3
26	и мы	2	3
27	он может	2	3
28	ведь это	2	3
29	и потому	2	3
30	но в	5	3
31	а все	3	3
32	при этом	4	3
33	не в	13	3
34	все же	5	3
35	было бы	8	3
36	в области	2	3
37	в себе	21	3
38	еще не	5	3
39	и все	9	3
40	все это	10	3
41	в нем	32	3
42	а не	17	3
43	в этой	2	3
44	мы получим	2	3
45	то же	5	3
46	в одном	5	3
47	отнюдь не	7	3
48	ясно что	3	3
49	принципиально не	5	2
50	может иметь	2	2
51	но все	6	2
52	конечно в	2	2
53	которой он	2	2
54	быть и	3	2
55	не менее	3	2
56	в его	42	2
57	к чему	3	2
58	и пр	3	2
59	и есть	10	2
60	в виде	2	2
61	еще более	2	2
62	что в	4	2
63	времени и	4	2
64	совершенно не	7	2
65	ни одна	2	2
66	самом деле	3	2
67	со всеми	2	2
68	уже не	7	2
69	в свою	3	2
70	то ни	2	2
71	говорим о	2	2
72	могут быть	3	2
73	тот же	3	2
74	может дать	3	2
75	говорить о	2	2
76	не дает	3	2
77	что это	4	2
78	или иной	2	2
79	тем не	2	2
80	из которых	2	2
81	и именно	2	2
