N	2gram	Berdyaev_V	OGranits
1	и в	16	13
2	прежде всего	2	9
3	и не	20	8
4	в его	4	7
5	не только	2	6
6	как бы	5	6
7	только в	2	6
8	то что	9	6
9	хотя бы	3	5
10	но в	3	4
11	лишь в	3	4
12	но мы	2	4
13	в своей	3	4
14	все это	5	4
15	мы не	2	4
16	никогда не	3	3
17	да и	2	3
18	и для	3	3
19	и то	2	3
20	и все	4	3
21	превращается в	3	3
22	как и	4	3
23	не в	3	3
24	говорить о	4	3
25	так как	9	3
26	что в	3	3
27	так и	4	3
28	но и	5	3
29	могут быть	2	2
30	в этом	4	2
31	в них	3	2
32	в том	3	2
33	тем что	2	2
34	от этого	3	2
35	не имеет	3	2
36	ее в	2	2
37	а в	2	2
38	том что	2	2
39	все эти	3	2
40	что они	7	2
41	в нем	4	2
42	нет ничего	3	2
43	а не	7	2
44	в ней	4	2
45	вслед за	2	2
46	между тем	2	2
47	в чем	3	2
48	тот же	3	2
49	материалом для	2	2
50	к тому	3	2
51	для него	2	2
