N	2gram	Nazirov_Tv	slovoVRo
1	и в	40	92
2	в романе	24	89
3	и т	14	82
4	т п	4	72
5	то есть	16	64
6	в нем	4	59
7	может быть	11	59
8	и его	14	59
9	и не	12	51
10	не только	16	44
11	не может	9	41
12	но и	10	39
13	до конца	2	37
14	в этом	11	36
15	а не	9	34
16	во всех	2	32
17	так и	5	30
18	могут быть	4	29
19	и др	2	29
20	в роман	3	27
21	в его	19	27
22	все это	14	25
23	как бы	26	24
24	то же	19	23
25	и на	12	22
26	не в	3	21
27	как в	10	21
28	вовсе не	5	21
29	в то	23	20
30	в процессе	3	20
31	прежде всего	10	19
32	как и	16	18
33	себя в	3	18
34	же время	18	18
35	с ним	4	18
36	все же	9	17
37	все эти	3	17
38	в истории	2	17
39	в основе	3	17
40	и даже	8	17
41	таким образом	14	17
42	отличие от	3	16
43	при этом	14	16
44	но в	11	16
45	и с	9	15
46	со своим	2	15
47	человек и	2	15
48	в отличие	3	14
49	романа и	4	14
50	так сказать	4	14
51	только в	7	14
52	это не	9	13
53	точка зрения	2	13
54	рядом с	2	13
55	с его	12	13
56	отношении к	2	13
57	с другой	4	13
58	никогда не	13	12
59	и потому	4	12
60	а в	10	12
61	или в	2	12
62	во всяком	2	12
63	и наконец	3	12
64	еще не	5	12
65	в плане	4	11
66	один из	5	11
67	на его	4	11
68	с ними	3	11
69	в этих	2	11
70	с одной	2	11
71	для него	9	11
72	роман и	2	11
73	в своем	4	10
74	и их	2	10
75	в том	13	10
76	и все	6	10
77	она не	2	10
78	в себе	3	10
79	в него	2	10
80	т д	10	10
81	далеко не	3	10
82	уже не	6	10
83	может не	2	10
84	его в	2	9
85	и от	8	9
86	одним из	6	9
87	и других	5	9
88	в основном	9	9
89	более того	2	9
90	в их	5	9
91	и мир	3	9
92	в своей	8	9
93	сказать что	3	9
94	одна из	5	9
95	так как	6	9
96	с ее	3	9
97	героя и	4	9
98	но не	7	9
99	он не	10	9
100	не могут	2	8
101	в одной	5	8
102	человека и	6	8
103	в ней	2	8
104	все время	3	8
105	с этим	2	8
106	человека в	9	8
107	в самом	6	8
108	всяком случае	2	8
109	перед нами	3	7
110	том что	14	7
111	от него	2	7
112	друг друга	2	7
113	по преимуществу	4	7
114	о нем	2	7
115	того же	2	7
116	ту же	4	7
117	сливается с	4	7
118	в целом	7	7
119	у тургенева	2	7
120	связи с	2	7
121	например в	3	7
122	у него	11	7
123	мышления и	2	7
124	еще более	3	7
125	в романах	25	7
126	с которым	2	7
127	жизни и	3	7
128	не было	3	7
129	в таком	4	7
130	же и	2	7
131	мы уже	2	7
132	даже в	4	6
133	ничего не	3	6
134	как к	2	6
135	в романном	2	6
136	роль в	2	6
137	xix века	13	6
138	одновременно и	2	6
139	что в	17	6
140	ни в	2	6
141	нем и	2	6
142	в качестве	2	6
143	можно сказать	2	6
144	другой стороны	2	6
145	и здесь	2	6
146	хотя бы	5	6
