N	2gram	Trubetskoy	Dialekti
1	не есть	4	181
2	и не	9	120
3	и в	24	77
4	точки зрения	14	72
5	может быть	17	71
6	не только	10	66
7	то что	18	59
8	не может	18	53
9	так как	7	46
10	с точки	8	46
11	что это	5	46
12	потому что	9	45
13	как бы	10	43
14	и что	9	42
15	не имеет	2	41
16	вовсе не	2	41
17	в том	31	40
18	в этом	13	39
19	то же	4	39
20	в себе	5	38
21	это есть	4	38
22	что она	2	38
23	том что	20	37
24	что он	7	37
25	прежде всего	3	37
26	это не	3	36
27	так что	6	36
28	что в	9	34
29	в нем	3	34
30	и все	9	33
31	того что	7	33
32	но и	11	32
33	все это	13	31
34	ясно что	8	31
35	отнюдь не	2	30
36	так и	10	29
37	было бы	3	29
38	как и	10	28
39	никогда не	4	27
40	в виду	2	26
41	не в	9	26
42	есть только	2	25
43	и то	4	25
44	говорить о	2	25
45	если бы	8	24
46	в то	6	23
47	что оно	3	23
48	таким образом	34	23
49	я не	2	22
50	она не	2	21
51	должна быть	6	21
52	только тогда	2	20
53	что все	5	20
54	только в	6	20
55	и вообще	3	20
56	что и	7	20
57	совершенно не	4	20
58	о том	7	20
59	и с	5	20
60	в таком	4	20
61	в своем	12	19
62	что мы	4	19
63	не менее	7	19
64	и это	3	19
65	тогда когда	3	19
66	в самом	8	19
67	и его	2	19
68	что же	2	18
69	с другой	6	18
70	хотя бы	4	18
71	же время	2	18
72	жизни и	2	18
73	но если	2	17
74	в основе	2	17
75	в сущности	2	17
76	должно быть	5	17
77	другими словами	2	16
78	только не	2	16
79	к нему	2	16
80	тем не	4	16
81	конечно не	3	16
82	быть и	5	15
83	то в	2	15
84	только что	3	15
85	также и	2	15
86	все же	15	15
87	так же	8	15
88	в виде	4	15
89	самом деле	12	15
90	хотя и	4	15
91	на то	9	15
92	несмотря на	6	15
93	мы уже	4	15
94	и потому	3	14
95	жизнь и	3	14
96	и ее	2	14
97	с ним	6	14
98	не было	2	14
99	и только	2	14
100	в силу	7	13
101	не то	3	13
102	но в	5	13
103	в ней	3	13
104	отличается от	6	13
105	он не	4	13
106	что они	2	13
107	другой стороны	5	13
108	с ее	2	13
109	и к	5	13
110	вопрос о	3	12
111	еще не	6	12
112	все эти	19	12
113	именно в	5	12
114	и если	6	12
115	не могут	4	12
116	но как	2	12
117	но тогда	3	12
118	а в	3	12
119	тем более	3	12
120	и может	3	12
121	с этим	12	12
122	но не	3	12
123	та же	4	11
124	мы должны	4	11
125	должны быть	3	11
126	в одну	4	11
127	от того	3	11
128	ничем не	5	11
129	в них	2	11
130	что если	3	11
131	в данном	3	11
132	только то	2	11
133	есть в	2	11
134	из них	5	11
135	одно из	3	10
136	к тому	8	10
137	как мы	3	10
138	в его	5	10
139	для того	8	10
140	с этой	3	10
141	и для	6	10
142	что для	4	10
143	если же	3	10
144	в их	4	10
145	в частности	2	10
146	на себе	2	10
147	можно ли	2	10
148	во всяком	2	10
149	и уже	2	10
150	то и	2	10
151	в результате	9	10
152	как будто	5	10
153	в жизни	3	10
154	во всем	3	10
155	если мы	4	10
156	общего с	2	9
157	и по	3	9
158	в истории	3	9
159	в этих	3	9
160	между собою	5	9
161	и более	2	9
162	в котором	2	9
163	той же	2	9
164	и от	5	9
165	тому что	2	9
166	же как	3	9
167	с ними	2	9
168	при этом	9	9
169	то время	2	9
170	всех этих	4	9
171	бы в	3	9
172	мы можем	6	9
173	на этом	2	9
174	и на	6	9
175	на самом	7	8
176	от него	3	8
177	и без	5	8
178	не будет	5	8
179	в дальнейшем	4	8
180	в этой	7	8
181	уже и	3	8
182	по одному	3	8
183	у нас	3	8
184	и из	2	8
185	с одной	3	8
186	но все	5	8
187	что эта	4	8
188	даже в	3	8
189	и говорить	3	8
190	при помощи	3	8
191	при условии	2	8
192	ничего общего	3	8
193	теперь мы	2	8
194	или иначе	5	8
195	как не	2	8
196	в разных	3	8
197	тем самым	3	7
198	и где	2	7
199	в конце	4	7
200	из этих	8	7
201	он должен	2	7
202	и при	6	7
203	связи с	4	7
204	на первый	2	7
205	в связи	3	7
206	очень много	3	7
207	все что	10	7
208	во внимание	2	7
209	мы и	2	7
210	для меня	4	7
211	не потому	2	7
212	от себя	2	7
213	надо чтобы	2	7
214	не знает	2	7
215	зависимости от	2	7
216	и их	5	7
217	заключается в	3	7
218	это конечно	2	7
219	так или	5	7
220	в мире	6	7
221	даже если	3	7
222	но для	2	7
223	из которых	4	7
224	так чтобы	2	7
225	то ни	4	7
226	как на	6	7
227	только одно	3	7
228	оказывается что	5	6
229	в другом	2	6
230	отношение к	4	6
231	в один	2	6
232	с тем	4	6
233	они не	2	6
234	более или	8	6
235	того чтобы	8	6
236	себя и	2	6
237	никто не	2	6
238	одна из	2	6
239	для этого	7	6
240	в которой	5	6
241	по своей	7	6
242	идет речь	8	6
243	в себя	2	6
244	но с	2	6
245	вместе с	7	6
246	его в	5	6
247	или менее	8	6
248	по существу	7	6
249	по своему	5	6
250	одной стороны	2	6
251	во всех	10	6
252	о котором	7	6
253	для него	2	6
254	говорить что	3	6
255	чтобы быть	2	6
256	всяком случае	2	6
257	может не	3	6
258	из того	4	5
259	состоит из	4	5
260	точку зрения	2	5
261	но так	2	5
262	гораздо более	2	5
263	что на	2	5
264	же не	3	5
265	что под	2	5
266	только один	2	5
267	по сравнению	5	5
268	но даже	3	5
269	и наконец	3	5
270	сих пор	15	5
271	что у	2	5
272	их в	2	5
273	в своих	2	5
274	если это	2	5
275	если он	2	5
276	же что	2	5
277	от нее	2	5
278	из этого	7	5
279	конце концов	4	5
280	сравнению с	5	5
281	все в	2	5
282	только мы	2	5
283	а это	2	5
284	и у	4	5
285	в области	4	5
286	в одно	2	5
287	одной и	2	5
288	сказали что	3	5
289	это может	2	5
290	тех пор	2	5
291	все его	2	5
292	что с	6	5
293	независимо от	2	5
294	к этому	5	5
295	большею частью	5	5
296	одного и	3	5
297	что его	4	5
298	в течение	4	5
299	тому же	6	5
300	что по	3	5
301	и так	2	5
302	и истории	5	5
303	двух или	3	5
304	до сих	15	5
305	данном случае	3	4
306	у них	6	4
307	очень мало	2	4
308	мы знаем	10	4
309	чтобы все	3	4
310	а потому	5	4
311	для всякого	2	4
312	что касается	6	4
313	представить себе	2	4
314	в состоянии	5	4
315	возможно лишь	3	4
316	ни один	4	4
317	из себя	10	4
318	однако это	2	4
319	мы будем	3	4
320	что их	3	4
321	помнить что	2	4
322	на все	5	4
323	в общем	6	4
324	что эти	2	4
325	то ясно	4	4
326	бы то	3	4
327	к ним	2	4
328	из нее	2	4
329	потому и	2	4
330	из двух	2	4
331	у него	5	4
332	такой же	2	4
333	можно назвать	3	4
334	друг друга	2	4
335	всегда будет	4	4
336	эти последние	2	4
337	сейчас же	3	4
338	представление о	3	4
339	очевидно что	3	3
340	мало того	4	3
341	для нас	3	3
342	должен быть	2	3
343	а лишь	3	3
344	тех кто	5	3
345	следовательно и	2	3
346	не надо	3	3
347	отличие от	3	3
348	а с	4	3
349	не так	4	3
350	и сейчас	4	3
351	тот же	3	3
352	принять во	2	3
353	почти все	2	3
354	тех же	2	3
355	при таком	2	3
356	на него	2	3
357	целый ряд	4	3
358	что как	4	3
359	лишь в	5	3
360	все они	6	3
361	как у	3	3
362	как известно	3	3
363	чем больше	4	3
364	далеко не	5	3
365	на почве	3	3
366	я в	2	3
367	без того	4	3
368	образом и	2	3
369	в свою	2	3
370	в которых	2	3
371	совершенно ясно	2	3
372	при чем	6	3
373	тем же	2	3
374	о которых	7	3
375	для себя	2	3
376	различия между	3	3
377	во всей	2	3
378	не от	2	3
379	меньше чем	2	3
380	в сознании	7	3
381	не более	2	3
382	на земле	3	3
383	ни было	3	3
384	культуры и	11	3
385	знаем что	8	3
386	этого последнего	2	3
387	но на	2	3
388	не понимают	2	3
389	ко всему	2	3
390	данный момент	4	3
391	по его	2	3
392	и будет	2	3
393	между тем	12	3
394	ее и	4	2
395	в тех	3	2
396	и поэтому	2	2
397	отличалась от	4	2
398	как к	5	2
399	факт что	4	2
400	сил и	2	2
401	и других	3	2
402	более как	2	2
403	свою очередь	2	2
404	этого явления	2	2
