N	2gram	Bakhtin_fo	DiskursI
1	в качестве	6	72
2	а не	7	60
3	может быть	18	56
4	не только	16	49
5	и в	84	49
6	как и	15	47
7	при этом	8	46
8	в том	16	44
9	и не	19	44
10	то есть	42	41
11	том что	7	40
12	в этом	41	38
13	в себе	7	37
14	в частности	11	36
15	но и	14	35
16	и т.п	6	32
17	но не	9	31
18	так и	17	28
19	отличие от	3	28
20	но в	16	28
21	не может	8	27
22	в отличие	3	27
23	как в	10	25
24	еще не	8	23
25	отнюдь не	7	23
26	а также	5	20
27	все же	12	19
28	прежде всего	28	19
29	в нем	28	19
30	в своей	2	19
31	в основе	9	18
32	далеко не	3	18
33	по отношению	3	17
34	в данном	4	17
35	то же	18	17
36	с другой	4	17
37	отношению к	5	17
38	в мире	4	17
39	точки зрения	14	16
40	только в	12	16
41	роль в	12	15
42	в его	19	15
43	то что	13	15
44	о том	4	15
45	это не	8	14
46	или иной	4	14
47	картины мира	2	14
48	не в	10	14
49	одной стороны	3	14
50	можно сказать	2	14
51	не является	4	14
52	ни к	3	14
53	с одной	5	14
54	в целом	2	13
55	для него	5	13
56	как бы	11	13
57	данном случае	2	12
58	в своем	8	12
59	и все	10	12
60	того же	9	12
61	природе своей	2	12
62	и на	13	12
63	что в	9	11
64	по природе	2	11
65	с его	10	11
66	и как	12	11
67	не было	8	11
68	для себя	8	10
69	а в	6	10
70	не столько	2	10
71	той или	3	10
72	вследствие этого	4	10
73	также и	6	10
74	и т.д	2	10
75	же время	13	10
76	в то	13	9
77	картина мира	2	9
78	в них	11	9
79	уже не	5	9
80	себя в	2	9
81	внимание на	2	9
82	человека в	22	8
83	в соответствии	2	8
84	этом отношении	5	8
85	как уже	3	8
86	к тому	6	8
87	потому что	11	8
88	не на	4	8
89	хотя и	5	8
90	и даже	5	8
91	жизни в	11	8
92	в этих	6	8
93	в себя	3	8
94	в котором	8	8
95	соответствии с	2	8
96	в одном	10	8
97	из них	8	8
98	он не	6	8
99	его в	8	7
100	о чем	4	7
101	могут быть	7	7
102	и ее	4	7
103	одной из	3	7
104	и для	12	7
105	в процессе	4	7
106	что и	5	7
107	например в	7	7
108	в этой	3	7
109	к этому	5	7
110	мира в	6	7
111	лишь в	8	7
112	в пределах	8	7
113	ни в	9	7
114	той же	2	7
115	и его	26	7
116	таким образом	14	7
117	тому же	2	7
118	никогда не	8	6
119	в одной	2	6
120	не как	2	6
121	отношение к	5	6
122	что он	2	6
123	в трагедии	3	6
124	не знает	4	6
125	картину мира	5	6
