N	3gram	Tiupa_Hudo	TeoriaLi
1	в том что	8	10
2	по отношению к	10	10
3	не сводится к	9	9
4	в то же	7	8
5	я в мире	7	8
6	то же время	7	8
7	присутствия я в	6	7
8	кадров внутреннего зрения	3	7
9	в отличие от	7	7
10	в конечном счете	5	6
11	присутствия в мире	7	6
12	состоит в том	5	6
13	с другой стороны	6	6
14	более или менее	6	6
15	того или иного	4	6
16	так и не	4	5
17	так или иначе	4	5
18	для того чтобы	5	5
19	роли в миропорядке	4	5
20	не может быть	4	5
21	порядка в душе	4	4
22	организации художественного текста	3	4
23	в силу своей	4	4
24	и того же	3	4
25	факторов художественного впечатления	4	4
26	одного и того	3	4
27	мы имеем в	3	3
28	ни в мире	3	3
29	тот или иной	3	3
30	по сути дела	3	3
31	это отношение знака	3	3
32	сближение но не	3	3
33	с точки зрения	3	3
34	с одной стороны	3	3
35	в виду не	3	3
36	в этом смысле	3	3
37	читателя зрителя слушателя	3	3
38	в том числе	3	3
39	тем не менее	3	3
40	эстетическое отношение к	3	3
41	подобно тому как	3	3
42	не следует смешивать	3	3
43	но не слияние	3	3
44	первичной знаковой системы	3	3
45	той или иной	5	3
46	виду не только	3	3
47	с другими знаками	3	3
48	отношение знака к	3	3
49	субъектной организации художественного	2	3
50	в качестве текста	2	3
51	значении этого слова	2	3
52	можно сказать что	3	3
53	или иного жанра	3	3
54	в знаковом материале	3	3
55	в равной степени	2	3
56	по своей природе	2	3
57	всех без исключения	3	3
58	тех или иных	2	3
59	в связи с	3	3
60	порядок в душе	3	3
61	несет в себе	3	3
62	в свою очередь	2	3
63	субъект художественной деятельности	3	3
64	имеем в виду	3	3
65	следует смешивать с	3	3
66	преодолеваемая даль и	2	2
67	ту или иную	2	2
68	предпосылки двоякого рода	2	2
69	чтобы не остаться	2	2
70	в слове о	2	2
71	в стилистическом отношении	2	2
72	силу своей принципиальной	2	2
73	читателя в читателя	2	2
74	внутренней и внешней	2	2
75	то ни было	2	2
76	одно и то	3	2
77	всех подобных случаях	2	2
78	совокупность факторов художественного	2	2
79	не сводятся к	2	2
80	бы то ни	2	2
81	коем случае не	2	2
82	личностного присутствия в	2	2
83	внутренняя граница личности	2	2
84	знакового материала в	2	2
85	в целую панораму	2	2
86	в русской литературе	2	2
87	мастера и маргариты	2	2
88	оказывается отношение автор	2	2
89	это своего рода	2	2
90	художественной культуры в	2	2
91	в области искусства	2	2
92	в коем случае	2	2
93	и то же	3	2
94	на воспринимающее сознание	2	2
95	начинает восприниматься как	2	2
96	художественной деятельности в	2	2
97	превращения реального читателя	2	2
98	либо в сторону	2	2
99	мы легко догадываемся	2	2
100	тем или иным	2	2
101	в противном случае	2	2
102	до известной степени	2	2
103	может быть названо	2	2
104	художественного мышления и	2	2
105	в известном смысле	2	2
106	позволяет говорить о	2	2
107	в имени тебе	2	2
108	ведет по пути	2	2
109	или иной строй	2	2
110	во всех подобных	2	2
111	и в форме	2	2
112	о полку игореве	2	2
113	отношение представляет собой	2	2
114	необходимы предпосылки двоякого	2	2
115	художественности и позволяет	2	2
116	объективной предпосылкой эстетического	2	2
117	реальности вымышленного мира	2	2
118	что отличает тексты	2	2
119	способность знака к	2	2
120	единица внутренней речи	2	2
121	в читателя концепированного	2	2
122	отношении обратного параллелизма	2	2
123	уготованной ему позиции	2	2
124	в таком случае	2	2
125	в порядке образующем	2	2
126	его эстетической доминантой	2	2
127	в данный момент	2	2
128	с легкой руки	2	2
129	процесс превращения реального	2	2
130	сказания или анекдота	2	2
131	стили могут быть	2	2
132	произведение искусства более	2	2
133	новой парадигмы художественности	2	2
134	войне и мире	2	2
135	в искусстве слова	2	2
136	словами м.м бахтина	2	2
137	времени и в	2	2
138	я в качестве	2	2
139	причастной вненаходимости бахтин	2	2
140	но он не	2	2
141	что в основе	2	2
142	стихотворении пушкина что	2	2
143	как к содержанию	2	2
144	этой точки зрения	2	2
145	в данном контексте	2	2
146	в качестве знаковых	2	2
147	более не сводится	2	2
148	в отношении обратного	2	2
149	в самом деле	2	2
150	художественный текст в	2	2
151	модус художественности состоит	2	2
152	вторичной знаковой системы	2	2
153	типа эстетического завершения	2	2
154	а с другой	2	2
155	в значительной степени	2	2
156	но и любые	2	2
157	сегментов текста как	2	2
158	как уже говорилось	2	2
159	говорить о законе	2	2
160	том числе и	2	2
161	и позволяет говорить	2	2
162	во всей его	2	2
163	и его внешней	4	2
164	по сути своей	3	2
165	том что он	2	2
166	мы имеем дело	2	2
167	конструктивному принципу иносказательности	2	2
168	к тому что	2	2
169	я героя как	2	2
170	предпосылкой эстетического отношения	2	2
171	человека к действительности	2	2
172	элемента эстетической реальности	2	2
173	искусства более не	2	2
174	с этой точки	2	2
175	целую панораму слов	2	2
176	внутреннего слуха и	2	2
177	автор относится как	2	2
178	художественной культуры новейшего	2	2
179	отношению к герою	2	2
180	текст как совокупность	2	2
181	с ними и	2	2
182	но в состав	2	2
183	даль и сближение	2	2
184	в рамках которого	2	2
185	в структуре текста	2	2
186	мира представляет собой	2	2
187	во внешнем мире	2	2
188	и некоторые иные	2	2
189	со стороны адресата	2	2
190	в единое целое	2	2
191	художественности состоит в	2	2
192	иной строй эстетической	2	2
193	невоспроизводимости творческого акта	2	2
194	не в самом	2	2
195	кто говорит и	2	2
196	в общественном сознании	2	2
197	и в то	2	2
198	культуры новейшего времени	2	2
199	включает в себя	2	2
200	как элемента эстетической	2	2
201	и в самом	3	2
202	искусства но чтобы	2	2
203	в войне и	2	2
204	я с его	2	2
205	реального читателя в	2	2
206	он тем не	2	2
207	слове о полку	2	2
208	предполагает способность знака	2	2
209	в качестве знаков	2	2
210	отношения к сообщаемому	2	2
211	или говоря иначе	2	2
212	искусства в узком	2	2
213	случае не следует	2	2
214	художественности далеко не	2	2
215	деятельностью направленной на	2	2
216	может быть и	2	2
217	участок текста характеризующийся	2	2
218	все расположилось в	2	2
219	в узком значении	2	2
220	обращены к нашему	2	2
221	в эстетический объект	2	2
222	вторичной знаковой системе	2	2
223	однако при этом	2	2
224	до прихода в	2	2
225	художественная деятельность мыслится	2	2
226	креативного и рецептивного	2	2
227	что в имени	2	2
228	в рамках художественного	2	2
229	ни в коем	2	2
230	и сближение но	2	2
231	сама по себе	2	2
232	в тарасе бульбе	2	2
233	относится как к	2	2
234	то чему нельзя	2	2
235	приводит к тому	2	2
236	речевая маска такого	2	2
237	другими знаками чем	2	2
238	это коммуникативное содержание	2	2
239	продолжением и развитием	2	2
240	в этом мире	2	2
241	индивидуального речевого замысла	2	2
242	вокруг я героя	2	2
243	потребности и способности	2	2
244	композиционных форм высказывания	2	2
245	но во всех	2	2
246	в основе своей	2	2
247	в отношении к	2	2
248	эстетическое отношение представляет	2	2
249	определяющим отношением художественности	2	2
250	и не могло	2	2
251	в мире это	2	2
252	чему нельзя научиться	2	2
253	расположилось в порядке	2	2
254	пушкина что в	2	2
255	по большей части	2	2
256	деятельности в рамках	2	2
257	как совокупность факторов	2	2
258	не могло быть	2	2
