N	2gram	Savitsky_P	Myslijsy
1	потому что	3	182
2	и в	14	121
3	может быть	5	107
4	в том	9	103
5	то что	4	83
6	для нас	2	75
7	что в	4	73
8	и не	12	73
9	только в	7	72
10	не только	17	67
11	а не	2	67
12	том что	4	59
13	в этом	10	59
14	но и	6	59
15	то же	9	56
16	не в	5	54
17	если бы	4	53
18	в себе	3	53
19	не может	4	52
20	по себе	4	52
21	того что	2	47
22	в нем	3	45
23	было бы	6	45
24	мы не	3	38
25	что мы	3	36
26	а в	4	30
27	но не	3	29
28	между тем	3	29
29	могут быть	3	27
30	с этим	2	27
31	и т	3	26
32	не было	2	26
33	в то	7	24
34	с тем	3	23
35	как бы	4	23
36	но в	9	22
37	с другой	5	22
38	и потому	4	21
39	не менее	2	21
40	в ней	6	20
41	это не	3	20
42	мысль о	2	20
43	тем самым	3	19
44	заключает в	2	19
45	и как	3	19
46	есть не	2	19
47	должно быть	2	19
48	для того	3	18
49	в его	2	17
50	со стороны	2	17
51	точки зрения	3	17
52	в своем	4	16
53	есть нечто	2	16
54	в них	2	16
55	с одной	3	15
56	думать что	2	15
57	в ряду	2	15
58	и тем	2	15
59	прежде всего	3	15
60	быть может	6	15
61	мы должны	4	14
62	и без	3	14
63	столь же	3	14
64	в котором	4	14
65	во всех	2	14
66	бы ни	2	14
67	же время	7	14
68	например в	2	13
69	в смысле	6	13
70	из них	2	13
71	как на	2	13
72	все это	2	12
73	есть в	2	12
74	тем более	2	12
75	хотя и	3	12
76	в силу	2	11
77	и если	4	11
78	же в	4	11
79	сами по	3	11
80	и это	2	11
81	одной стороны	3	10
82	между прочим	2	10
83	хотя бы	8	10
84	духа и	2	10
85	и мы	2	10
86	и с	2	10
87	и есть	2	10
88	и других	2	9
89	в сравнении	3	9
90	и о	5	9
91	с точки	3	9
92	тот же	3	8
93	именно в	2	8
94	в которых	5	8
95	помнить что	2	8
96	вслед за	3	8
97	с ними	3	8
98	говорить о	2	8
99	слова но	2	7
100	в эту	2	7
101	было в	2	7
102	в жизни	2	7
103	она есть	3	6
104	в ее	2	6
105	никак не	2	6
106	в мире	2	6
107	главным образом	2	6
108	друг другу	2	6
109	и к	4	6
110	в виде	2	6
111	да и	2	6
112	заключается в	3	6
113	если в	2	5
114	одна из	2	5
115	переход от	2	5
116	которое в	2	5
117	в области	11	5
118	не столько	2	5
119	нужно было	2	5
120	в начале	2	5
121	сравнении с	3	5
122	отношении к	5	5
123	не к	2	5
124	более чем	2	4
125	еще более	2	4
126	стороны и	2	4
127	я и	3	4
128	отношения к	2	4
129	в отношении	10	3
130	для них	2	3
131	время в	2	3
132	которую мы	2	3
133	по-видимому не	2	3
134	в общем	2	3
135	знать что	2	3
136	взгляда на	2	3
137	не будем	2	2
138	на пути	4	2
139	при посредстве	2	2
140	с к	7	2
141	в с	4	2
142	с с	2	2
143	в сфере	2	2
144	что из	2	2
145	является в	2	2
146	может ли	2	2
147	только это	2	2
148	может и	2	2
149	не нужно	2	2
150	с т	4	2
151	точек зрения	2	2
152	к чему	2	2
153	весьма мало	2	2
