N	3gram	Potebnia_M	EvropaiE
1	с точки зрения	2	16
2	в то же	8	15
3	то же время	8	14
4	с одной стороны	4	8
5	в том что	22	6
6	для того чтобы	5	5
7	не только в	4	4
8	само по себе	6	4
9	заключает в себе	10	3
10	во всяком случае	3	3
11	в некотором смысле	2	3
12	как бы ни	4	3
13	в этом отношении	2	3
14	можно думать что	2	3
15	можно сказать что	3	3
16	в этом смысле	2	3
17	а тем более	2	2
18	то что в	2	2
19	в данном случае	3	2
20	вслед за тем	3	2
21	рано или поздно	2	2
22	с другой стороны	4	2
23	нам кажется что	3	2
24	только в том	5	2
25	друг от друга	2	2
26	с течением времени	2	2
27	на то что	3	2
28	в большинстве случаев	2	2
29	по себе не	2	2
30	так и в	2	2
31	в свою очередь	6	2
32	не может быть	7	2
