N	3gram	Losev_Vlad	Myshleni
1	в том что	13	133
2	для того чтобы	3	78
3	в этом отношении	2	30
4	с другой стороны	3	26
5	вместе с тем	2	26
6	о том что	9	25
7	на то что	6	25
8	не может быть	4	23
9	в то время	6	22
10	можно сказать что	3	21
11	то время как	2	20
12	во всяком случае	8	18
13	в этом смысле	4	18
14	в связи с	7	17
15	и то что	7	15
16	в свою очередь	2	14
17	точно так же	2	13
18	тем не менее	8	12
19	на первый план	4	12
20	и тот же	2	12
21	один и тот	2	12
22	в том чтобы	4	12
23	как мы уже	3	11
24	то обстоятельство что	2	11
25	в последнее время	2	11
26	том что в	3	11
27	более или менее	5	9
28	том что он	4	9
29	что и в	2	8
30	что он не	3	8
31	в том же	3	8
32	то что он	6	8
33	по этому поводу	2	7
34	потому что в	2	6
35	не что иное	2	6
36	что иное как	2	6
37	и в частности	3	6
38	в конце концов	6	5
39	в свое время	6	5
40	мы знаем что	2	5
41	в то же	7	5
42	так как он	2	5
43	как мы увидим	2	5
44	мы хотели бы	3	5
45	не только в	3	5
46	после того как	2	4
47	так что в	2	4
48	как это мы	4	4
49	на этот раз	7	4
50	не то что	2	4
51	бы то ни	2	3
52	и в конце	2	3
53	в которой он	2	3
54	говорит что в	2	3
55	как раз и	2	3
56	к тому же	3	3
57	и потому что	3	3
58	в настоящее время	2	3
59	то же время	7	3
60	дело в том	7	3
61	не имеет никакого	2	3
62	и все же	2	2
63	и речи с	2	2
64	и в его	2	2
65	в этом же	2	2
66	само собой разумеется	2	2
67	раз и навсегда	2	2
68	тем более что	2	2
69	что у него	2	2
70	мы увидим ниже	4	2
71	в ответ на	2	2
72	с ним в	2	2
73	и что можно	2	2
74	мы будем говорить	2	2
75	до некоторой степени	2	2
76	за то что	2	2
77	и к его	2	2
78	и до конца	2	2
79	и как мы	2	2
80	то что у	2	2
