N	3gram	Vygotskiy_	Analitik
1	в том что	33	25
2	не может быть	4	19
3	по отношению к	19	18
4	о том что	7	15
5	в данном случае	3	14
6	в отличие от	3	14
7	мы имеем дело	2	11
8	подобно тому как	6	9
9	с одной стороны	10	9
10	с другой стороны	8	9
11	в свою очередь	4	9
12	в том чтобы	3	9
13	в этом отношении	7	8
14	с точки зрения	12	8
15	состоит в том	7	8
16	во всяком случае	2	7
17	что иное как	2	7
18	в свое время	2	7
19	одного и того	8	6
20	не что иное	2	6
21	и того же	8	6
22	есть не что	2	5
23	в этом случае	5	5
24	не только не	7	5
25	в самом деле	6	4
26	том что он	3	4
27	для того чтобы	20	4
28	из того что	4	4
29	и тем самым	3	4
30	в известном смысле	7	4
31	в самом начале	2	4
32	и не может	3	4
33	в этом смысле	5	4
34	тех или иных	2	4
35	сама по себе	4	4
36	то же самое	7	3
37	в первом случае	2	3
38	именно в этом	3	3
39	не могут быть	3	3
40	и тот же	5	3
41	в том числе	2	3
42	в связи с	6	3
43	одной и той	3	3
44	можно сказать что	7	3
45	и той же	3	3
46	включает в себя	2	3
47	в зависимости от	2	3
48	и то что	6	3
49	тем или иным	2	2
50	что он не	3	2
51	в такой же	3	2
52	на этот вопрос	5	2
53	выходит далеко за	3	2
54	а с другой	3	2
55	в равной мере	4	2
56	по своей природе	2	2
57	в той мере	3	2
58	на всем протяжении	5	2
59	той мере в	3	2
60	можно было бы	8	2
61	не в состоянии	6	2
62	к тому что	5	2
63	друг с другом	10	2
64	один и тот	5	2
65	мере в какой	3	2
66	заключается в том	12	2
67	этой точки зрения	7	2
68	такой же мере	3	2
69	с этой точки	7	2
70	до сих пор	3	2
71	смысле этого слова	2	2
72	в обоих случаях	2	2
73	на то что	5	2
74	в сущности говоря	5	2
