N	2gram	Tiupa_Narr	Vladivir
1	и в	19	116
2	то что	11	71
3	и не	20	67
4	не только	32	65
5	у него	4	65
6	в этом	17	53
7	в том	18	52
8	том что	14	51
9	что в	3	48
10	но и	23	47
11	в его	9	40
12	и с	4	39
13	то есть	19	37
14	сказать что	4	36
15	и даже	3	36
16	что он	6	32
17	не может	10	31
18	о том	6	30
19	только в	4	30
20	никогда не	3	29
21	как мы	3	29
22	для него	2	29
23	а в	11	27
24	не было	2	26
25	в то	3	25
26	но в	6	25
27	в себе	8	25
28	и его	5	25
29	а также	7	24
30	точки зрения	10	23
31	может быть	25	23
32	он не	3	23
33	ни в	3	22
34	а именно	3	20
35	в своем	2	20
36	прежде всего	4	20
37	и потому	2	19
38	так и	9	19
39	не менее	3	19
40	как раз	2	19
41	тем не	3	19
42	не в	14	18
43	как это	6	18
44	как и	7	18
45	хотя и	3	18
46	с его	6	18
47	не мог	4	18
48	в этой	5	17
49	а не	12	17
50	уже не	5	16
51	все же	7	16
52	того что	2	16
53	было бы	4	16
54	к тому	7	16
55	и все	2	16
56	не есть	3	16
57	в связи	2	15
58	несмотря на	2	15
59	то же	4	15
60	уже в	3	14
61	все эти	2	14
62	его жизни	2	14
63	и как	5	14
64	и на	3	14
65	так же	2	13
66	можно сказать	5	13
67	да и	4	13
68	что это	3	13
69	в результате	2	13
70	жизни и	3	13
71	ничего не	2	12
72	в нем	4	12
73	связи с	4	12
74	некоторого рода	2	12
75	то в	6	12
76	если не	4	12
77	по себе	5	12
78	или менее	2	11
79	при этом	9	11
80	в данном	5	11
81	хотя бы	4	11
82	он уже	2	11
83	более или	2	11
84	тому же	5	11
85	даже в	2	10
86	такого рода	7	10
87	о нем	4	10
88	к нему	5	10
89	в ней	3	10
90	в качестве	21	10
91	можно было	2	10
92	еще не	7	10
93	но не	6	10
94	отнюдь не	5	10
95	с точки	2	10
96	здесь не	4	10
97	это не	2	9
98	но как	2	9
99	о чем	2	9
100	а с	3	9
101	по существу	2	9
102	что касается	2	9
103	с другой	8	9
104	не будет	3	9
105	именно в	6	9
106	что мы	2	9
107	же время	4	9
108	отношения к	2	9
109	отношение к	2	8
110	не столько	4	8
111	себя в	5	8
112	как бы	4	8
113	из этих	3	8
114	и он	3	8
115	тем что	3	8
116	как в	7	8
117	и для	2	8
118	после смерти	2	8
119	когда он	3	8
120	со стороны	9	8
121	не имеет	2	7
122	точно так	2	7
123	же в	4	7
124	даже не	3	7
125	но все	4	7
126	на первый	2	7
127	в таком	2	7
128	и есть	2	7
129	данном случае	4	6
130	его в	2	6
131	те же	4	6
132	на себя	3	6
133	в отличие	5	6
134	отличие от	5	6
135	что на	2	6
136	так или	2	6
137	другой стороны	4	6
138	тем более	2	6
139	на него	3	6
140	не с	3	6
141	или иначе	3	6
142	по своей	3	6
143	он сам	2	6
144	и тем	4	5
145	в частности	14	5
146	она не	2	5
147	за границу	3	5
148	один из	3	5
149	и до	2	5
150	то ни	3	5
151	что они	3	5
152	в области	2	5
153	сводится к	3	5
154	бы то	3	5
155	все то	2	5
156	мы имеем	2	5
157	жизни в	3	5
158	далеко не	5	5
159	что у	2	5
160	в свою	3	5
161	из них	3	5
162	говорит о	2	5
163	и только	2	5
164	не о	3	4
165	перед нами	4	4
166	тем самым	6	4
167	истории в	3	4
168	вплоть до	2	4
169	иное как	2	4
170	не что	2	4
171	наряду с	2	4
172	как к	2	4
173	это и	3	4
174	совершенно не	2	4
175	одной из	4	4
176	мог бы	3	4
177	одной стороны	7	4
178	не то	2	4
179	себя и	2	4
180	в сущности	3	4
181	что иное	2	4
182	когда мы	2	4
183	независимо от	2	4
184	время в	2	4
185	не все	5	4
186	во второй	2	4
187	в особенности	4	4
188	этом отношении	3	4
189	не на	2	4
190	с одной	7	4
191	нет и	2	4
192	всей своей	2	4
193	и сейчас	2	4
194	в последние	2	4
195	пока еще	4	4
196	ему в	2	4
197	в будущем	2	3
198	и ее	2	3
199	не как	2	3
200	свою очередь	3	3
201	в силу	4	3
202	наконец в	2	3
203	себя внимание	3	3
204	который в	2	3
205	роль в	2	3
206	между ними	2	3
207	но о	3	3
208	жизни а	2	3
209	точка зрения	6	3
210	самом деле	2	3
211	а если	2	3
212	которая в	2	3
213	что не	4	3
214	и др	2	3
215	же как	3	3
216	о своей	2	3
217	при всем	2	3
218	и самого	3	3
219	том числе	6	3
220	в литературе	2	3
221	в противоположность	2	3
222	особенно в	3	3
223	отличается от	4	3
224	за границей	4	3
225	субъекта и	2	3
226	из многочисленных	2	3
227	как говорит	3	3
228	одним из	2	3
229	себе не	2	3
230	не могло	2	3
231	как известно	2	3
232	что по	2	3
233	в мире	9	3
234	всей его	2	3
235	в какой	2	3
236	будто бы	3	3
237	оно не	2	3
