N	2gram	Bakhtin_fo	Mirosoze
1	и в	84	97
2	может быть	18	64
3	не только	16	63
4	в этом	41	55
5	но и	14	54
6	он не	6	53
7	а не	7	53
8	в нем	28	49
9	не может	8	49
10	у него	8	47
11	и не	19	39
12	никогда не	8	38
13	потому что	11	37
14	в ней	4	37
15	не было	8	36
16	не в	10	34
17	и есть	3	33
18	для него	5	31
19	человека в	22	30
20	человеческой природы	2	30
21	но он	4	30
22	прежде всего	28	29
23	как и	15	29
24	но в	16	27
25	и он	3	27
26	в мире	4	27
27	человека и	15	26
28	и это	5	25
29	в своей	2	25
30	он был	2	25
31	и все	10	24
32	у нас	2	24
33	в своем	8	23
34	что в	9	23
35	что он	2	22
36	в самом	9	21
37	в себе	7	20
38	бога и	2	20
39	отношение к	5	20
40	до конца	5	19
41	как бы	11	19
42	в его	19	18
43	и потому	4	17
44	того что	5	17
45	в том	16	16
46	том что	7	16
47	то что	13	16
48	было бы	2	16
49	на земле	2	16
50	и его	26	16
51	не был	2	15
52	в этой	3	15
53	не знает	4	15
54	в котором	8	15
55	нет ничего	4	14
56	в конце	11	14
57	она не	2	14
58	так как	12	14
59	человек в	5	14
60	та же	4	13
61	и вот	2	13
62	друг друга	3	13
63	и на	13	13
64	это не	8	12
65	и у	8	12
66	смысле слова	4	12
67	в них	11	12
68	все это	10	12
69	но не	9	12
70	он сам	2	12
71	с тем	5	11
72	менее всего	2	11
73	хотя бы	2	11
74	в которой	3	11
75	только в	12	11
76	был бы	3	11
77	как в	10	11
78	и для	12	11
79	уже не	5	11
80	и к	4	11
81	жизни и	12	11
82	не могут	4	10
83	так же	7	10
84	есть не	4	10
85	один из	5	10
86	образ человека	7	10
87	то же	18	10
88	не имеет	5	10
89	в самой	3	10
90	есть и	4	9
91	он весь	3	9
92	а в	6	9
93	к тому	6	9
94	что и	5	9
95	и во	13	9
96	из самых	3	9
97	должно быть	6	9
98	то есть	42	9
99	все что	2	9
100	в свою	2	9
101	человек и	2	9
102	с ним	5	9
103	лишь в	8	9
104	вместе с	9	9
105	вопрос о	2	8
106	ничего не	9	8
107	в человека	2	8
108	в этих	6	8
109	они не	4	8
110	жизнь в	2	8
111	мира и	6	8
112	что не	3	8
113	того чтобы	11	8
114	в отношении	5	8
115	только и	5	8
116	нет в	2	8
117	с его	10	8
118	себя в	2	8
119	тем что	4	8
120	для того	12	8
121	нет и	4	8
122	о том	4	8
123	и с	10	8
124	уже в	5	8
125	те же	5	7
126	как он	4	7
127	должен быть	2	7
128	что все	4	7
129	точки зрения	14	7
130	себя и	6	7
131	на этом	2	7
132	жизни в	11	7
133	в жизни	6	7
134	также и	6	7
135	в нашем	3	7
136	все в	3	7
137	отношения к	7	7
138	во всем	3	7
139	чем в	3	7
140	его в	8	6
141	личности и	2	6
142	не как	2	6
143	вера в	2	6
144	у них	4	6
145	людей и	2	6
146	всего в	4	6
147	в ее	6	6
148	его на	3	6
149	и те	4	6
150	в образе	8	6
151	совсем не	4	6
152	быть и	4	6
153	и от	3	6
154	и нет	2	6
155	этого мира	5	6
156	к ней	2	6
157	к концу	3	6
158	было в	2	6
159	к другу	2	6
160	если бы	6	6
161	с этой	3	6
162	же и	2	6
163	жизнь и	4	6
164	и более	3	6
165	и здесь	2	6
166	в которых	4	6
167	друг к	2	6
168	не к	2	6
169	оно не	3	5
170	с собой	2	5
171	в то	13	5
172	жизни это	2	5
173	в их	9	5
174	так и	17	5
175	от этого	4	5
176	в более	2	5
177	как у	2	5
178	не для	3	5
179	должны быть	2	5
180	сказать что	4	5
181	тот же	4	5
182	во всяком	5	5
183	в основе	9	5
184	да и	4	5
