N	2gram	Propp_Isto	Tragedij
1	и в	40	18
2	в этом	13	9
3	не только	28	8
4	и не	19	7
5	и на	6	7
6	как бы	6	7
7	и с	5	7
8	может быть	37	7
9	что он	32	6
10	но в	13	6
11	и его	5	6
12	в образе	3	6
13	у него	5	6
14	что это	12	5
15	к жизни	2	5
16	все же	17	5
17	это не	8	5
18	то же	21	5
19	как и	5	5
20	в дальнейшем	6	5
21	так и	13	5
22	не может	19	5
23	в то	4	5
24	что в	19	4
25	еще не	14	4
26	в целом	3	4
27	но и	21	4
28	прежде всего	15	4
29	об этом	11	4
30	том что	11	4
31	в этой	9	4
32	и что	14	4
33	так же	18	4
34	все это	6	4
35	в нем	8	4
36	то что	17	4
37	но это	8	4
38	я не	5	4
39	и даже	4	4
40	в себе	6	4
41	один из	10	3
42	своего рода	2	3
43	и как	3	3
44	уже в	2	3
45	тем самым	2	3
46	что образ	2	3
47	к нему	3	3
48	в своем	5	3
49	при этом	6	3
50	в его	10	3
51	все эти	6	3
52	в поле	2	3
53	мог бы	3	3
54	и он	4	3
55	отнюдь не	2	3
56	в основном	4	3
57	с ее	2	3
58	как будто	7	3
59	никто не	3	3
60	должно быть	2	3
61	как в	7	3
62	как это	6	3
63	своего отца	3	3
64	для него	2	3
65	с ним	3	3
66	никогда не	25	2
67	она все	2	2
68	и то	3	2
69	но все	9	2
70	с тем	13	2
71	одна из	4	2
72	точно так	8	2
73	друг друга	2	2
74	тем что	7	2
75	перед нами	5	2
76	вопрос о	8	2
77	в одном	8	2
78	его в	15	2
79	в русском	2	2
80	в виде	2	2
81	раз и	3	2
82	ничего не	6	2
83	то и	2	2
84	нет в	2	2
85	не могут	3	2
86	в ее	2	2
87	к тому	6	2
88	а как	2	2
89	говорит о	2	2
90	о том	12	2
91	что и	9	2
92	ни в	2	2
93	тут же	2	2
94	не в	11	2
95	столь же	2	2
96	и здесь	15	2
97	потому что	12	2
98	что этот	5	2
99	не просто	5	2
100	в частности	3	2
101	только о	2	2
102	так что	9	2
103	он не	10	2
104	и ее	3	2
105	ничем не	2	2
106	впечатление что	2	2
107	уже не	3	2
108	что она	10	2
109	что эти	5	2
110	ее за	2	2
111	и это	2	2
112	ребенка и	2	2
113	со мной	2	2
114	но они	6	2
115	не так	2	2
116	отличие от	3	2
117	в том	12	2
118	в глаза	2	2
119	даже на	2	2
120	который в	2	2
121	в отличие	3	2
122	я буду	4	2
123	не мог	4	2
124	еще в	2	2
125	он и	3	2
126	он был	3	2
127	в это	2	2
