N	3gram	Medvedev_F	Tvorches
1	в то же	13	25
2	то же время	13	24
3	и т д	11	17
4	в том что	3	11
5	и в то	4	7
6	но в то	3	6
7	не может быть	11	6
8	и т п	11	5
9	по отношению к	4	5
10	в самом деле	5	5
11	с точки зрения	17	4
12	с самого начала	2	4
13	до сих пор	7	4
14	с другой стороны	4	3
15	и не может	5	3
16	сами по себе	4	3
17	во всяком случае	6	3
18	в отличие от	2	3
19	не сводится к	2	2
20	на самом деле	7	2
21	тем не менее	2	2
22	для того чтобы	3	2
23	так и в	6	2
24	в связи с	9	2
25	не могут быть	4	2
26	вместе с тем	5	2
27	в конце концов	2	2
28	особое место в	2	2
29	как бы ни	3	2
30	в данном случае	2	2
31	в высшей степени	4	2
32	нет и не	2	2
33	в свою очередь	6	2
