N	3gram	Tiupa_Hudo	Myslijsy
1	в том что	8	47
2	по отношению к	10	26
3	не может быть	4	19
4	тем не менее	3	18
5	в свою очередь	2	14
6	то же время	7	13
7	в то же	7	13
8	с другой стороны	6	12
9	более или менее	6	12
10	подобно тому как	3	11
11	для того чтобы	5	11
12	с одной стороны	3	10
13	одного и того	3	9
14	и того же	3	9
15	в таком случае	2	9
16	и то же	3	7
17	можно сказать что	3	7
18	одно и то	3	7
19	с точки зрения	3	7
20	может быть названо	2	7
21	сама по себе	2	7
22	в этом смысле	3	7
23	к тому что	2	5
24	в том и	2	4
25	и в самом	3	4
26	в противном случае	2	4
27	с этой точки	2	4
28	бы то ни	2	3
29	этой точки зрения	2	3
30	том что он	2	3
31	в связи с	3	3
32	до известной степени	2	3
33	так или иначе	4	3
34	то ни было	2	2
35	состоит в том	5	2
36	мы имеем дело	2	2
