N	3gram	Potebnia_M	VeschiIm
1	и т д	5	38
2	не может быть	7	24
3	не есть ни	4	12
4	тем не менее	7	11
5	по крайней мере	8	10
6	в том что	22	9
7	на то что	3	7
8	сама по себе	3	7
9	то и другое	3	6
10	с точки зрения	2	6
11	может быть только	4	6
12	одно и то	7	5
13	и то же	7	5
14	в то же	8	5
15	подобно тому как	3	5
16	не только в	4	5
17	в свою очередь	6	5
18	и то что	3	5
19	не только не	4	4
20	более или менее	6	4
21	то время как	3	4
22	сам по себе	9	4
23	о том что	5	4
24	в то время	7	4
25	что в ней	2	4
26	есть прежде всего	2	4
27	есть то что	2	4
28	само по себе	6	4
29	от того что	7	4
30	то же время	8	4
31	равно как и	2	4
32	мы не можем	5	3
33	можно сказать что	3	3
34	то что мы	3	3
35	в собственном смысле	2	3
36	вместе с тем	5	3
37	так что в	2	3
38	с одной стороны	4	3
39	с другой стороны	4	3
40	сами по себе	3	3
41	между собою и	2	3
42	все то что	2	2
43	как бы ни	4	2
44	во всяком случае	3	2
45	что только в	2	2
46	для того чтобы	5	2
47	в этом отношении	2	2
48	том что он	2	2
49	к тому что	3	2
50	я и не	3	2
51	только один из	2	2
52	не есть еще	2	2
53	или по крайней	2	2
54	то или другое	2	2
55	то что я	2	2
56	только тогда когда	11	2
57	в данном случае	3	2
58	в этом смысле	2	2
59	нельзя сказать что	2	2
60	в первом случае	2	2
61	в том чтобы	4	2
