N	2gram	Propp_Isto	VrazhdaK
1	не только	28	9
2	и что	14	8
3	в этом	13	8
4	и в	40	8
5	что в	19	7
6	но и	21	7
7	то что	17	7
8	но в	13	6
9	как и	5	6
10	в котором	5	6
11	в начале	3	6
12	в нем	8	6
13	и с	5	6
14	о нем	5	6
15	все же	17	6
16	и даже	4	6
17	и не	19	5
18	не было	3	5
19	об этом	11	5
20	то же	21	5
21	в то	4	5
22	у него	5	5
23	между тем	2	5
24	для нас	17	4
25	уже в	2	4
26	это не	8	4
27	в виду	2	4
28	все это	6	4
29	при этом	6	4
30	о том	12	4
31	в ней	10	4
32	как бы	6	4
33	так же	18	4
34	что он	32	4
35	в истории	2	4
36	с ним	3	4
37	может быть	37	4
38	т е	30	3
39	в том	12	3
40	одним из	2	3
41	его в	15	3
42	что у	3	3
43	в своем	5	3
44	том что	11	3
45	в его	10	3
46	в связи	7	3
47	и его	5	3
48	и как	3	3
49	он был	3	3
50	в русской	7	3
51	он не	10	3
52	связи с	10	3
53	эти слова	3	3
54	к этому	2	3
55	но он	5	3
56	на то	6	3
57	я не	5	3
58	наряду с	6	3
59	тем что	7	3
60	никогда не	25	2
61	же не	3	2
62	и то	3	2
63	в них	2	2
64	уже не	3	2
65	одна из	4	2
66	к ним	4	2
67	в него	2	2
68	для него	2	2
69	при помощи	2	2
70	и это	2	2
71	на первый	2	2
72	мы знаем	10	2
73	а в	15	2
74	а также	2	2
75	в этой	9	2
76	столь же	2	2
77	в нашей	2	2
78	в своей	2	2
79	как раз	2	2
80	но как	2	2
81	и он	4	2
82	в себе	6	2
83	еще не	14	2
84	же как	7	2
85	после этого	5	2
86	таким образом	13	2
87	в русских	4	2
88	и ее	3	2
89	во время	5	2
90	его и	6	2
91	отношения к	2	2
92	на это	3	2
93	так в	7	2
94	их в	7	2
95	в эту	3	2
96	не может	19	2
97	из них	5	2
98	ответ на	3	2
99	в это	2	2
100	не менее	7	2
101	там же	3	2
102	но это	8	2
103	об этой	2	2
104	ко мне	4	2
105	к себе	2	2
106	отнюдь не	2	2
107	а с	4	2
108	не мог	4	2
109	на основе	6	2
110	этот момент	3	2
111	вместе с	13	2
