N	2gram	Vygotskiy_	Sovremen
1	не может	23	17
2	точки зрения	39	12
3	может быть	20	12
4	таким образом	38	11
5	мы не	10	9
6	в каждом	3	8
7	не можем	4	7
8	и в	47	7
9	в этом	47	7
10	и не	27	6
11	ничего не	2	6
12	как и	19	6
13	в результате	3	6
14	мы можем	7	6
15	что же	3	5
16	с точки	31	5
17	все эти	7	5
18	и наконец	4	5
19	прежде всего	9	5
20	системы в	3	4
21	нет и	4	4
22	вопрос о	9	4
23	мы видели	10	4
24	зависимости от	6	4
25	это не	6	4
26	не только	36	4
27	в том	38	4
28	в зависимости	6	4
29	мы должны	7	4
30	как бы	13	4
31	их в	2	4
32	так как	25	4
33	точку зрения	4	4
34	если мы	6	4
35	в целом	7	4
36	в развитии	27	4
37	вместе с	19	4
38	а в	3	4
39	из них	2	4
40	с помощью	18	4
41	для нас	4	3
42	и т.д	4	3
43	ведь это	2	3
44	видели что	3	3
45	когда мы	2	3
46	и потому	3	3
47	на этой	7	3
48	но в	9	3
49	с самого	13	3
50	при этом	4	3
51	из двух	3	3
52	с необходимостью	2	3
53	но мы	5	3
54	не в	7	3
55	все же	7	3
56	было бы	12	3
57	в области	5	3
58	уже в	3	3
59	в себе	14	3
60	еще не	5	3
61	одна из	2	3
62	у нас	3	3
63	и все	5	3
64	все это	5	3
65	в нем	6	3
66	в наших	8	3
67	между собой	15	3
68	а не	7	3
69	в первом	6	3
70	и к	11	3
71	что она	8	3
72	в этой	7	3
73	при таком	2	3
74	то же	16	3
75	мы называем	2	3
76	в одном	4	3
77	отличается от	6	3
78	самого начала	13	3
79	поэтому мы	5	3
80	отнюдь не	2	3
81	в конце	5	3
82	в системе	3	3
83	ясно что	4	3
84	но все	2	2
85	на его	3	2
86	на этот	2	2
87	и по	6	2
88	развития мы	4	2
89	же самое	12	2
90	что все	6	2
91	значение в	3	2
92	которой он	2	2
93	конце развития	3	2
94	не менее	6	2
95	той же	13	2
96	не могут	9	2
97	для развития	3	2
98	мы видим	10	2
99	в его	7	2
100	с этим	5	2
101	и что	14	2
102	то и	5	2
103	во всяком	2	2
104	и во	5	2
105	с другом	6	2
106	что такое	2	2
107	приводит к	10	2
108	что при	4	2
109	свою очередь	3	2
110	из этих	6	2
111	в самом	15	2
112	она может	2	2
113	и есть	4	2
114	в виде	2	2
115	знаем что	3	2
116	что в	23	2
117	совершенно не	2	2
118	все те	2	2
119	в таком	2	2
120	в которой	16	2
121	у него	2	2
122	из одного	2	2
123	такой же	4	2
124	самом деле	6	2
125	со всеми	2	2
126	в живом	3	2
127	в свою	3	2
128	если же	2	2
129	в нашем	6	2
130	для его	2	2
131	этой стадии	2	2
132	могут быть	7	2
133	в отличие	4	2
134	отличие от	4	2
135	с одной	7	2
136	на этом	4	2
137	как мы	24	2
138	мы знаем	5	2
139	что это	7	2
140	этих двух	4	2
141	или иной	2	2
142	тем не	4	2
143	на котором	4	2
144	из которых	3	2
145	как известно	6	2
146	и даже	3	2
147	тем же	8	2
148	друг с	6	2
149	развития в	5	2
