N	2gram	Trubetskoy	Hudozhes
1	в качестве	3	31
2	в мире	4	24
3	и в	14	23
4	не только	9	20
5	состоит в	2	20
6	в том	17	20
7	может быть	9	19
8	при этом	5	19
9	в частности	2	18
10	и не	19	16
11	тогда как	2	15
12	но и	10	14
13	а в	5	13
14	в себе	9	13
15	но не	4	13
16	а не	2	13
17	то же	11	12
18	в этом	17	12
19	как бы	4	11
20	точки зрения	11	11
21	в его	4	11
22	сводится к	3	11
23	но в	2	10
24	по отношению	2	10
25	не в	4	9
26	или иной	5	9
27	том что	9	9
28	не может	22	9
29	в то	10	8
30	себя в	4	8
31	в области	2	8
32	в самом	3	7
33	лишь в	3	7
34	в своей	5	7
35	только в	5	7
36	же время	10	7
37	что в	4	7
38	более или	4	6
39	уже не	2	6
40	приводит к	4	6
41	в нем	5	6
42	или менее	4	6
43	тем самым	2	5
44	ни в	2	5
45	той или	3	5
46	самим собой	12	5
47	место в	2	5
48	для того	6	5
49	того чтобы	8	5
50	со стороны	4	5
51	в их	4	5
52	что он	6	5
53	то что	13	5
54	прежде всего	8	5
55	того что	3	5
56	для него	6	5
57	и то	4	4
58	его в	4	4
59	или иного	2	4
60	для себя	2	4
61	того или	2	4
62	к тому	7	4
63	на почве	2	4
64	между тем	5	4
65	в данном	7	4
66	и т.д	4	4
67	в другом	3	4
68	в силу	2	4
69	и как	3	4
70	еще не	3	4
71	и тем	2	4
72	и что	2	4
73	говорить о	3	4
74	в этих	2	4
75	он не	5	4
76	и о	2	4
77	отношения к	2	4
78	в своем	6	4
79	к нему	2	3
80	и для	6	3
81	как и	4	3
82	их в	2	3
83	говоря о	2	3
84	культуры в	3	3
85	потому что	5	3
86	и к	6	3
87	во всех	5	3
88	из этих	3	3
89	связи с	3	3
90	и на	5	3
91	если бы	6	3
92	не будет	7	3
93	с точки	9	3
94	он должен	5	3
95	себя и	5	3
96	таким образом	11	3
97	в таком	2	3
98	отношении к	2	3
99	в единое	2	3
100	и состоит	2	3
101	никогда не	5	2
102	о том	7	2
103	одной из	3	2
104	одна из	3	2
105	ее в	2	2
106	тому что	2	2
107	и потому	3	2
108	то в	3	2
109	что такое	2	2
110	или в	3	2
111	именно в	3	2
112	жизни в	5	2
113	все эти	2	2
114	быть и	2	2
115	но она	2	2
116	с самим	2	2
117	так же	2	2
118	отличается от	2	2
119	из которых	5	2
120	и по	3	2
121	между собой	5	2
122	отнюдь не	7	2
123	по себе	2	2
124	в порядке	2	2
125	сама по	2	2
126	речь идет	2	2
127	несмотря на	3	2
128	все это	6	2
129	из этого	3	2
130	что и	3	2
131	в значительной	3	2
132	то ни	4	2
133	не просто	2	2
134	самом деле	7	2
135	и более	2	2
136	в этой	4	2
137	ни к	7	2
138	а с	2	2
139	с ним	2	2
140	что может	3	2
141	при котором	3	2
142	том и	2	2
143	у него	2	2
144	бы то	4	2
145	при условии	3	2
