N	2gram	Vygotskiy_	VelikijI
1	и не	19	20
2	и в	55	16
3	так как	20	9
4	то что	69	9
5	еще не	6	8
6	и потому	8	7
7	что они	11	7
8	а не	16	7
9	не есть	4	6
10	как бы	33	5
11	но и	16	5
12	все это	8	5
13	что есть	3	5
14	того что	12	5
15	что все	12	4
16	и все	15	4
17	как и	9	4
18	в котором	5	4
19	потому что	48	4
20	в нем	13	4
21	в ней	5	4
22	что не	5	4
23	мы хотим	4	4
24	что мы	12	4
25	в его	8	4
26	в этом	30	4
27	что он	30	4
28	и есть	7	4
29	так и	6	4
30	никогда не	15	3
31	превращается в	2	3
32	в жизни	2	3
33	что в	43	3
34	в том	50	3
35	и для	13	3
36	не имеет	2	3
37	тому что	11	3
38	за то	3	3
39	но в	7	3
40	к тому	12	3
41	ни в	5	3
42	их в	4	3
43	то это	6	3
44	но это	2	3
45	должно быть	6	3
46	оно не	2	3
47	хотя бы	5	3
48	в своей	8	3
49	во всех	6	3
50	нас и	2	3
51	в конце	10	3
52	за ним	3	3
53	по этому	5	3
54	в них	7	3
55	жизни и	8	3
56	что и	11	3
57	и мы	28	3
58	не было	2	3
59	если не	2	3
60	и что	45	3
61	не в	12	3
62	все эти	5	3
63	в этих	3	3
64	должна быть	2	3
65	тот же	5	3
66	с его	6	3
67	когда в	2	2
68	и то	12	2
69	с тем	10	2
70	да и	4	2
71	одна из	6	2
72	не так	4	2
73	но не	9	2
74	нет и	2	2
75	не хотел	2	2
76	что их	2	2
77	никогда еще	3	2
78	не могли	4	2
79	от этих	3	2
80	и это	13	2
81	это не	9	2
82	ее в	2	2
83	не только	24	2
84	не могут	4	2
85	является в	2	2
86	а в	7	2
87	том что	46	2
88	на том	4	2
89	что от	2	2
90	но мы	4	2
91	и во	2	2
92	от него	5	2
93	во всяком	2	2
94	вслед за	3	2
95	нем нет	3	2
96	могут быть	8	2
97	которые не	2	2
98	один из	9	2
99	т д	6	2
100	давно уже	2	2
101	не будет	3	2
102	того чтобы	43	2
103	и теперь	2	2
104	тем что	8	2
105	чтобы сделать	2	2
106	мы не	8	2
107	конечно не	3	2
108	можно было	6	2
109	только в	12	2
110	и за	4	2
111	в форме	2	2
112	все равно	3	2
113	его и	2	2
114	для нас	9	2
115	в себя	2	2
116	прежде всего	6	2
117	и т	12	2
118	с ним	4	2
119	его не	2	2
120	это мы	2	2
121	между тем	4	2
122	мы и	2	2
123	а с	7	2
124	для него	5	2
125	не с	2	2
