N	2gram	Vygotskiy_	Morfolog
1	и т	12	62
2	может быть	34	61
3	т д	6	60
4	таким образом	35	26
5	действующих лиц	9	22
6	могут быть	8	21
7	так как	20	20
8	мы имеем	10	19
9	не может	15	19
10	в этом	30	18
11	в этих	3	17
12	представляет собой	2	17
13	и в	55	17
14	и не	19	16
15	представляют собой	2	16
16	мы видим	13	15
17	перед нами	5	14
18	с этим	4	14
19	прежде всего	6	14
20	по существу	4	13
21	при помощи	5	12
22	и др	2	12
23	связи с	2	12
24	видим что	5	12
25	а не	16	11
26	вопрос о	6	10
27	но если	3	10
28	мы увидим	11	10
29	то же	16	10
30	в том	50	10
31	то что	69	10
32	так и	6	10
33	что в	43	10
34	что и	11	10
35	а затем	2	10
36	этом случае	2	10
37	все же	11	9
38	но и	16	9
39	с другой	12	9
40	не только	24	8
41	в тех	3	8
42	в результате	6	8
43	но не	9	8
44	а в	7	8
45	мы не	8	8
46	в качестве	2	8
47	как мы	6	8
48	не могут	4	7
49	том что	46	7
50	по отношению	3	7
51	образом мы	3	7
52	отношению к	2	7
53	как это	16	7
54	и здесь	11	7
55	точки зрения	15	7
56	один из	9	7
57	потому что	48	7
58	это не	9	6
59	но это	2	6
60	не все	3	6
61	во всех	6	6
62	и как	10	6
63	или в	6	6
64	во время	4	6
65	и другие	3	6
66	в нашем	3	6
67	о том	24	6
68	если мы	24	6
69	с точки	5	6
70	в форме	2	6
71	как бы	33	6
72	вовсе не	8	6
73	одна из	6	5
74	ничего не	4	5
75	вслед за	3	5
76	хотя бы	5	5
77	мы можем	8	5
78	было бы	15	5
79	об этом	5	5
80	то мы	2	5
81	со стороны	3	5
82	героя в	3	5
83	что он	30	5
84	как в	4	5
85	то это	6	5
86	далеко не	4	5
87	тому что	11	5
88	к тому	12	5
89	из которых	5	5
90	между тем	4	5
91	в целом	7	5
92	главным образом	3	5
93	другой стороны	8	5
94	между собой	2	5
95	на его	4	5
96	тому как	3	5
97	там где	6	5
98	и затем	2	5
99	все эти	5	5
100	что они	11	5
101	он не	10	5
102	если же	3	5
103	ясно что	10	5
104	сказать что	14	4
105	на самом	9	4
106	его в	2	4
107	так же	19	4
108	в то	6	4
109	можно было	6	4
110	в руки	3	4
111	к этому	5	4
112	нами в	2	4
113	на него	4	4
114	тем что	8	4
115	не является	3	4
116	герой и	2	4
117	еще не	6	4
118	могла бы	4	4
119	самом деле	17	4
120	показать что	17	4
121	из них	7	4
122	но в	7	4
123	но все	5	4
124	что его	2	4
125	и для	13	4
126	следующим образом	2	4
127	как и	9	4
128	оно может	2	4
129	ни одна	2	4
130	этот вопрос	6	4
131	и к	5	4
132	на этом	11	4
133	смысле слова	2	4
134	несмотря на	5	4
135	того чтобы	43	4
136	с теми	3	4
137	героя а	3	4
138	и наоборот	2	4
139	в некоторых	2	4
140	никто не	4	4
141	от того	6	4
142	мы уже	7	4
143	время как	5	3
144	мы должны	10	3
145	но как	3	3
146	в которой	4	3
147	формы которые	2	3
148	и отсюда	3	3
149	в собственном	2	3
150	вопроса о	2	3
151	это было	4	3
152	что это	15	3
153	и их	3	3
154	целый ряд	5	3
155	только что	11	3
156	если бы	21	3
157	в виде	3	3
158	это и	7	3
159	на первый	2	3
160	есть нечто	3	3
161	и тем	6	3
162	та же	6	3
163	он должен	8	3
164	из двух	3	3
165	не в	12	3
166	то здесь	2	3
167	для того	45	3
168	героя и	9	3
169	и при	3	3
170	с этой	5	3
171	у нас	7	3
172	собственном смысле	2	3
173	к ней	3	3
174	или с	2	3
175	в пределах	3	3
176	в какой	5	3
177	того что	12	3
178	приводит к	2	3
179	здесь мы	2	3
180	так например	5	3
181	ее в	2	3
182	они не	3	3
183	на то	27	3
184	ни в	5	3
185	что такое	2	3
186	если это	4	3
187	состоит в	3	3
188	но мы	4	3
189	с собой	3	3
190	что при	5	3
191	чтобы герой	2	3
192	не существует	3	3
193	и вне	2	3
194	здесь же	2	3
195	совсем не	3	3
196	и что	45	3
197	то время	4	3
198	же в	3	3
199	и его	10	3
200	или на	2	3
201	только в	12	3
202	в сущности	14	3
203	и есть	7	3
204	и только	5	3
205	узнает о	3	3
206	значение и	2	3
207	что эти	4	3
208	в этой	15	3
209	и другим	2	3
210	приходим к	2	3
211	мы будем	3	3
212	с его	6	3
213	данном случае	4	2
214	и когда	12	2
215	в нее	3	2
216	в каком	7	2
217	решить вопрос	2	2
218	и заставляет	2	2
219	себя в	4	2
220	в каких	2	2
221	как например	2	2
222	в данном	4	2
223	действия и	5	2
224	из этих	4	2
225	от него	5	2
226	одной стороны	15	2
227	собой в	2	2
228	бы в	7	2
229	ответ на	5	2
230	в глаза	2	2
231	иное как	2	2
232	не что	2	2
233	в другом	3	2
234	и даже	4	2
235	с двумя	3	2
236	и тот	2	2
237	является в	2	2
238	что она	10	2
239	и таким	3	2
240	хотя эти	2	2
241	к другу	5	2
242	образом если	2	2
243	что именно	7	2
244	нельзя было	2	2
245	превращается в	2	2
246	этом отношении	3	2
247	на героя	2	2
248	заставляет его	5	2
249	в частности	6	2
250	себя за	2	2
251	только для	2	2
252	показать как	7	2
253	и за	4	2
254	вот как	2	2
255	его и	2	2
256	что иное	2	2
257	что ни	4	2
258	не знает	2	2
259	но никто	2	2
260	с одной	15	2
261	должна быть	2	2
262	а другой	2	2
263	а с	7	2
264	совершается в	3	2
265	не с	2	2
266	увидим что	13	2
267	и дает	3	2
268	одной из	2	2
269	на этот	7	2
270	с тем	10	2
271	вытекает из	2	2
272	не так	4	2
273	и этот	2	2
274	в самых	4	2
275	не имеет	2	2
276	он может	3	2
277	или наоборот	3	2
278	их в	4	2
279	ни одной	2	2
280	могли бы	6	2
281	один раз	2	2
282	в своих	9	2
283	ту же	3	2
284	оно не	2	2
285	быть и	2	2
286	но они	2	2
287	в которых	4	2
288	это так	2	2
289	которой все	2	2
290	с героем	2	2
291	если он	2	2
292	для нас	9	2
293	в основу	6	2
294	что мы	12	2
295	если за	2	2
296	что этот	3	2
297	в одной	4	2
298	как они	3	2
299	должны будем	3	2
300	совершенно другой	2	2
301	друг к	5	2
302	к другому	2	2
303	когда в	2	2
304	увидеть что	4	2
305	что эта	8	2
306	себя и	3	2
307	все это	8	2
308	в основе	9	2
309	у него	9	2
310	как будто	7	2
311	например в	2	2
312	можно сказать	4	2
313	в совершенно	6	2
314	из его	4	2
315	мы получим	2	2
316	это мы	2	2
317	для него	5	2
318	в одном	5	2
319	во всяком	2	2
320	без всякого	3	2
321	чем это	4	2
322	тем же	3	2
323	того как	4	2
324	чем в	3	2
325	совершенно одинаково	3	2
