N	2gram	Berdyaev_M	Sovremen
1	не может	39	17
2	точки зрения	6	12
3	может быть	42	12
4	мы не	2	9
5	в каждом	4	8
6	и в	61	7
7	в этом	34	7
8	и не	26	6
9	ничего не	4	6
10	как и	14	6
11	что же	2	5
12	все эти	3	5
13	прежде всего	18	5
14	нет и	6	4
15	вопрос о	7	4
16	это не	10	4
17	не только	42	4
18	в том	9	4
19	как бы	10	4
20	так как	10	4
21	жизни и	6	4
22	вместе с	7	4
23	а в	4	4
24	для нас	3	3
25	может не	3	3
26	и мы	2	3
27	ведь это	2	3
28	когда мы	2	3
29	и потому	17	3
30	но в	12	3
31	не в	16	3
32	все же	2	3
33	у всех	4	3
34	он в	4	3
35	как он	4	3
36	было бы	11	3
37	уже в	6	3
38	в себе	12	3
39	у нас	13	3
40	и все	13	3
41	все это	6	3
42	в нем	26	3
43	а не	36	3
44	и к	9	3
45	что она	5	3
46	в этой	12	3
47	то же	4	3
48	отличается от	2	3
49	в конце	11	3
50	на этот	2	2
51	и по	4	2
52	что все	5	2
53	которой он	2	2
54	быть и	2	2
55	роль в	2	2
56	той же	3	2
57	не могут	6	2
58	в новых	2	2
59	мы видим	4	2
60	в его	10	2
61	к чему	5	2
62	он должен	4	2
63	с этим	4	2
64	и что	4	2
65	и во	5	2
66	что такое	2	2
67	приводит к	2	2
68	в самом	15	2
69	она может	2	2
70	и есть	21	2
71	еще более	3	2
72	что в	12	2
73	в которой	8	2
74	у него	38	2
75	самом деле	2	2
76	уже не	8	2
77	в свою	5	2
78	в нашем	2	2
79	могут быть	2	2
80	только один	3	2
81	на этом	5	2
82	что это	5	2
83	и именно	2	2
