N	2gram	Trubetskoy	UchenyiS
1	и в	26	14
2	не только	10	10
3	а не	5	10
4	и не	8	8
5	прежде всего	2	8
6	то что	7	7
7	не может	4	7
8	в этом	15	7
9	может быть	10	6
10	перестает быть	2	5
11	и только	4	5
12	то же	4	5
13	хотя бы	3	5
14	все это	6	5
15	но и	9	4
16	в этой	4	4
17	с другой	8	4
18	в россии	2	4
19	конечно не	2	4
20	для этого	2	3
21	и т.д	6	3
22	все же	6	3
23	не как	2	3
24	в то	4	3
25	но в	7	3
26	же время	2	3
27	к сожалению	3	3
28	ни было	2	3
29	в области	9	3
30	бы то	2	3
31	то ни	2	3
32	для него	3	3
33	в самом	4	2
34	в себе	6	2
35	что мы	2	2
36	и у	8	2
37	же самое	2	2
38	что он	4	2
39	надо было	2	2
40	крайней мере	5	2
41	таким образом	22	2
42	но не	8	2
43	и для	5	2
44	если бы	3	2
45	между тем	2	2
46	только в	4	2
47	одним из	2	2
48	и является	2	2
49	и с	10	2
50	должна была	2	2
51	что и	6	2
52	по крайней	5	2
53	при таком	2	2
54	не могут	2	2
55	превращается в	2	2
56	сих пор	5	2
57	том что	7	2
58	в его	5	2
59	в том	11	2
60	что все	4	2
61	этом отношении	2	2
62	если не	2	2
63	с его	2	2
64	конце концов	3	2
65	для всех	2	2
66	по существу	2	2
67	не в	2	2
68	в конце	6	2
69	до сих	5	2
