N	2gram	Trubetskoy	Hudozhes
1	то есть	2	26
2	в мире	6	24
3	и в	24	23
4	не только	10	20
5	в том	31	20
6	может быть	17	19
7	при этом	9	19
8	в частности	2	18
9	и не	9	16
10	тогда как	6	15
11	но и	11	14
12	а в	3	13
13	в себе	5	13
14	я в	2	13
15	но не	3	13
16	то же	4	12
17	в этом	13	12
18	и его	2	12
19	так и	10	12
20	как бы	10	11
21	точки зрения	14	11
22	в его	5	11
23	сводится к	2	11
24	но в	5	10
25	по отношению	11	10
26	отношению к	11	10
27	не в	9	9
28	том что	20	9
29	не может	18	9
30	с другой	6	9
31	в то	6	8
32	в области	4	8
33	в самом	8	7
34	по своей	7	7
35	отношение к	4	7
36	лишь в	5	7
37	только в	6	7
38	же время	2	7
39	что в	9	7
40	отличие от	3	7
41	в основе	2	7
42	более или	8	6
43	другой стороны	5	6
44	в нем	3	6
45	с ее	2	6
46	или менее	8	6
47	тем самым	3	5
48	или иначе	5	5
49	между ними	2	5
50	как к	5	5
51	иначе говоря	4	5
52	для того	8	5
53	того чтобы	8	5
54	в виду	2	5
55	в их	4	5
56	что он	7	5
57	то что	18	5
58	не менее	7	5
59	прежде всего	3	5
60	того что	7	5
61	для него	2	5
62	и то	4	4
63	его в	5	4
64	далеко не	5	4
65	это не	3	4
66	для себя	2	4
67	к тому	8	4
68	на почве	3	4
69	между тем	12	4
70	в данном	3	4
71	и т.д	4	4
72	во втором	2	4
73	в другом	2	4
74	не знает	2	4
75	в силу	7	4
76	еще не	6	4
77	и что	9	4
78	говорить о	2	4
79	в этих	3	4
80	он не	4	4
81	не следует	2	4
82	в себя	2	4
83	в своем	12	4
84	хотя и	4	4
85	со своей	2	4
86	так или	5	4
87	даже в	3	3
88	от себя	2	3
89	в жизни	3	3
90	к нему	2	3
91	и для	6	3
92	по своему	5	3
93	и ее	2	3
94	в точке	2	3
95	все прочие	4	3
96	как и	10	3
97	того же	9	3
98	их в	2	3
99	культуры в	10	3
100	потому что	9	3
101	одной стороны	2	3
102	в целом	5	3
103	в свою	2	3
104	и к	5	3
105	во всех	10	3
106	одного и	3	3
107	тем не	4	3
108	из этих	8	3
109	связи с	4	3
110	и на	6	3
111	если бы	8	3
112	не будет	5	3
113	с точки	8	3
114	и того	3	3
115	он должен	2	3
116	себя и	2	3
117	с этой	3	3
118	в связи	3	3
119	таким образом	34	3
120	в таком	4	3
121	и сам	2	3
122	есть в	2	3
123	в которой	5	3
124	никто не	2	3
125	во всей	2	3
126	однако при	2	3
127	с одной	3	3
128	имеет место	2	3
129	и состоит	2	3
130	никогда не	4	2
131	о том	7	2
132	одна из	2	2
133	одно из	3	2
134	не от	2	2
135	и это	3	2
136	тому что	2	2
137	и потому	3	2
138	а для	2	2
139	то в	2	2
140	вследствие этого	3	2
141	в самой	2	2
142	столь же	5	2
143	для меня	4	2
144	со временем	2	2
145	именно в	5	2
146	но как	2	2
147	все эти	19	2
148	тем более	3	2
149	образом и	2	2
150	что она	2	2
151	должен быть	2	2
152	быть и	5	2
153	и конец	4	2
154	так же	8	2
155	отличается от	6	2
156	может служить	3	2
157	свою очередь	2	2
158	из которых	4	2
159	но на	2	2
160	в европейской	4	2
161	и по	3	2
162	данный момент	4	2
163	между собой	4	2
164	это может	2	2
165	я не	2	2
166	отнюдь не	2	2
167	в них	2	2
168	не вполне	3	2
169	несмотря на	6	2
170	на этом	2	2
171	все это	13	2
172	с ними	2	2
173	между двумя	5	2
174	в сторону	3	2
175	из этого	7	2
176	что и	7	2
177	и некоторые	2	2
178	то ни	4	2
179	ни было	3	2
180	и особенно	2	2
181	в одно	2	2
182	одним из	4	2
183	и может	3	2
184	а затем	2	2
185	самом деле	12	2
186	и более	2	2
187	совершенно иной	2	2
188	этого слова	2	2
189	в нашем	3	2
190	в этой	7	2
191	а с	4	2
192	с ним	6	2
193	этих двух	2	2
194	ни для	2	2
195	начало и	6	2
196	вовсе не	2	2
197	заключается в	3	2
198	если мы	4	2
199	том и	2	2
200	у него	5	2
201	бы то	3	2
202	при условии	2	2
