N	2gram	Tiupa_Vved	Formalny
1	и в	23	95
2	и не	24	78
3	может быть	25	66
4	в этом	27	61
5	не может	14	57
6	таким образом	6	52
7	и его	9	51
8	так и	14	50
9	в нем	9	42
10	в его	9	42
11	прежде всего	11	41
12	как и	21	39
13	не в	12	35
14	в самом	6	35
15	а не	31	34
16	но и	31	33
17	то же	8	32
18	самом деле	6	32
19	не только	32	30
20	в пределах	3	28
21	в том	21	26
22	отнюдь не	14	26
23	если бы	10	26
24	то что	9	25
25	на самом	5	24
26	при этом	43	24
27	в своей	10	24
28	лишь в	4	24
29	в ней	5	23
30	связи с	2	23
31	было бы	4	23
32	в то	5	22
33	и ее	2	22
34	как бы	8	21
35	что в	6	21
36	и с	2	21
37	в их	2	20
38	не менее	4	20
39	и от	3	20
40	входит в	2	20
41	как мы	5	20
42	же время	4	20
43	место в	2	20
44	все это	3	19
45	хотя бы	2	19
46	по себе	2	19
47	все же	10	18
48	и все	8	18
49	должна быть	3	18
50	только в	9	18
51	как в	8	17
52	как раз	5	17
53	так же	2	16
54	во всяком	3	16
55	совершенно не	2	16
56	с другой	10	16
57	потому что	7	16
58	всяком случае	3	16
59	но в	14	15
60	бы в	4	15
61	во всех	2	15
62	в литературе	2	15
63	и на	5	15
64	что он	2	14
65	только на	2	14
66	в целом	4	14
67	в своем	9	14
68	еще не	8	14
69	в жизни	7	14
70	в этой	2	14
71	и потому	2	14
72	жизни и	8	14
73	вместе с	2	14
74	до конца	5	13
75	со стороны	15	13
76	того что	7	13
77	а в	15	13
78	что же	6	13
79	могут быть	5	13
80	для них	3	13
81	что и	6	13
82	сводится к	6	13
83	в результате	5	13
84	тем что	2	13
85	как его	2	13
86	по отношению	11	12
87	как это	2	12
88	того чтобы	2	12
89	и здесь	2	12
90	к тому	9	12
91	отношению к	11	12
92	и для	8	12
93	оно не	2	12
94	уже не	7	12
95	никогда не	6	11
96	этом отношении	7	11
97	они не	3	11
98	в основе	6	11
99	так сказать	2	11
100	но не	9	11
101	слова и	3	11
102	что они	2	11
103	для него	5	11
104	между тем	3	11
105	не о	2	10
106	не есть	2	10
107	не как	2	10
108	и др	2	10
109	язык как	2	10
110	мы не	6	10
111	не было	5	10
112	мы видели	3	10
113	другой стороны	3	10
114	с ее	3	10
115	не является	7	10
116	как о	2	10
117	в первом	3	10
118	и как	2	10
119	в своих	5	10
120	раз и	2	10
121	он не	6	10
122	на фоне	3	10
123	в слове	4	10
124	быть и	2	9
125	ничего не	3	9
126	здесь не	2	9
127	но это	4	9
128	и даже	3	9
129	у нас	4	9
130	не могло	2	9
131	еще более	2	9
132	в свою	5	9
133	говорить о	5	9
134	это не	7	8
135	между собой	2	8
136	одной стороны	9	8
137	в них	4	8
138	с одной	9	8
139	без исключения	2	8
140	в области	5	8
141	для этого	2	8
142	что это	2	8
143	в данном	22	8
144	должен быть	3	8
145	и к	2	8
146	роль в	2	8
147	не следует	3	8
148	на основе	2	8
149	ясно что	2	8
150	и понимания	3	7
151	том что	16	7
152	в себе	15	7
153	в одной	2	7
154	свою очередь	5	7
155	или менее	2	7
156	стороны и	4	7
157	более или	2	7
158	во втором	4	7
159	произведение в	2	7
160	не входит	2	7
161	в сущности	3	7
162	не на	3	7
163	к этому	3	7
164	в особенности	3	7
165	жизни в	5	7
166	и наконец	2	7
167	и только	2	7
168	в какой	4	7
169	и более	5	7
170	столь же	3	7
171	он и	2	7
172	в той	5	7
173	высшей степени	2	7
174	в высшей	2	7
175	данном случае	15	6
176	его смысла	2	6
177	тем самым	6	6
178	ее и	2	6
179	в направлении	2	6
180	в конце	3	6
181	отношение к	5	6
182	и тем	3	6
183	у них	3	6
184	в частности	19	6
185	так в	5	6
186	и это	2	6
187	тому что	2	6
188	в этих	5	6
189	те же	2	6
190	один из	3	6
191	к его	5	6
192	его с	2	6
193	из этих	5	6
194	при таком	2	6
195	особенно в	3	6
196	не по	4	6
197	например в	2	6
198	о том	7	6
199	их в	3	6
200	уже в	2	6
201	с ним	3	6
202	той же	3	6
203	даже в	3	5
204	должен был	2	5
205	ни о	2	5
206	могло бы	4	5
207	не можем	2	5
208	к которому	2	5
209	в виду	3	5
210	отличие от	11	5
211	от этих	2	5
212	так например	2	5
213	в него	2	5
214	а только	3	5
215	одного из	3	5
216	в отличие	11	5
217	что не	2	5
218	в значительной	2	5
219	и по	3	5
220	можно сказать	6	5
221	хотя и	10	5
222	бы и	4	5
223	да и	3	5
224	если в	3	5
225	значительной степени	2	5
226	не столько	5	5
227	то и	2	5
228	в мире	9	5
229	по аналогии	4	5
230	мы можем	2	5
231	восприятия и	2	5
232	для нас	4	5
233	к нему	2	5
234	то он	2	5
235	не имеет	3	5
236	в котором	11	5
237	слова в	3	5
238	а лишь	3	5
239	приводит к	2	5
240	еще в	3	5
241	тому как	3	5
242	и что	2	5
243	же в	3	5
244	в нашем	9	5
245	однако не	2	5
246	и притом	3	4
247	или даже	2	4
248	очевидно что	2	4
249	а на	4	4
250	должны были	3	4
251	и сами	2	4
252	одним из	5	4
253	как он	2	4
254	высказывания как	3	4
255	но именно	3	4
256	героя в	3	4
257	в романе	6	4
258	идет о	3	4
259	между двумя	5	4
260	аналогии с	2	4
