N	2gram	Nazirov_Tv	RusskieA
1	и в	40	79
2	в том	13	64
3	том что	14	59
4	что в	17	57
5	не только	16	41
6	а а	4	40
7	во время	2	38
8	так как	6	34
9	в этом	11	33
10	и другие	4	33
11	как бы	26	31
12	но и	10	31
13	как и	16	28
14	может быть	11	28
15	и на	12	28
16	в этот	3	26
17	одна из	5	24
18	и т	14	23
19	о том	9	23
20	при этом	14	22
21	т д	10	21
22	это не	9	20
23	а в	10	20
24	там же	11	20
25	из них	4	19
26	представляют собой	2	18
27	все это	14	18
28	потому что	10	17
29	показывает что	5	17
30	то что	9	17
31	об этом	4	17
32	таким образом	14	17
33	вместе с	4	17
34	мы не	3	16
35	один из	5	15
36	в xix	3	14
37	у нас	2	14
38	не менее	8	14
39	как это	2	14
40	тем не	2	14
41	и не	12	14
42	и с	9	14
43	и что	2	14
44	так что	4	13
45	и по	5	13
46	к этому	4	13
47	не может	9	13
48	еще не	5	13
49	как в	10	13
50	уже не	6	13
51	в которых	3	13
52	в виде	4	12
53	между собой	2	12
54	тем что	2	12
55	что на	3	11
56	а затем	5	11
57	но это	10	11
58	не имеет	2	11
59	далеко не	3	11
60	его в	2	10
61	и других	5	10
62	так и	5	10
63	так например	3	10
64	между тем	2	10
65	все же	9	10
66	что и	3	10
67	представляет собой	4	10
68	или в	2	10
69	данном случае	2	9
70	том же	3	9
71	но в	11	9
72	к жизни	4	9
73	и все	6	9
74	что они	3	9
75	в честь	2	9
76	то же	19	9
77	но не	7	9
78	так же	6	8
79	того что	3	8
80	в россии	5	8
81	как уже	2	8
82	в данном	2	8
83	на себя	2	8
84	связи с	2	8
85	представление о	9	8
86	не все	2	8
87	во всех	2	8
88	ее в	3	8
89	в этих	2	8
90	в своем	4	7
91	ничего не	3	7
92	начиная с	2	7
93	в свете	3	7
94	не в	3	7
95	а с	4	7
96	настоящее время	2	7
97	было бы	2	7
98	до конца	2	7
99	и как	5	7
100	это время	2	7
101	еще в	3	7
102	только в	7	7
103	как будто	5	7
104	а не	9	7
105	в этой	7	6
106	и их	2	6
107	и у	3	6
108	друг друга	2	6
109	в их	5	6
110	только на	2	6
111	в в	2	6
112	тому что	2	6
113	она не	2	6
114	к тому	2	6
115	что этот	2	6
116	в нем	4	6
117	в году	22	6
118	же как	3	6
119	с ними	3	6
120	все эти	3	6
121	в качестве	2	6
122	но она	2	6
123	в одном	3	6
124	что она	5	6
125	и о	2	6
126	должен был	2	6
127	на земле	4	6
128	и более	2	6
129	приводит к	4	6
130	в таком	4	6
131	на самом	3	5
132	и потому	4	5
133	вплоть до	2	5
134	но если	4	5
135	что он	11	5
136	прежде всего	10	5
137	и др	2	5
138	в свою	8	5
139	с этим	2	5
140	в то	23	5
141	в целом	7	5
142	для них	2	5
143	тогда как	3	5
144	в связи	2	5
145	не было	3	5
146	например в	3	5
147	тот же	3	5
148	в его	19	5
149	как правило	3	5
150	только для	2	5
151	в целях	2	5
152	с другой	4	5
153	г в	2	5
154	отнюдь не	9	5
155	или даже	2	5
156	с ним	4	5
157	мы уже	2	5
158	в таких	2	4
159	означает что	2	4
160	если в	3	4
161	в глаза	2	4
162	некоторые из	2	4
163	не был	4	4
164	он же	2	4
165	влияние на	3	4
166	чтобы вызвать	2	4
167	всякого рода	2	4
168	в руки	2	4
169	здесь мы	2	4
170	его и	2	4
171	своего рода	7	4
172	но эти	3	4
173	в основном	9	4
174	отличие от	3	4
175	в образе	4	4
176	не столько	4	4
177	могут быть	4	4
178	на землю	2	4
179	и до	2	4
180	и тогда	2	4
181	во всей	2	4
182	во всяком	2	4
183	в основе	3	4
184	и от	8	4
185	дело не	3	4
186	к ней	3	4
187	и здесь	2	4
188	та же	4	4
189	такой же	4	4
190	в отличие	3	4
191	переход от	2	4
192	что у	5	4
193	что для	3	4
194	именно в	6	4
195	в котором	8	4
196	в своих	8	4
197	этот вопрос	4	4
198	уже в	5	4
199	в ней	2	4
200	всяком случае	2	4
201	вряд ли	2	4
202	но он	3	4
203	никогда не	13	3
204	ее по	2	3
205	ее и	2	3
206	его к	2	3
207	в одной	5	3
208	и поэтому	2	3
209	и через	4	3
210	то есть	16	3
211	не во	2	3
212	это и	4	3
213	в виду	3	3
214	в одно	2	3
215	мы знаем	2	3
216	что все	4	3
217	и это	2	3
218	связь с	3	3
219	живет в	3	3
220	же не	2	3
221	в ее	3	3
222	что с	2	3
223	в своей	8	3
224	он был	2	3
225	смерти в	2	3
226	свою очередь	2	3
227	место в	6	3
228	хотя и	5	3
229	это в	3	3
230	по отношению	3	3
231	и еще	2	3
232	в которой	5	3
233	чем у	2	3
234	на него	2	3
235	если бы	4	3
236	известно что	4	3
237	для этой	2	3
238	жизни в	9	3
239	представлений о	2	3
240	отношению к	3	3
241	жизнь и	2	3
242	с одной	2	3
243	на этот	3	3
244	восходит к	2	3
245	не к	2	3
246	в русской	5	3
247	когда он	4	3
248	сводится к	2	3
249	говорит о	3	3
250	только как	2	3
251	они живут	2	3
252	и его	14	3
253	же и	2	3
254	тому же	2	3
255	из других	2	3
256	и притом	2	2
257	в область	4	2
258	не имеют	4	2
259	в себе	3	2
260	от него	2	2
