N	4gram	Losev_Dial	Problema
1	не что иное как	4	14
2	в то время как	2	12
3	ни в каком случае	5	12
4	или по крайней мере	2	11
5	есть не что иное	3	11
6	и т д и	3	9
7	в каком случае не	3	9
8	не имеет ничего общего	3	9
9	на самом же деле	2	8
10	т д и т	3	8
11	д и т д	3	7
12	то это значит что	2	6
13	по крайней мере в	3	6
14	имеет ничего общего с	3	5
15	в том смысле что	3	5
16	если иметь в виду	2	4
17	в связи с этим	2	4
18	одно и то же	8	4
19	это не значит что	3	3
20	несмотря на то что	2	3
21	и в то же	3	3
22	с одной стороны и	3	3
23	т д все это	2	2
24	и т д все	2	2
25	и то и другое	3	2
